EID,TYPECODE,DJDATE,IFHOME,PROJECT_CNT,PROJECT_INHOME_CNT,PROJECT_OUTHOME_CNT,PROJECT_INHOME_RATE,PROJECT_OUTHOME_RATE,PROJECT_TYPECODE_CNT,PROJECT_FIRST_TYPECODE,PROJECT_END_TYPECODE,PROJECT_FIRST_TIME,PROJECT_END_TIME
466963,[3136021 3084786 3158181 3084971 3158108 4678724 5576151 5392730],"['2013-11' '2013-10' '2013-11' '2013-10' '2013-11' '2014-10' '2015-07'
 '2015-06']",[0 0 0 0 0 0 1 0],8,1,7,0.125,0.875,8,3136021,5392730,2013-11,2015-06
57366,[5211432 5193706],['2015-04' '2015-04'],[1 1],2,2,0,1.0,0.0,2,5211432,5193706,2015-04,2015-04
466967,[4870512],['2014-12'],[1],1,1,0,1.0,0.0,1,4870512,4870512,2014-12,2014-12
286747,[4909068],['2015-01'],[1],1,1,0,1.0,0.0,1,4909068,4909068,2015-01,2015-01
229410,[4597052],['2014-09'],[1],1,1,0,1.0,0.0,1,4597052,4597052,2014-09,2014-09
253986,"[5704073 4533619 4028190 5780624 4691329 4713824 5474651 5290415 4293733
 4355198 4621820 4626636 5445871 4491388 5629120]","['2015-08' '2014-09' '2014-02' '2015-08' '2014-11' '2014-11' '2015-06'
 '2015-05' '2014-06' '2014-07' '2014-10' '2014-10' '2015-06' '2014-08'
 '2015-07']",[1 1 1 1 1 0 1 0 1 1 1 0 1 1 0],15,11,4,0.7333333333333333,0.26666666666666666,15,5704073,5629120,2015-08,2015-07
278565,[4167514],['2014-05'],[0],1,0,1,0.0,1.0,1,4167514,4167514,2014-05,2014-05
401446,[4929398],['2015-01'],[1],1,1,0,1.0,0.0,1,4929398,4929398,2015-01,2015-01
237609,[4541699],['2014-09'],[1],1,1,0,1.0,0.0,1,4541699,4541699,2014-09,2014-09
426027,[4929398 4384011],['2015-01' '2014-07'],[1 1],2,2,0,1.0,0.0,2,4929398,4384011,2015-01,2014-07
409643,[4696624],['2014-11'],[1],1,1,0,1.0,0.0,1,4696624,4696624,2014-11,2014-11
90155,[4873472],['2014-12'],[1],1,1,0,1.0,0.0,1,4873472,4873472,2014-12,2014-12
106545,[4904682],['2015-01'],[0],1,0,1,0.0,1.0,1,4904682,4904682,2015-01,2015-01
507954,[3214530 3223406],['2013-12' '2013-12'],[0 0],2,0,2,0.0,1.0,2,3214530,3223406,2013-12,2013-12
213045,[4914956],['2015-01'],[0],1,0,1,0.0,1.0,1,4914956,4914956,2015-01,2015-01
98359,[3136452 3198812 3164598 5405769 4362503 4439524 4040769 4287280 4146010],"['2013-11' '2013-12' '2013-11' '2015-06' '2014-07' '2014-08' '2014-03'
 '2014-06' '2014-05']",[0 0 0 0 0 0 0 0 0],9,0,9,0.0,1.0,9,3136452,4146010,2013-11,2014-05
475194,[5413595 5216221 4661560 4000755],['2015-06' '2015-04' '2014-10' '2014-01'],[1 0 0 0],4,1,3,0.25,0.75,4,5413595,4000755,2015-06,2014-01
32826,[4320030 4507826],['2014-07' '2014-09'],[0 1],2,1,1,0.5,0.5,2,4320030,4507826,2014-07,2014-09
147516,"[5177115 5524568 4278101 3037507 3038139 5236640 4637364 5346531 4312293
 4216929 5519683 4614877]","['2015-04' '2015-07' '2014-06' '2013-10' '2013-10' '2015-04' '2014-10'
 '2015-05' '2014-07' '2014-06' '2015-07' '2014-10']",[0 0 0 1 1 0 0 0 1 0 1 1],12,5,7,0.4166666666666667,0.5833333333333334,12,5177115,4614877,2015-04,2014-10
41021,[4399558 4710156],['2014-07' '2014-11'],[0 0],2,0,2,0.0,1.0,2,4399558,4710156,2014-07,2014-11
368702,[4061917 4764981 4655935],['2014-03' '2014-11' '2014-10'],[1 1 0],3,2,1,0.6666666666666666,0.3333333333333333,3,4061917,4655935,2014-03,2014-10
139326,[4752832 4346474 4346474 4752832],['2014-11' '2014-07' '2014-07' '2014-11'],[1 1 1 1],4,4,0,1.0,0.0,2,4752832,4752832,2014-11,2014-11
319553,[4642380],['2014-10'],[0],1,0,1,0.0,1.0,1,4642380,4642380,2014-10,2014-10
98372,[5383595 4633293],['2015-06' '2014-10'],[1 1],2,2,0,1.0,0.0,2,5383595,4633293,2015-06,2014-10
16453,[5180673 4129870],['2015-04' '2014-04'],[1 1],2,2,0,1.0,0.0,2,5180673,4129870,2015-04,2014-04
188486,[5664670],['2015-08'],[0],1,0,1,0.0,1.0,1,5664670,5664670,2015-08,2015-08
49223,[3197764],['2013-12'],[1],1,1,0,1.0,0.0,1,3197764,3197764,2013-12,2013-12
352327,[4714011 4883040 4767111],['2014-11' '2014-12' '2014-11'],[0 0 0],3,0,3,0.0,1.0,3,4714011,4767111,2014-11,2014-11
458823,[2998138],['2013-09'],[1],1,1,0,1.0,0.0,1,2998138,2998138,2013-09,2013-09
65610,[3017186 3054318 4456240 5338641 4496919 4344365 5645925 4856827 4856823],"['2013-09' '2013-10' '2014-08' '2015-05' '2014-08' '2014-07' '2015-07'
 '2014-12' '2014-12']",[1 1 1 0 1 1 1 1 1],9,8,1,0.8888888888888888,0.1111111111111111,9,3017186,4856823,2013-09,2014-12
213067,"[4249274 3061503 4249272 4249265 4249674 5539514 4130111 4338460 4178947
 4427626 4400140 5589924 4387750 5623877 5607359 5629725 4678885 5468718
 5293260 4400109 4331484]","['2014-06' '2013-10' '2014-06' '2014-06' '2014-06' '2015-07' '2014-04'
 '2014-07' '2014-05' '2014-08' '2014-07' '2015-07' '2014-07' '2015-07'
 '2015-07' '2015-07' '2014-10' '2015-06' '2015-05' '2014-07' '2014-07']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],21,21,0,1.0,0.0,21,4249274,4331484,2014-06,2014-07
499787,[4376219],['2014-07'],[1],1,1,0,1.0,0.0,1,4376219,4376219,2014-07,2014-07
73808,[5242030 5732170],['2015-04' '2015-08'],[1 0],2,1,1,0.5,0.5,2,5242030,5732170,2015-04,2015-08
458837,[3054784],['2013-10'],[1],1,1,0,1.0,0.0,1,3054784,3054784,2013-10,2013-10
360534,[5456530],['2015-06'],[1],1,1,0,1.0,0.0,1,5456530,5456530,2015-06,2015-06
458839,[3234063 5607606 4088063 4064816],['2013-12' '2015-07' '2014-04' '2014-03'],[1 1 1 1],4,4,0,1.0,0.0,4,3234063,4064816,2013-12,2014-03
245845,[5085668],['2015-03'],[1],1,1,0,1.0,0.0,1,5085668,5085668,2015-03,2015-03
114779,[4936528],['2015-01'],[1],1,1,0,1.0,0.0,1,4936528,4936528,2015-01,2015-01
8287,[5126200],['2015-03'],[1],1,1,0,1.0,0.0,1,5126200,5126200,2015-03,2015-03
131168,"[3161554 3147080 3080208 4774822 3110443 4920715 4824878 4642441 4678543
 4804063 4126371 5558185 4418761 4770321 4712010 5526192 5446206 5633180
 4920185 4449370 4726442 5038936 4782715 5501003 4808505 4708188 4151015
 5726892 5664222 5255787 3150199 4774822 3080208 3150199 3110443 3147080
 3161554 4920715 4418761 4824878 4770321 4804063 5633180 5446206 4126371
 5558185 5038936 5526192 5501003 4726442 4782715 5664222 4678543 4712010
 4151015 4920185 5726892 4449370 5255787 4708188 4808505 4642441]","['2013-11' '2013-11' '2013-10' '2014-11' '2013-11' '2015-01' '2014-12'
 '2014-10' '2014-10' '2014-12' '2014-04' '2015-07' '2014-08' '2014-11'
 '2014-11' '2015-07' '2015-06' '2015-07' '2015-01' '2014-08' '2014-11'
 '2015-03' '2014-11' '2015-07' '2014-12' '2014-11' '2014-05' '2015-08'
 '2015-08' '2015-05' '2013-11' '2014-11' '2013-10' '2013-11' '2013-11'
 '2013-11' '2013-11' '2015-01' '2014-08' '2014-12' '2014-11' '2014-12'
 '2015-07' '2015-06' '2014-04' '2015-07' '2015-03' '2015-07' '2015-07'
 '2014-11' '2014-11' '2015-08' '2014-10' '2014-11' '2014-05' '2015-01'
 '2015-08' '2014-08' '2015-05' '2014-11' '2014-12' '2014-10']","[0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0]",62,14,48,0.22580645161290322,0.7741935483870968,31,3161554,4642441,2013-11,2014-10
122976,[4837284 4536581],['2014-12' '2014-09'],[1 1],2,2,0,1.0,0.0,2,4837284,4536581,2014-12,2014-09
122983,[4875123 4917365],['2014-12' '2015-01'],[1 1],2,2,0,1.0,0.0,2,4875123,4917365,2014-12,2015-01
450663,[3071390 3061365 5211589 5008205 4605944 5029161 4630738],['2013-10' '2013-10' '2015-04' '2015-02' '2014-10' '2015-02' '2014-10'],[0 0 0 0 0 0 0],7,0,7,0.0,1.0,7,3071390,4630738,2013-10,2014-10
229479,[3970208 3971278 3970207 4102241],['2014-01' '2014-01' '2014-01' '2014-04'],[0 0 0 0],4,0,4,0.0,1.0,4,3970208,4102241,2014-01,2014-04
147564,[3168340 5507565 4695365 4316439 5767007 4894101],['2013-11' '2015-07' '2014-11' '2014-07' '2015-08' '2014-12'],[1 0 0 1 1 1],6,4,2,0.6666666666666666,0.3333333333333333,6,3168340,4894101,2013-11,2014-12
114797,"[3074363 2987328 3233431 3231671 5303698 4107109 4671829 4032936 4205464
 5100646 4791221 5130790 4327498 4104027 4259594 3994736]","['2013-10' '2013-09' '2013-12' '2013-12' '2015-05' '2014-04' '2014-10'
 '2014-02' '2014-04' '2015-03' '2014-12' '2015-03' '2014-07' '2014-04'
 '2014-06' '2014-01']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],16,1,15,0.0625,0.9375,16,3074363,3994736,2013-10,2014-01
90221,[4022581 4843106],['2014-02' '2014-12'],[1 1],2,2,0,1.0,0.0,2,4022581,4843106,2014-02,2014-12
221295,[2981576 5336688 4423751 4182501],['2013-09' '2015-05' '2014-08' '2014-05'],[1 1 1 1],4,4,0,1.0,0.0,4,2981576,4182501,2013-09,2014-05
114802,[5744686 5186608 3995406 4506532 5266676 5167268 4603010],['2015-08' '2015-04' '2014-01' '2014-09' '2015-05' '2015-04' '2014-10'],[1 1 1 1 1 1 1],7,7,0,1.0,0.0,7,5744686,4603010,2015-08,2014-10
24691,[4878515 4384788 4284057 4510424 4357382],['2014-12' '2014-07' '2014-06' '2014-09' '2014-07'],[1 1 1 1 1],5,5,0,1.0,0.0,5,4878515,4357382,2014-12,2014-07
401524,[3233895 4784220 4423427],['2013-12' '2014-11' '2014-08'],[1 1 1],3,3,0,1.0,0.0,3,3233895,4423427,2013-12,2014-08
139382,[4007467],['2014-01'],[1],1,1,0,1.0,0.0,1,4007467,4007467,2014-01,2014-01
172154,[3046824 3026037 4676798 4869963],['2013-10' '2013-09' '2014-10' '2014-12'],[1 1 1 0],4,3,1,0.75,0.25,4,3046824,4869963,2013-10,2014-12
278652,[4940328 5676591 5198465],['2015-01' '2015-08' '2015-04'],[1 0 1],3,2,1,0.6666666666666666,0.3333333333333333,3,4940328,5198465,2015-01,2015-04
426111,[4030986],['2014-02'],[1],1,1,0,1.0,0.0,1,4030986,4030986,2014-02,2014-02
237695,[4110465],['2014-04'],[0],1,0,1,0.0,1.0,1,4110465,4110465,2014-04,2014-04
286850,[4440705],['2014-08'],[1],1,1,0,1.0,0.0,1,4440705,4440705,2014-08,2014-08
8323,[5620350],['2015-07'],[0],1,0,1,0.0,1.0,1,5620350,5620350,2015-07,2015-07
327811,[5516844 4605019],['2015-07' '2014-10'],[1 1],2,2,0,1.0,0.0,2,5516844,4605019,2015-07,2014-10
229509,[5609094],['2015-07'],[1],1,1,0,1.0,0.0,1,5609094,5609094,2015-07,2015-07
24711,[4860615 4363574 4374734 5238969 5303902 5106836 4313274 5151525],"['2014-12' '2014-07' '2014-07' '2015-04' '2015-05' '2015-03' '2014-07'
 '2015-04']",[0 0 0 0 0 0 0 0],8,0,8,0.0,1.0,8,4860615,5151525,2014-12,2015-04
311434,[4400653 4348769 4217351 5503857],['2014-07' '2014-07' '2014-06' '2015-07'],[1 1 1 1],4,4,0,1.0,0.0,4,4400653,5503857,2014-07,2015-07
204940,[4837584 4346054 4263254 4085662],['2014-12' '2014-07' '2014-06' '2014-04'],[1 0 1 1],4,3,1,0.75,0.25,4,4837584,4085662,2014-12,2014-04
516237,[5415571],['2015-06'],[1],1,1,0,1.0,0.0,1,5415571,5415571,2015-06,2015-06
65679,[5247144],['2015-04'],[0],1,0,1,0.0,1.0,1,5247144,5247144,2015-04,2015-04
499857,[4895002 4869903],['2014-12' '2014-12'],[1 1],2,2,0,1.0,0.0,2,4895002,4869903,2014-12,2014-12
245906,[4846546],['2014-12'],[1],1,1,0,1.0,0.0,1,4846546,4846546,2014-12,2014-12
499861,[3210694 3230355 3209621 3227713 3210089 2971182],['2013-12' '2013-12' '2013-12' '2013-12' '2013-12' '2013-09'],[1 1 1 1 1 1],6,6,0,1.0,0.0,6,3210694,2971182,2013-12,2013-09
508054,[5250463 5227494],['2015-04' '2015-04'],[0 0],2,0,2,0.0,1.0,2,5250463,5227494,2015-04,2015-04
442519,[5091236],['2015-03'],[1],1,1,0,1.0,0.0,1,5091236,5091236,2015-03,2015-03
196760,[4111735],['2014-04'],[1],1,1,0,1.0,0.0,1,4111735,4111735,2014-04,2014-04
270489,[4389670 4251981 4297651 4289890 4272007 4297652 4517389 4271942],"['2014-07' '2014-06' '2014-06' '2014-06' '2014-06' '2014-06' '2014-09'
 '2014-06']",[1 1 1 1 1 1 1 1],8,8,0,1.0,0.0,8,4389670,4271942,2014-07,2014-06
213145,[3135418 4345423 4439529 3997093 4307893],['2013-11' '2014-07' '2014-08' '2014-01' '2014-07'],[1 1 1 1 1],5,5,0,1.0,0.0,5,3135418,4307893,2013-11,2014-07
327835,[4322881 4072432 4376320],['2014-07' '2014-03' '2014-07'],[1 0 1],3,2,1,0.6666666666666666,0.3333333333333333,3,4322881,4376320,2014-07,2014-07
458908,[5492855 5013052 4415672 3964974 5479380],['2015-07' '2015-02' '2014-08' '2014-01' '2015-06'],[1 0 1 1 0],5,3,2,0.6,0.4,5,5492855,5479380,2015-07,2015-06
499869,[2990485 2986984 4151457 4194388 4728863],['2013-09' '2013-09' '2014-05' '2014-05' '2014-11'],[0 0 0 1 0],5,1,4,0.2,0.8,5,2990485,4728863,2013-09,2014-11
237726,[5263952 4229934 4505784],['2015-05' '2014-06' '2014-09'],[1 1 1],3,3,0,1.0,0.0,3,5263952,4505784,2015-05,2014-09
188572,[5214718],['2015-04'],[1],1,1,0,1.0,0.0,1,5214718,5214718,2015-04,2015-04
524440,[4623282],['2014-10'],[1],1,1,0,1.0,0.0,1,4623282,4623282,2014-10,2014-10
32929,[4111508 4072945],['2014-04' '2014-03'],[1 1],2,2,0,1.0,0.0,2,4111508,4072945,2014-04,2014-03
90266,[4233280],['2014-06'],[1],1,1,0,1.0,0.0,1,4233280,4233280,2014-06,2014-06
221347,[4506506],['2014-09'],[0],1,0,1,0.0,1.0,1,4506506,4506506,2014-09,2014-09
262308,[3192431],['2013-12'],[0],1,0,1,0.0,1.0,1,3192431,3192431,2013-12,2013-12
450716,[5465196 5745612 5527967 5498135],['2015-06' '2015-08' '2015-07' '2015-07'],[0 0 0 0],4,0,4,0.0,1.0,4,5465196,5498135,2015-06,2015-07
336040,[5492855],['2015-07'],[1],1,1,0,1.0,0.0,1,5492855,5492855,2015-07,2015-07
168,[4839387],['2014-12'],[0],1,0,1,0.0,1.0,1,4839387,4839387,2014-12,2014-12
434346,[4717475],['2014-11'],[0],1,0,1,0.0,1.0,1,4717475,4717475,2014-11,2014-11
65707,"[2995540 3149447 3227714 4106662 4052991 4106668 4024928 4108672 5644112
 5101233 5444596 5333470 5108838 5642956 5695241 4851536 4451282 4165056
 5642495 4613128 4193140 4328276 4678024 5336386 4783892 5695997 4378645
 4667238 5426423 4793961 4491729 4501367]","['2013-09' '2013-11' '2013-12' '2014-04' '2014-03' '2014-04' '2014-02'
 '2014-04' '2015-07' '2015-03' '2015-06' '2015-05' '2015-03' '2015-07'
 '2015-08' '2014-12' '2014-08' '2014-05' '2015-07' '2014-10' '2014-05'
 '2014-07' '2014-10' '2015-05' '2014-11' '2015-08' '2014-07' '2014-10'
 '2015-06' '2014-12' '2014-08' '2014-09']",[0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 1],32,13,19,0.40625,0.59375,32,2995540,4501367,2013-09,2014-09
303275,[4849636],['2014-12'],[0],1,0,1,0.0,1.0,1,4849636,4849636,2014-12,2014-12
344240,[3168491 3199759 3010201 5437940],['2013-11' '2013-12' '2013-09' '2015-06'],[0 0 0 1],4,1,3,0.25,0.75,4,3168491,5437940,2013-11,2015-06
24754,"[3031686 3161684 4826224 4470631 4085620 4593299 4966503 4644959 4020538
 4749496 4631943 5293488 4078980]","['2013-09' '2013-11' '2014-12' '2014-08' '2014-04' '2014-09' '2015-01'
 '2014-10' '2014-02' '2014-11' '2014-10' '2015-05' '2014-04']",[0 0 1 1 1 1 1 0 0 1 1 1 1],13,9,4,0.6923076923076923,0.3076923076923077,13,3031686,4078980,2013-09,2014-04
499890,[3239152],['2013-12'],[1],1,1,0,1.0,0.0,1,3239152,3239152,2013-12,2013-12
508086,[3222408],['2013-12'],[1],1,1,0,1.0,0.0,1,3222408,3222408,2013-12,2013-12
254136,[5644658 4970207],['2015-07' '2015-01'],[1 1],2,2,0,1.0,0.0,2,5644658,4970207,2015-07,2015-01
352441,[5468296],['2015-06'],[0],1,0,1,0.0,1.0,1,5468296,5468296,2015-06,2015-06
155835,[4210972 4623809 4104287 5407622 4248750],['2014-05' '2014-10' '2014-04' '2015-06' '2014-06'],[1 1 1 1 1],5,5,0,1.0,0.0,5,4210972,4248750,2014-05,2014-06
491710,[3193450 3225928 4847450],['2013-12' '2013-12' '2014-12'],[0 0 0],3,0,3,0.0,1.0,3,3193450,4847450,2013-12,2014-12
360641,[4396797],['2014-07'],[1],1,1,0,1.0,0.0,1,4396797,4396797,2014-07,2014-07
401602,[4847893],['2014-12'],[0],1,0,1,0.0,1.0,1,4847893,4847893,2014-12,2014-12
