EID,BTEID,IFHOME,BTBL,BTYEAR,BTENDYEAR,TZ_CNT,TZ_INHOME_CNT,TZ_OUTHOME_CNT,TZ_INHOME_RATE,TZ_OUTHOME_RATE,TZ_CLOSE_CNT,TZ_OPEN_CNT,TZ_CLOSE_RATE,TZ_OPEN_RATE,TZ_BTBL_AVG,IS_TZ_ACTIVE,TZ_QY_FIRST_TIME,TZ_QY_END_TIME,TZ_FIRST_CLOSE_TIME
143,"[655640 625419 677405 670094 257945 737976 723287 690966 690206 675961
 648072 627675 378728 307680 153283 147688 125454 738890 726461 714221
 714106 697028 675508 652256 637174 467267 457763 345168 122759 106438
  65615 677345 476117 400010 387376 351407 304650 274729 237451 165374
 714872 671430 490822  90711]","[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[ 0.01   0.01   0.169  0.002  0.159  0.5    0.045  0.236  0.011  0.156
  0.015  0.121  0.269  0.015  0.127  0.11   0.026  0.014  0.013  0.5    0.021
  0.018  0.022  0.017  0.01   0.058  0.013  0.026  0.015  0.016  0.012
  0.03   0.017  0.68   0.5    0.1    0.5    0.5    0.014  0.5    0.5    0.5
  0.5    0.5  ]","[2011 2011 2011 2011 2011 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012
 2012 2012 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013
 2013 2014 2014 2014 2014 2014 2014 2014 2014 2014 2015 2015 2015 2015]","[ 2014.  2014.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.]",44,43,1,0.9772727272727273,0.022727272727272728,2,42,0.045454545454545456,0.9545454545454546,0.17220454545454544,1,2011-01,2015-01,2014-01
524435,[689034],[1],[ 0.5],[1992],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,1992-01,1992-01,2018-01
65686,[669669],[0],[ 0.5],[2004],[ 2011.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.5,1,2004-01,2004-01,2011-01
32919,[422189 691746 669422 256433 674933 655751],[1 1 1 1 1 1],[ 1.  1.  1.  1.  1.  1.],[1988 1993 1994 1999 2006 2007],[ 2018.  2018.  2018.  2018.  2018.  2018.],6,6,0,1.0,0.0,0,6,0.0,1.0,1.0,1,1988-01,2007-01,2018-01
426136,[663798],[0],[ 0.7],[2011],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.7,1,2011-01,2011-01,2018-01
98459,[425030],[1],[ 0.12],[2000],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.12,1,2000-01,2000-01,2018-01
131227,[640146],[0],[ 0.282],[2004],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.282,1,2004-01,2004-01,2018-01
327837,[371766 705420 631909],[1 0 1],[ 0.3    0.95   0.024],[2005 2011 2014],[ 2018.  2018.  2018.],3,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,0.4246666666666667,1,2005-01,2014-01,2018-01
295070,[358081],[1],[ 0.394],[2002],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.39399999999999996,1,2002-01,2002-01,2018-01
458908,[625707],[1],[ 1.],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2013-01,2013-01,2018-01
524446,[644950 211671   1241],[1 1 1],[ 0.85  0.92  0.83],[2014 2014 2014],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.8666666666666667,1,2014-01,2014-01,2018-01
229531,[719710],[0],[ 0.99],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.99,1,2014-01,2014-01,2018-01
262308,[710205],[0],[ 0.5],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.5,1,2015-01,2015-01,2018-01
360613,[709268],[1],[ 0.115],[2002],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.115,1,2002-01,2002-01,2018-01
524452,[681305],[1],[ 0.45],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.45,1,2015-01,2015-01,2018-01
458920,[500629 522426 301960],[1 1 1],[ 0.023  0.125  0.125],[2010 2015 2015],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.09100000000000001,1,2010-01,2015-01,2018-01
65705,[644464],[0],[ 0.6],[2011],[ 2012.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.6,1,2011-01,2011-01,2012-01
32939,[711645],[1],[ 0.038],[2010],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.038,1,2010-01,2010-01,2018-01
426156,[524839],[1],[ 1.],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2015-01,2015-01,2018-01
65707,[624935],[0],[ 1.],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,1,2015-01,2015-01,2018-01
164015,[60739],[1],[ 0.5],[2005],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2005-01,2005-01,2018-01
295089,[653613],[0],[ 1.],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,1,2015-01,2015-01,2018-01
98482,[676275 633980 629716],[0 0 0],[ 1.    0.65  0.6 ],[2005 2006 2007],[ 2018.  2018.  2010.],3,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0.75,1,2005-01,2007-01,2018-01
179,[72030],[1],[ 0.95],[2007],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.95,1,2007-01,2007-01,2018-01
32949,[637023],[0],[ 0.6],[2013],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.6,1,2013-01,2013-01,2018-01
393398,[650230],[1],[ 0.2],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.2,1,2015-01,2015-01,2018-01
164027,[636322 732120 681675 630592 216853 737866 707785 301972 680292 628319],[1 1 1 1 1 1 0 1 0 0],[ 0.55  0.9   0.7   1.    1.    0.99  0.4   0.49  1.    0.65],[2000 2004 2008 2008 2008 2009 2009 2009 2011 2011],[ 2018.  2008.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.],10,7,3,0.7,0.3,1,9,0.1,0.9,0.768,1,2000-01,2011-01,2018-01
262332,"[676636 631862  60106 699144 624534 727084 137695 640172 711465 702370
 686876]",[1 1 1 1 1 1 1 1 1 1 1],[ 0.48   0.75   0.512  0.625  0.04   0.175  0.3    1.     1.     1.     1.   ],[1998 2000 2000 2001 2002 2003 2004 2008 2011 2012 2015],"[ 2018.  2006.  2018.  2012.  2018.  2006.  2018.  2018.  2018.  2018.
  2018.]",11,11,0,1.0,0.0,3,8,0.2727272727272727,0.7272727272727273,0.6256363636363637,1,1998-01,2015-01,2018-01
393404,[722841 739175],[0 0],[ 0.986  0.5  ],[2004 2010],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.743,1,2004-01,2010-01,2018-01
393407,[660132],[1],[ 0.111],[2000],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.111,1,2000-01,2000-01,2018-01
458949,[458949],[1],[ 0.333],[1992],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.33299999999999996,1,1992-01,1992-01,2018-01
491719,[508591 243766],[1 1],[ 0.023  0.06 ],[2008 2012],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.041499999999999995,1,2008-01,2012-01,2018-01
458951,[646818],[0],[ 0.85],[2012],[ 2014.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.85,1,2012-01,2012-01,2014-01
196809,[693356 701022],[0 1],[ 0.5   0.18],[2000 2009],[ 2015.  2011.],2,1,1,0.5,0.5,2,0,1.0,0.0,0.33999999999999997,1,2000-01,2009-01,2015-01
98506,[669105 670712 645787],[0 1 0],[ 1.     0.3    0.374],[1966 2004 2005],[ 2018.  2018.  2018.],3,1,2,0.3333333333333333,0.6666666666666666,0,3,0.0,1.0,0.5579999999999999,1,1966-01,2005-01,2018-01
491723,[651100],[0],[ 0.567],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.5670000000000001,1,2014-01,2014-01,2018-01
426189,[719893 332075 734382 682331 671915],[0 1 0 0 0],[ 0.95  0.95  0.2   0.8   1.  ],[2002 2006 2007 2009 2010],[ 2018.  2018.  2018.  2018.  2018.],5,1,4,0.2,0.8,0,5,0.0,1.0,0.78,1,2002-01,2010-01,2018-01
426191,[713029],[0],[ 0.3],[2013],[ 2013.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.3,1,2013-01,2013-01,2013-01
65745,[644753 684667],[0 0],[ 0.029  0.025],[2003 2007],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.027,1,2003-01,2007-01,2018-01
196818,[707101  77276],[1 1],[ 0.137  0.216],[2014 2014],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.1765,1,2014-01,2014-01,2018-01
