EID,TYPECODE,LAWDATE,LAWAMOUNT,LAWSUIT_CNT,LAWSUIT_LAWAMOUNT_MEAN,LAWSUIT_LAWAMOUNT_SUM,LAWSUIT_FIRST_TIME,LAWSUIT_END_TIME
65705.0,[61065287 73329405 75000350 79558860],['2013-01-01' '2013-06-01' '2014-01-01' '2014-01-01'],[  2900 218700    300    300],4,55550.0,222200,2013-01,2014-01
32939.0,[60121558],['2013-01-01'],[2400],1,2400.0,2400,2013-01,2013-01
196784.0,[73324750],['2013-09-01'],[76400],1,76400.0,76400,2013-09,2013-09
327857.0,[61170119],['2013-04-01'],[81800],1,81800.0,81800,2013-04,2013-04
262330.0,[100689997],['2015-04-01'],[60400],1,60400.0,60400,2015-04,2015-04
196810.0,[76450704],['2014-03-01'],[69100],1,69100.0,69100,2014-03,2014-03
33005.0,[108753734 102425452],['2015-06-01' '2015-06-01'],[14300 14300],2,14300.0,28600,2015-06,2015-06
196853.0,[91758062 85066590],['2014-08-01' '2014-08-01'],[186500 186500],2,186500.0,373000,2014-08,2014-08
524540.0,[42176961],['2012-09-01'],[7300],1,7300.0,7300,2012-09,2012-09
33036.0,[85066703],['2014-08-01'],[21100],1,21100.0,21100,2014-08,2014-08
131353.0,[ 99075652  98061320 102297442 102426797  99075649],['2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'],[119900 127400 120000 127400 120000],5,122940.0,614700,2015-03,2015-03
229680.0,[99418769 99272730],['2015-03-01' '2015-03-01'],[7458500 3200000],2,5329250.0,10658500,2015-03,2015-03
164163.0,[44379914],['2012-11-01'],[24900],1,24900.0,24900,2012-11,2012-11
524611.0,[73334809],['2013-10-01'],[55600],1,55600.0,55600,2013-10,2013-10
295240.0,[62138920 67786447 67786450 67786457 67786454],['2013-05-01' '2013-08-01' '2013-08-01' '2013-08-01' '2013-08-01'],[183000    700  29700   7700   2500],5,44720.0,223600,2013-05,2013-08
98634.0,[61199762 61471314],['2013-01-01' '2013-03-01'],[1301300       0],2,650650.0,1301300,2013-01,2013-03
334.0,[101641149 101260186  99890013 105508136 101819690],['2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-05-01'],[1072200 1072200 1072200 1072200 1072200],5,1072200.0,5361000,2015-03,2015-05
491857.0,[75004790],['2014-01-01'],[7100],1,7100.0,7100,2014-01,2014-01
131411.0,[60950680],['2012-12-01'],[18800],1,18800.0,18800,2012-12,2012-12
196957.0,[76456617 81340359],['2014-03-01' '2014-03-01'],[17000 17000],2,17000.0,34000,2014-03,2014-03
65886.0,[101543079  99098390],['2015-03-01' '2015-03-01'],[15300 15300],2,15300.0,30600,2015-03,2015-03
360824.0,[93542232],['2014-12-01'],[3700],1,3700.0,3700,2014-12,2014-12
360829.0,[91679285],['2014-07-01'],[14300],1,14300.0,14300,2014-07,2014-07
295300.0,[101355675 103041713],['2015-05-01' '2015-05-01'],[15800 15800],2,15800.0,31600,2015-05,2015-05
197012.0,[85042457],['2014-07-01'],[1500],1,1500.0,1500,2014-07,2014-07
98709.0,[80123131 97812394 91919574],['2014-04-01' '2014-04-01' '2014-04-01'],[695000 695000 695000],3,695000.0,2085000,2014-04,2014-04
65950.0,[ 79285467 101686719  97939143],['2014-03-01' '2014-03-01' '2014-03-01'],[14600 14600 14600],3,14600.0,43800,2014-03,2014-03
459167.0,[97767425 76442143 79623302],['2014-02-01' '2014-02-01' '2014-02-01'],[6556100 6556100 6556100],3,6556100.0,19668300,2014-02,2014-02
98721.0,[76428563 80105898 80105813 76428824],['2014-02-01' '2014-02-01' '2014-02-01' '2014-02-01'],[6500 5000 6500 5000],4,5750.0,23000,2014-02,2014-02
459183.0,[83487715 97776842 93759819 85274912 91803409],['2014-07-01' '2014-07-01' '2014-08-01' '2014-08-01' '2014-09-01'],[ 961800  961800 8902800 8902800 4479100],5,4841660.0,24208300,2014-07,2014-09
262577.0,[62279265 81848550 81848477],['2013-04-01' '2014-06-01' '2014-06-01'],[      0  289800 1136000],3,475266.6666666667,1425800,2013-04,2014-06
98739.0,[60165213],['2013-01-01'],[4000],1,4000.0,4000,2013-01,2013-01
262580.0,[103012724 102503180],['2015-06-01' '2015-06-01'],[1600 1600],2,1600.0,3200,2015-06,2015-06
98741.0,[105031149],['2015-07-01'],[0],1,0.0,0,2015-07,2015-07
439.0,"[ 91685876  87367335  93356609  95386647  96516807 106013230 100734789
 104414852]","['2014-09-01' '2014-09-01' '2014-11-01' '2014-12-01' '2015-01-01'
 '2015-04-01' '2015-04-01' '2015-07-01']",[ 85500  85500   9400   8300  97800  10200  10200 151600],8,57312.5,458500,2014-09,2015-07
98753.0,[75019943],['2013-12-01'],[71700],1,71700.0,71700,2013-12,2013-12
491971.0,[112381593 105250905 112381569 112381596 105250903 105250749],"['2015-08-01' '2015-08-01' '2015-08-01' '2015-08-01' '2015-08-01'
 '2015-08-01']",[67100 26000 36400 26000 67100 36400],6,43166.666666666664,259000,2015-08,2015-08
229828.0,[76447696],['2014-03-01'],[0],1,0.0,0,2014-03,2014-03
197062.0,[91792736 86295069],['2014-09-01' '2014-09-01'],[154200 154200],2,154200.0,308400,2014-09,2014-09
426451.0,[61822802],['2013-05-01'],[130800],1,130800.0,130800,2013-05,2013-05
360915.0,[79321776 91875585],['2014-04-01' '2014-04-01'],[70000 70000],2,70000.0,140000,2014-04,2014-04
360922.0,"[ 61170709  67786204  73327162  76453735  75000291  75009787  75000294
  87373841  91725015  75000287  76450682  80086100  91922368  97814461
  93761259  97003629  97995016  99912578 100467544 103024962 100871867
 102153857 108904198 108951301 102692674 104924309 104638460]","['2013-01-01' '2013-09-01' '2013-11-01' '2013-12-01' '2014-01-01'
 '2014-01-01' '2014-01-01' '2014-01-01' '2014-01-01' '2014-01-01'
 '2014-02-01' '2014-02-01' '2014-09-01' '2014-09-01' '2014-11-01'
 '2015-01-01' '2015-01-01' '2015-04-01' '2015-04-01' '2015-04-01'
 '2015-05-01' '2015-06-01' '2015-06-01' '2015-06-01' '2015-06-01'
 '2015-07-01' '2015-07-01']","[ 13400  38300   3300  64400   2600  13600   2600   2600   2600   2600
  80900  80900  57600  57600  71800   2500  26600  90800  10400  10400
   3600 111000   6200  10200 111000   5100 294100]",27,43581.48148148148,1176700,2013-01,2015-07
480.0,[61886900 61844612],['2013-05-01' '2013-05-01'],[4000 4800],2,4400.0,8800,2013-05,2013-05
262626.0,[60606270 60606926],['2012-12-01' '2013-02-01'],[ 9000 11000],2,10000.0,20000,2012-12,2013-02
33258.0,[97769892 91766525],['2014-10-01' '2014-10-01'],[25444900 25444900],2,25444900.0,50889800,2014-10,2014-10
229884.0,[42701499 60310478 62977410 96521760],['2012-10-01' '2013-01-01' '2013-07-01' '2015-01-01'],[ 26900      0      0 638800],4,166425.0,665700,2012-10,2015-01
360959.0,[ 9389475 83519883],['2014-07-01' '2014-07-01'],[60592700 60592700],2,60592700.0,121185400,2014-07,2014-07
513.0,[103946534],['2015-01-01'],[16000],1,16000.0,16000,2015-01,2015-01
33285.0,[98082384],['2015-02-01'],[105800],1,105800.0,105800,2015-02,2015-02
229910.0,[106926737],['2015-08-01'],[262500],1,262500.0,262500,2015-08,2015-08
295447.0,[ 75070419  75003175  75003179 102623096],['2014-01-01' '2014-01-01' '2014-01-01' '2015-06-01'],[849900 100000 360100 479300],4,447325.0,1789300,2014-01,2015-06
164379.0,[91756644],['2014-06-01'],[44100],1,44100.0,44100,2014-06,2014-06
66085.0,[111544098 111863213  91746879 110604079  97962042 111544082 111863188],"['2014-09-01' '2014-09-01' '2014-09-01' '2014-11-01' '2014-12-01'
 '2014-12-01' '2014-12-01']",[6846000 6846000 6846000 6303000 6846000 6846000 6846000],7,6768428.571428572,47379000,2014-09,2014-12
66091.0,[67675634 67675632],['2013-08-01' '2013-08-01'],[5500 5400],2,5450.0,10900,2013-08,2013-08
492076.0,[99545992],['2015-04-01'],[110000],1,110000.0,110000,2015-04,2015-04
98864.0,[100871078],['2015-05-01'],[390500],1,390500.0,390500,2015-05,2015-05
66100.0,[62223470],['2013-06-01'],[2500],1,2500.0,2500,2013-06,2013-06
131644.0,[92703521 68735168],['2013-08-01' '2013-08-01'],[140000000 140000000],2,140000000.0,280000000,2013-08,2013-08
229948.0,[80088887 75076982],['2014-02-01' '2014-02-01'],[13700 13700],2,13700.0,27400,2014-02,2014-02
131649.0,[66082253 91759536],['2012-11-01' '2014-10-01'],[900   0],2,450.0,900,2012-11,2014-10
393794.0,[60920396 70186483],['2013-03-01' '2013-11-01'],[6400 2200],2,4300.0,8600,2013-03,2013-11
328262.0,[99057650],['2015-02-01'],[102600],1,102600.0,102600,2015-02,2015-02
262730.0,[102428180 103017782],['2015-06-01' '2015-06-01'],[13500 13500],2,13500.0,27000,2015-06,2015-06
426585.0,[61036726],['2013-01-01'],[4500],1,4500.0,4500,2013-01,2013-01
393822.0,[ 60926848  62167032 100176911 101093305],['2013-02-01' '2013-04-01' '2015-04-01' '2015-05-01'],[    53300     59800         0 140482500],4,35148900.0,140595600,2013-02,2015-05
459374.0,[108951408 106298144],['2015-08-01' '2015-08-01'],[150000 150000],2,150000.0,300000,2015-08,2015-08
131698.0,[ 87439836  75002721  91725681 103051228  99077779],['2014-01-01' '2014-01-01' '2014-01-01' '2015-03-01' '2015-03-01'],[89400 89400 89400 28500 28500],5,65040.0,325200,2014-01,2015-03
426615.0,[ 99087985  99087990 103064682],['2015-03-01' '2015-03-01' '2015-03-01'],[ 5300 11100 11100],3,9166.666666666666,27500,2015-03,2015-03
33409.0,[76438985],['2014-03-01'],[426800],1,426800.0,426800,2014-03,2014-03
197250.0,[61272699 68743270 97770393],['2013-02-01' '2013-08-01' '2013-08-01'],[71000 81000 81000],3,77666.66666666667,233000,2013-02,2013-08
164481.0,[92562181],['2014-10-01'],[227600],1,227600.0,227600,2014-10,2014-10
33412.0,[71045763 79555593 97800884 91905447],['2013-12-01' '2014-01-01' '2014-01-01' '2014-01-01'],[1209900 1209900 1209900 1209900],4,1209900.0,4839600,2013-12,2014-01
459400.0,[101169827 103029679],['2015-05-01' '2015-05-01'],[70000 70000],2,70000.0,140000,2015-05,2015-05
492184.0,[96734031],['2015-01-01'],[102700],1,102700.0,102700,2015-01,2015-01
459420.0,[61534333 62132339],['2013-04-01' '2013-06-01'],[2500000   20000],2,1260000.0,2520000,2013-04,2013-06
426661.0,[67904837 67904841],['2013-07-01' '2013-07-01'],[25700 26200],2,25950.0,51900,2013-07,2013-07
262821.0,[97777128 91877079],['2014-07-01' '2014-07-01'],[8000 8000],2,8000.0,16000,2014-07,2014-07
131750.0,[108752302  98626625],['2015-03-01' '2015-03-01'],[51400 51400],2,51400.0,102800,2015-03,2015-03
459442.0,[ 73341650  75076631  80341645 104922340 105312289 104922350],"['2013-07-01' '2014-01-01' '2014-01-01' '2015-07-01' '2015-07-01'
 '2015-07-01']",[733800 733800 733800 669800 669800 669800],6,701800.0,4210800,2013-07,2015-07
164533.0,[76431697 81319602 76431692 81319618 76431695 81319585 81319624 76431684],"['2014-03-01' '2014-03-01' '2014-03-01' '2014-03-01' '2014-03-01'
 '2014-03-01' '2014-03-01' '2014-03-01']",[ 8500  7000  7000 29700 29700  9300  8500  9300],8,13625.0,109000,2014-03,2014-03
99004.0,[44112529],['2013-01-01'],[58400],1,58400.0,58400,2013-01,2013-01
328381.0,"[64313194 73325514 73325509 72835409 72835403 72835414 74995303 92781666
 79570169 74995325 79570149 76448143 79570143 74995154 97773544 97773533]","['2013-06-01' '2013-07-01' '2013-07-01' '2013-12-01' '2013-12-01'
 '2013-12-01' '2014-01-01' '2014-01-01' '2014-01-01' '2014-01-01'
 '2014-01-01' '2014-01-01' '2014-01-01' '2014-01-01' '2014-12-01'
 '2014-12-01']","[   21000 47529200 50546800        0 18000000 30000000 23416600 23416600
 47529200 50546800 50546800   101200 23416600 47529200        0        0]",16,25787500.0,412600000,2013-06,2014-12
33469.0,"[ 86800476  91698980  91727478  91727495  86800488  86800509  86800490
  86800499  91698973  91699060  91699088  91698960  91699074  91727474
  91698997  87375699  87375756  87375713  87375691  87375678  87375676
  87375674  87375711  87375707  87375705  87375693  87375685  87375703
  87375680  87375672  87375715  87375709  87375689  87375687  87375682
  91698964  91699067  91727482  91698968  91727485  91727472  91727466
  91727468  86800483  91698956  91699021  91699001  91699096  86800492
  91698983  91699010  86800507  86800600  86800503  86800497  91699080
  91698991  91699014  91698950  91699006  86800511  91727498  91727487
  91727480  91699051  87375701 106926699]","['2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-07-01' '2015-08-01']","[ 8800  2800  4100  2800  2100  4100  4800  2800  5900  1900  4500  2100
  4800  4100  4800  2400  3600  2800  6200  4100  5500 11000  4400  5000
  4800  5500  7200  5200  4100  8300  4500  4500  5900  2100 10300  9400
  5200  7200  4800  2100  5500  8300 11000  4100  4100  9700  6200  4400
  9400  4800  3600  4800  9700  4800  5900  5000  4100  5500  8800  5500
  5500  4500  5900 10300  2400  1900 10000]",67,5405.9701492537315,362200,2014-07,2015-08
492225.0,[76434123],['2014-01-01'],[9900],1,9900.0,9900,2014-01,2014-01
262853.0,[ 92420796 109101786 106927551],['2014-10-01' '2015-08-01' '2015-08-01'],[8800    0    0],3,2933.3333333333335,8800,2014-10,2015-08
393927.0,"[108978895 100868695 100868707 108751822 108978888 108751818 111384046
 108978882 108751825]","['2015-02-01' '2015-02-01' '2015-02-01' '2015-02-01' '2015-02-01'
 '2015-02-01' '2015-02-01' '2015-02-01' '2015-02-01']",[10700 18500 27500 52100 23800 16900 39700 21400  8200],9,24311.11111111111,218800,2015-02,2015-02
164560.0,[75007250 81338286],['2013-12-01' '2013-12-01'],[557400 557400],2,557400.0,1114800,2013-12,2013-12
492244.0,[61758599],['2013-05-01'],[21000],1,21000.0,21000,2013-05,2013-05
328404.0,[62188787],['2013-06-01'],[19100],1,19100.0,19100,2013-06,2013-06
262875.0,"[ 92403898  93695102 100869714  93695045  93695141  93695118  93695093
  93695143  97935591  93695059  93695080  93538440  93538515  93538504
  93695052  93695064  93695076  93695089  97935629  93538453  97935577
  97935660  97935616  93538526  97935574  93538553  93538471  97935558
  93695110  97935596  93695132  93695084  98054766  96504699 108363992
 101553386  99269152]","['2014-10-01' '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01'
 '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01'
 '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01'
 '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01'
 '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01'
 '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01' '2014-12-01'
 '2014-12-01' '2014-12-01' '2015-01-01' '2015-01-01' '2015-01-01'
 '2015-03-01' '2015-03-01']","[  77100   49000 2010000   20000   38000   22000   20000   83300   52700
 2010000   20000   38000   27000   25900   20000   51700   17200   27800
   46200   38000   70400   13000   42000   42000   38000   38400   52700
   52200  144500   48000   38000   41100 1727800   46400 1727800 2600600
       0]",37,308562.1621621622,11416800,2014-10,2015-03
328415.0,[103880873],['2015-07-01'],[10600],1,10600.0,10600,2015-07,2015-07
525044.0,[100546422 103048275],['2015-04-01' '2015-06-01'],[12900   500],2,6700.0,13400,2015-04,2015-06
164603.0,[91758320 85272506 97790663],['2014-08-01' '2014-08-01' '2014-09-01'],[524900 524900 524500],3,524766.6666666666,1574300,2014-08,2014-09
426748.0,[ 60131993  62182084  80071838  75066833 108915847 112409145  81378995],"['2013-01-01' '2013-02-01' '2014-02-01' '2014-02-01' '2014-02-01'
 '2014-05-01' '2014-05-01']",[   244500    131600     94300     94300     94300 348560400 348560400],7,99682828.57142857,697779800,2013-01,2014-05
525053.0,[44371513],['2012-12-01'],[18200],1,18200.0,18200,2012-12,2012-12
459531.0,[60617308 76427233 76427229 80300600 80300564],['2012-12-01' '2013-12-01' '2013-12-01' '2013-12-01' '2013-12-01'],[ 9600 11100 22300 11100 22300],5,15280.0,76400,2012-12,2013-12
33550.0,[99070327],['2015-03-01'],[389200],1,389200.0,389200,2015-03,2015-03
492306.0,[43466040],['2012-11-01'],[84600],1,84600.0,84600,2012-11,2012-11
492308.0,[43472228 61039825],['2012-10-01' '2013-03-01'],[1500000     200],2,750100.0,1500200,2012-10,2013-03
33569.0,[99057837],['2015-02-01'],[70000],1,70000.0,70000,2015-02,2015-02
230198.0,[ 88760131 110617667],['2014-10-01' '2015-07-01'],[250000  52100],2,151050.0,302100,2014-10,2015-07
197440.0,[73339726 73339721],['2013-09-01' '2013-09-01'],[4000 8100],2,6050.0,12100,2013-09,2013-09
328513.0,[109015268],['2015-01-01'],[1500000],1,1500000.0,1500000,2015-01,2015-01
33606.0,[ 60474813  82042364 101884630],['2013-02-01' '2014-07-01' '2015-05-01'],[475700 398500      0],3,291400.0,874200,2013-02,2015-05
