"EID","WZCODE","RECRNUM","RECDATE"
"33763","ZP02","1","2015-01"
"34483","ZP02","1","2015-08"
"35899","ZP01","2","2015-05"
"35899","ZP02","11","2015-08"
"35899","ZP03","21","2015-08"
"36016","ZP02","8","2015-08"
"36016","ZP03","6","2015-08"
"36823","ZP01","12","2015-06"
"37301","ZP02","7","2015-03"
"38092","ZP02","4","2015-03"
"39412","ZP02","1","2015-07"
"40409","ZP02","62","2015-08"
"40409","ZP03","40","2015-08"
"41766","ZP03","1","2015-03"
"42369","ZP03","32","2015-08"
"42472","ZP03","2","2015-04"
"45597","ZP03","6","2015-05"
"46057","ZP03","25","2015-08"
"46189","ZP03","36","2015-08"
"47410","ZP02","10","2015-07"
"47508","ZP02","33","2015-08"
"48170","ZP02","3","2015-07"
"49998","ZP03","6","2015-08"
"51697","ZP03","6","2015-08"
"54074","ZP01","3","2015-08"
"55090","ZP03","16","2015-08"
"55161","ZP02","15","2015-08"
"56335","ZP01","10","2015-08"
"56335","ZP02","110","2015-08"
"56335","ZP03","11","2015-08"
"57910","ZP02","26","2015-07"
"58513","ZP03","4","2015-01"
"59801","ZP02","4","2015-01"
"60646","ZP02","12","2015-08"
"61053","ZP02","14","2015-08"
"61053","ZP03","9","2015-08"
"61598","ZP02","20","2015-08"
"62880","ZP02","3","2015-07"
"64099","ZP02","44","2015-08"
"64099","ZP03","14","2015-08"
"64582","ZP02","4","2015-08"
"64582","ZP03","4","2015-07"
"65482","ZP02","6","2015-08"
"65923","ZP02","2","2015-01"
"71306","ZP01","13","2015-08"
"71306","ZP02","9","2015-05"
"72677","ZP01","7","2015-07"
"72677","ZP02","1","2015-06"
"72677","ZP03","18","2015-08"
"73579","ZP03","2","2015-08"
"74128","ZP03","20","2015-08"
"74476","ZP02","2","2015-05"
"75568","ZP02","25","2015-04"
"75851","ZP02","1","2015-03"
"78581","ZP03","26","2015-08"
"79247","ZP02","301","2015-08"
"79247","ZP03","6","2015-08"
"80297","ZP03","8","2015-05"
"80879","ZP02","34","2015-08"
"80879","ZP03","18","2015-04"
"81520","ZP02","2","2015-06"
"82338","ZP02","5","2015-08"
"82338","ZP03","3","2015-04"
"83817","ZP02","14","2015-08"
"83817","ZP03","13","2015-08"
"84165","ZP02","6","2015-06"
"84165","ZP03","2","2015-08"
"85259","ZP01","31","2015-08"
"85259","ZP02","91","2015-01"
"85803","ZP01","4","2015-08"
"85803","ZP02","64","2015-08"
"93351","ZP02","1","2015-01"
"93515","ZP02","32","2015-08"
"94756","ZP02","1","2015-07"
"94773","ZP02","22","2015-08"
"94948","ZP02","1","2015-04"
"95511","ZP02","9","2015-08"
"96510","ZP01","4","2015-05"
"97304","ZP03","19","2015-08"
"97857","ZP02","114","2015-08"
"97870","ZP02","26","2015-08"
"99135","ZP02","8","2015-08"
"100206","ZP03","11","2015-06"
"102929","ZP03","5","2015-08"
"103249","ZP01","1","2015-01"
"104340","ZP02","7","2015-07"
"104340","ZP03","6","2015-03"
"105062","ZP02","2","2015-08"
"105897","ZP02","24","2015-08"
"105912","ZP02","19","2015-07"
"106149","ZP02","4","2015-03"
"106892","ZP01","97","2015-08"
"109834","ZP02","4","2015-01"
"112058","ZP02","8","2015-08"
"112086","ZP03","1","2015-03"
"112219","ZP02","11","2015-08"
"112547","ZP02","1","2015-02"
"113047","ZP03","11","2015-05"
"113530","ZP02","31","2015-08"
"114841","ZP02","2","2015-08"
"114841","ZP03","1","2015-04"
"115163","ZP02","17","2015-08"
"115330","ZP02","2","2015-08"
"116926","ZP02","7","2015-06"
"119453","ZP01","18","2015-06"
"120870","ZP03","15","2015-08"
"121398","ZP02","32","2015-06"
"121398","ZP03","2","2015-08"
"123424","ZP01","1","2015-01"
"123424","ZP02","3","2015-07"
"123488","ZP03","4","2015-08"
"123794","ZP03","4","2015-08"
"123811","ZP02","27","2015-08"
"124831","ZP02","62","2015-08"
"126002","ZP02","9","2015-08"
"126372","ZP03","23","2015-08"
"126753","ZP02","26","2015-08"
"128545","ZP02","17","2015-08"
"128598","ZP02","28","2015-08"
"128598","ZP03","3","2015-08"
"128752","ZP02","13","2015-08"
"129622","ZP03","4","2015-04"
"130421","ZP02","4","2015-08"
"131209","ZP01","5","2015-01"
"131209","ZP02","16","2015-08"
"131209","ZP03","11","2015-03"
"131395","ZP02","5","2015-08"
"133723","ZP02","18","2015-08"
"136379","ZP02","4","2015-08"
"136379","ZP03","1","2015-03"
"137406","ZP02","19","2015-08"
"138763","ZP01","2","2015-01"
"138763","ZP03","11","2015-08"
"139079","ZP02","20","2015-03"
"139119","ZP02","1","2015-07"
"139165","ZP02","2","2015-07"
"139165","ZP03","2","2015-07"
"139607","ZP02","5","2015-04"
"139607","ZP03","2","2015-03"
"139994","ZP03","1","2015-07"
"140234","ZP01","11","2015-05"
"140234","ZP02","37","2015-08"
"140234","ZP03","17","2015-08"
"140892","ZP02","90","2015-07"
"140892","ZP03","46","2015-08"
"140992","ZP02","1","2015-04"
"141750","ZP02","19","2015-08"
"144251","ZP01","11","2015-05"
"144251","ZP02","36","2015-08"
"144251","ZP03","18","2015-08"
"144608","ZP03","3","2015-06"
"146196","ZP03","10","2015-08"
"146259","ZP02","5","2015-06"
"147421","ZP02","4","2015-08"
"149853","ZP01","12","2015-06"
"149853","ZP02","29","2015-08"
"149853","ZP03","23","2015-08"
"152482","ZP02","98","2015-08"
"152482","ZP03","9","2015-06"
"152692","ZP01","9","2015-08"
"152692","ZP02","42","2015-08"
"153639","ZP03","5","2015-04"
"154205","ZP03","5","2015-07"
"154454","ZP02","4","2015-06"
"155240","ZP03","89","2015-08"
"156374","ZP02","8","2015-08"
"157165","ZP02","4","2015-07"
"157206","ZP02","1","2015-08"
"157854","ZP02","35","2015-05"
"161136","ZP03","20","2015-07"
"162174","ZP02","3","2015-05"
"163980","ZP03","2","2015-07"
"164552","ZP03","1","2015-04"
"164621","ZP02","12","2015-05"
"165893","ZP03","8","2015-08"
"165903","ZP02","6","2015-08"
"166966","ZP02","5","2015-08"
"167153","ZP02","10","2015-08"
"167861","ZP01","4","2015-01"
"169990","ZP02","78","2015-06"
"171399","ZP02","16","2015-03"
"171399","ZP03","25","2015-08"
"172627","ZP03","37","2015-05"
"172900","ZP02","8","2015-08"
"173872","ZP02","2","2015-07"
"173872","ZP03","1","2015-08"
"174235","ZP03","2","2015-08"
"175008","ZP03","22","2015-08"
"175781","ZP03","9","2015-06"
"176101","ZP03","25","2015-08"
"176196","ZP01","1","2015-08"
"176196","ZP02","20","2015-06"
"176196","ZP03","40","2015-08"
"176847","ZP03","2","2015-08"
"177194","ZP02","21","2015-08"
"179178","ZP02","22","2015-08"
"179387","ZP03","20","2015-06"
"182111","ZP02","30","2015-08"
"185306","ZP02","3","2015-07"
"186211","ZP01","5","2015-08"
"187530","ZP02","13","2015-08"
"187530","ZP03","8","2015-08"
"187835","ZP02","45","2015-08"
"187835","ZP03","25","2015-06"
"189718","ZP02","5","2015-08"
"191401","ZP02","32","2015-01"
"192460","ZP02","3","2015-08"
"193838","ZP02","9","2015-03"
"194115","ZP01","2","2015-01"
"194115","ZP02","9","2015-07"
"194403","ZP01","9","2015-05"
"194858","ZP02","3","2015-08"
"195140","ZP03","6","2015-07"
"195386","ZP02","11","2015-07"
"195386","ZP03","15","2015-08"
"198471","ZP03","22","2015-08"
"198741","ZP03","8","2015-01"
"200114","ZP02","228","2015-06"
"200114","ZP03","25","2015-08"
"200898","ZP02","1","2015-03"
"201955","ZP02","27","2015-08"
"201955","ZP03","119","2015-06"
"202669","ZP01","3","2015-08"
"202669","ZP02","424","2015-08"
"202703","ZP03","17","2015-08"
"203710","ZP01","29","2015-08"
"203710","ZP02","58","2015-08"
"203710","ZP03","13","2015-08"
"204126","ZP01","4","2015-08"
"204126","ZP02","10","2015-08"
"204126","ZP03","7","2015-08"
"207775","ZP02","30","2015-08"
"207775","ZP03","16","2015-01"
"208510","ZP03","4","2015-07"
"209073","ZP03","3","2015-05"
"209165","ZP02","8","2015-05"
"209740","ZP02","3","2015-05"
"209856","ZP02","12","2015-02"
"209908","ZP01","81","2015-08"
"209908","ZP02","127","2015-08"
"209908","ZP03","51","2015-08"
"212901","ZP02","4","2015-05"
"213036","ZP02","4","2015-08"
"213603","ZP02","4","2015-08"
"214158","ZP02","67","2015-08"
"214178","ZP02","27","2015-08"
"214999","ZP01","6","2015-02"
"214999","ZP02","167","2015-08"
"214999","ZP03","53","2015-08"
"216009","ZP03","3","2015-08"
"218118","ZP02","9","2015-04"
"218183","ZP02","30","2015-03"
"218183","ZP03","8","2015-05"
"218629","ZP03","40","2015-03"
"219023","ZP02","9","2015-06"
"219084","ZP03","1","2015-08"
"222715","ZP02","9","2015-08"
"223386","ZP03","3","2015-03"
"223656","ZP03","6","2015-01"
"224047","ZP02","28","2015-08"
"224791","ZP02","2","2015-04"
"224840","ZP03","6","2015-08"
"225464","ZP01","5","2015-05"
"225464","ZP03","35","2015-08"
"226741","ZP01","2","2015-05"
"226757","ZP02","46","2015-08"
"227871","ZP02","133","2015-08"
"227871","ZP03","37","2015-08"
"228348","ZP02","166","2015-08"
"228348","ZP03","120","2015-08"
"230136","ZP01","6","2015-05"
"230136","ZP02","21","2015-08"
"230491","ZP01","2","2015-08"
"230491","ZP02","48","2015-08"
"231034","ZP03","5","2015-08"
"231150","ZP01","4","2015-06"
"231150","ZP03","20","2015-08"
"231519","ZP02","2","2015-03"
"232012","ZP02","7","2015-08"
"232012","ZP03","8","2015-03"
"232335","ZP02","3","2015-05"
"232400","ZP03","8","2015-08"
"233841","ZP02","80","2015-08"
"233841","ZP03","52","2015-08"
"233938","ZP02","6","2015-07"
"234382","ZP02","1","2015-04"
"234576","ZP02","26","2015-08"
"235034","ZP02","14","2015-08"
"235325","ZP02","3","2015-07"
"235325","ZP03","4","2015-08"
"236089","ZP03","1","2015-08"
"236759","ZP02","29","2015-08"
"238313","ZP02","3","2015-02"
"238313","ZP03","21","2015-08"
"238917","ZP02","3","2015-07"
"238917","ZP03","3","2015-03"
"240555","ZP02","96","2015-03"
"241012","ZP03","14","2015-07"
"241872","ZP01","1","2015-01"
"242218","ZP03","6","2015-08"
"242235","ZP02","6","2015-08"
"242257","ZP02","4","2015-08"
"242363","ZP03","5","2015-03"
"243006","ZP03","4","2015-08"
"243121","ZP02","2","2015-05"
"243454","ZP03","10","2015-07"
"247336","ZP03","17","2015-08"
"248153","ZP02","4","2015-08"
"249773","ZP01","117","2015-08"
"249773","ZP02","216","2015-08"
"249773","ZP03","106","2015-08"
"251875","ZP03","17","2015-08"
"254817","ZP02","2","2015-07"
"254817","ZP03","18","2015-08"
"255503","ZP02","5","2015-08"
"255771","ZP02","1","2015-08"
"255801","ZP03","11","2015-08"
"257671","ZP02","14","2015-07"
"258195","ZP02","9","2015-08"
"258199","ZP02","4","2015-08"
"258199","ZP03","3","2015-05"
"258585","ZP02","24","2015-08"
"258585","ZP03","28","2015-08"
"259976","ZP01","2","2015-08"
"260002","ZP02","1","2015-04"
"262345","ZP02","67","2015-08"
"262345","ZP03","21","2015-08"
"263099","ZP01","5","2015-08"
"263099","ZP02","47","2015-08"
"263099","ZP03","42","2015-08"
"263358","ZP01","3","2015-07"
"263358","ZP02","15","2015-08"
"263358","ZP03","2","2015-01"
"263698","ZP02","16","2015-05"
"263698","ZP03","7","2015-04"
"263889","ZP02","16","2015-08"
"264539","ZP03","8","2015-08"
"265018","ZP02","94","2015-08"
"265018","ZP03","12","2015-01"
"266389","ZP03","7","2015-06"
"267229","ZP02","7","2015-05"
"267409","ZP03","3","2015-08"
"267809","ZP02","33","2015-05"
"268467","ZP03","2","2015-04"
"268577","ZP02","5","2015-08"
"268734","ZP02","1","2015-06"
"269543","ZP03","2","2015-05"
"269613","ZP02","15","2015-08"
"269797","ZP02","41","2015-08"
"270243","ZP02","11","2015-08"
"270547","ZP02","1","2015-08"
"271006","ZP01","15","2015-08"
"271006","ZP02","39","2015-08"
"271006","ZP03","14","2015-08"
"272429","ZP02","11","2015-08"
"272929","ZP02","8","2015-08"
"272929","ZP03","6","2015-04"
"273507","ZP03","16","2015-08"
"273861","ZP03","51","2015-08"
"274406","ZP02","6","2015-07"
"276671","ZP02","21","2015-08"
"276691","ZP03","8","2015-08"
"277003","ZP02","1","2015-07"
"278026","ZP03","8","2015-05"
"278345","ZP01","10","2015-08"
"281195","ZP03","27","2015-08"
"281331","ZP02","2","2015-08"
"282218","ZP01","32","2015-08"
"282218","ZP02","59","2015-08"
"282218","ZP03","52","2015-08"
"282328","ZP02","148","2015-07"
"282328","ZP03","75","2015-08"
"283548","ZP02","123","2015-08"
"283548","ZP03","86","2015-08"
"284050","ZP02","45","2015-08"
"284050","ZP03","13","2015-08"
"284157","ZP02","11","2015-05"
"287240","ZP03","4","2015-03"
"287251","ZP02","30","2015-08"
"288080","ZP01","2","2015-01"
"288147","ZP01","5","2015-08"
"288147","ZP02","41","2015-08"
"288243","ZP02","4","2015-07"
"288387","ZP02","26","2015-08"
"288387","ZP03","9","2015-03"
"288562","ZP03","7","2015-05"
"288815","ZP01","37","2015-08"
"288815","ZP02","97","2015-08"
"289102","ZP02","10","2015-08"
"289102","ZP03","6","2015-08"
"290111","ZP01","3","2015-02"
"290111","ZP02","9","2015-04"
"291419","ZP02","129","2015-08"
"292677","ZP02","24","2015-08"
"294511","ZP02","22","2015-08"
"294511","ZP03","13","2015-08"
"295089","ZP03","4","2015-08"
"295503","ZP02","8","2015-08"
"295676","ZP01","9","2015-02"
"295676","ZP02","82","2015-08"
"295676","ZP03","4","2015-08"
"297327","ZP02","41","2015-08"
"297327","ZP03","3","2015-08"
"298979","ZP02","11","2015-08"
"299064","ZP03","7","2015-06"
"299199","ZP01","3","2015-08"
"299199","ZP02","2","2015-05"
"301326","ZP01","12","2015-08"
"301326","ZP02","2","2015-04"
"305477","ZP02","11","2015-06"
"305535","ZP02","33","2015-08"
"305535","ZP03","3","2015-06"
"305652","ZP03","9","2015-01"
"308878","ZP02","16","2015-08"
"310637","ZP02","10","2015-07"
"311521","ZP02","14","2015-07"
"311521","ZP03","8","2015-08"
"312464","ZP03","23","2015-08"
"313993","ZP02","73","2015-08"
"313993","ZP03","10","2015-08"
"314245","ZP02","29","2015-05"
"314245","ZP03","3","2015-03"
"314256","ZP01","9","2015-06"
"314256","ZP02","4","2015-08"
"314256","ZP03","43","2015-08"
"314297","ZP02","30","2015-08"
"314774","ZP02","2","2015-04"
"315330","ZP03","8","2015-08"
"315681","ZP02","32","2015-08"
"316446","ZP02","2","2015-05"
"319052","ZP03","12","2015-05"
"320986","ZP01","1","2015-08"
"320986","ZP02","1","2015-05"
"321786","ZP01","1","2015-03"
"322184","ZP02","25","2015-08"
"322760","ZP02","13","2015-04"
"323842","ZP02","13","2015-08"
"324226","ZP03","9","2015-04"
"325124","ZP02","3","2015-08"
"325124","ZP03","40","2015-08"
"325764","ZP03","6","2015-08"
"326024","ZP02","16","2015-08"
"326024","ZP03","7","2015-08"
"329571","ZP03","1","2015-07"
"329607","ZP02","16","2015-08"
"331458","ZP01","8","2015-08"
"331458","ZP02","22","2015-08"
"332954","ZP03","6","2015-03"
"333179","ZP02","302","2015-08"
"333179","ZP03","10","2015-08"
"335301","ZP01","5","2015-07"
"336040","ZP03","17","2015-08"
"336676","ZP02","1","2015-05"
"336676","ZP03","5","2015-05"
"337286","ZP02","2","2015-02"
"338584","ZP02","3","2015-02"
"340216","ZP03","4","2015-04"
"340723","ZP02","3","2015-07"
"340889","ZP02","3","2015-04"
"340889","ZP03","3","2015-03"
"341775","ZP02","13","2015-03"
"342374","ZP03","2","2015-04"
"342871","ZP03","30","2015-08"
"342938","ZP02","11","2015-08"
"344423","ZP02","2","2015-08"
"346445","ZP02","3","2015-08"
"346952","ZP02","4","2015-07"
"347711","ZP02","2","2015-05"
"348993","ZP02","1","2015-01"
"349494","ZP02","20","2015-07"
"349494","ZP03","12","2015-08"
"349974","ZP02","7","2015-01"
"351184","ZP03","7","2015-07"
"353175","ZP02","4","2015-07"
"353175","ZP03","3","2015-05"
"353410","ZP02","6","2015-08"
"353449","ZP02","2","2015-03"
"353509","ZP02","1","2015-07"
"355136","ZP02","5","2015-04"
"355408","ZP02","1","2015-08"
"355567","ZP02","2","2015-07"
"355567","ZP03","4","2015-08"
"356225","ZP01","2","2015-01"
"358721","ZP02","4","2015-05"
"358721","ZP03","15","2015-06"
"358741","ZP02","59","2015-08"
"360824","ZP02","26","2015-08"
"360824","ZP03","14","2015-08"
"363629","ZP02","10","2015-08"
"364665","ZP02","30","2015-08"
"364665","ZP03","11","2015-03"
"364750","ZP03","4","2015-08"
"365800","ZP03","4","2015-08"
"365840","ZP02","12","2015-08"
"365884","ZP02","10","2015-08"
"367778","ZP01","15","2015-08"
"367778","ZP02","164","2015-08"
"367778","ZP03","78","2015-08"
"368758","ZP03","8","2015-08"
"369386","ZP02","30","2015-05"
"371105","ZP02","20","2015-08"
"373351","ZP03","2","2015-05"
"374215","ZP01","172","2015-08"
"374215","ZP02","253","2015-08"
"374215","ZP03","164","2015-08"
"375724","ZP02","4","2015-08"
"375724","ZP03","1","2015-01"
"376045","ZP03","17","2015-08"
"377802","ZP01","3","2015-08"
"377802","ZP03","17","2015-08"
"378018","ZP01","1","2015-08"
"378018","ZP02","78","2015-08"
"378018","ZP03","8","2015-08"
"378976","ZP02","3","2015-08"
"380129","ZP01","4","2015-08"
"380129","ZP02","21","2015-08"
"380129","ZP03","14","2015-08"
"380372","ZP02","2","2015-02"
"380497","ZP03","49","2015-08"
"382926","ZP02","3","2015-08"
"383070","ZP01","5","2015-06"
"383070","ZP03","35","2015-05"
"384374","ZP02","34","2015-03"
"384869","ZP02","19","2015-08"
"387756","ZP03","86","2015-07"
"390222","ZP02","2","2015-05"
"390222","ZP03","3","2015-05"
"393203","ZP02","21","2015-08"
"393203","ZP03","1","2015-08"
"394329","ZP03","4","2015-08"
"394446","ZP02","5","2015-08"
"396480","ZP02","2","2015-08"
"396823","ZP02","6","2015-06"
"397140","ZP02","2","2015-04"
"398483","ZP02","8","2015-08"
"398483","ZP03","8","2015-08"
"398892","ZP02","2","2015-03"
"399827","ZP02","7","2015-08"
"399940","ZP01","3","2015-06"
"399940","ZP03","2","2015-08"
"401332","ZP02","2","2015-05"
"401726","ZP02","38","2015-08"
"402394","ZP02","10","2015-04"
"403677","ZP02","6","2015-07"
"404203","ZP02","3","2015-05"
"404203","ZP03","1","2015-05"
"404568","ZP02","5","2015-04"
"404706","ZP03","7","2015-03"
"405212","ZP02","6","2015-07"
"405547","ZP02","80","2015-08"
"405547","ZP03","45","2015-08"
"405961","ZP03","5","2015-01"
"406937","ZP02","48","2015-08"
"407722","ZP03","2","2015-03"
"407773","ZP02","8","2015-06"
"407773","ZP03","3","2015-08"
"408281","ZP03","20","2015-08"
"409386","ZP02","15","2015-03"
"411966","ZP01","62","2015-08"
"411966","ZP02","208","2015-08"
"411966","ZP03","80","2015-08"
"413836","ZP02","140","2015-08"
"413836","ZP03","29","2015-08"
"414608","ZP02","12","2015-08"
"415866","ZP03","1","2015-03"
"416415","ZP01","1","2015-05"
"416415","ZP02","221","2015-08"
"416415","ZP03","391","2015-08"
"417135","ZP02","17","2015-08"
"417465","ZP02","42","2015-08"
"417490","ZP03","6","2015-04"
"417825","ZP02","26","2015-08"
"417825","ZP03","18","2015-08"
"418533","ZP03","9","2015-08"
"420081","ZP02","2","2015-08"
"421024","ZP02","29","2015-08"
"421813","ZP01","10","2015-08"
"421817","ZP02","6","2015-08"
"421817","ZP03","26","2015-08"
"421983","ZP02","1","2015-03"
"422576","ZP01","29","2015-06"
"422576","ZP02","25","2015-04"
"423834","ZP02","41","2015-06"
"423834","ZP03","12","2015-06"
"424660","ZP02","10","2015-08"
"424660","ZP03","2","2015-07"
"424887","ZP02","256","2015-08"
"424887","ZP03","272","2015-08"
"425027","ZP03","6","2015-08"
"425170","ZP02","23","2015-06"
"425170","ZP03","5","2015-03"
"425583","ZP02","1","2015-08"
"426854","ZP03","3","2015-08"
"427830","ZP03","13","2015-08"
"431530","ZP03","13","2015-06"
"431731","ZP02","2","2015-01"
"432198","ZP02","6","2015-07"
"432198","ZP03","12","2015-07"
"432675","ZP02","49","2015-08"
"433157","ZP03","5","2015-08"
"434886","ZP03","8","2015-07"
"435081","ZP01","7","2015-08"
"435094","ZP02","67","2015-08"
"435094","ZP03","39","2015-04"
"435255","ZP02","46","2015-06"
"435255","ZP03","14","2015-05"
"436072","ZP02","7","2015-07"
"436546","ZP02","53","2015-08"
"437271","ZP02","16","2015-08"
"437570","ZP01","83","2015-08"
"437570","ZP02","58","2015-08"
"437570","ZP03","31","2015-08"
"439832","ZP02","4","2015-05"
"439832","ZP03","10","2015-08"
"441596","ZP02","8","2015-08"
"442211","ZP02","3","2015-01"
"443839","ZP02","6","2015-06"
"443839","ZP03","7","2015-03"
"444049","ZP02","3","2015-08"
"444049","ZP03","1","2015-08"
"444717","ZP02","8","2015-08"
"445215","ZP01","8","2015-03"
"447806","ZP02","122","2015-08"
"447806","ZP03","57","2015-08"
"447999","ZP03","9","2015-05"
"448089","ZP02","49","2015-08"
"448223","ZP03","6","2015-08"
"448552","ZP03","19","2015-05"
"449111","ZP03","7","2015-08"
"449143","ZP02","51","2015-07"
"450048","ZP03","14","2015-05"
"452362","ZP03","3","2015-06"
"453299","ZP02","29","2015-08"
"455602","ZP03","29","2015-08"
"455710","ZP03","3","2015-08"
"455749","ZP03","2","2015-04"
"455829","ZP02","1","2015-01"
"456579","ZP01","7","2015-08"
"456579","ZP02","44","2015-07"
"456579","ZP03","214","2015-08"
"456624","ZP02","2","2015-05"
"457796","ZP03","2","2015-05"
"458263","ZP02","66","2015-08"
"458263","ZP03","8","2015-08"
"459104","ZP02","12","2015-08"
"459718","ZP03","20","2015-06"
"460171","ZP01","6","2015-08"
"460171","ZP02","25","2015-08"
"460196","ZP03","16","2015-07"
"460839","ZP01","5","2015-05"
"460839","ZP03","15","2015-06"
"461095","ZP03","21","2015-08"
"461503","ZP03","19","2015-08"
"462443","ZP01","2","2015-08"
"462443","ZP02","94","2015-08"
"462607","ZP02","9","2015-01"
"462607","ZP03","10","2015-04"
"462669","ZP03","11","2015-08"
"465151","ZP02","6","2015-08"
"465955","ZP03","5","2015-06"
"466665","ZP01","3","2015-07"
"466908","ZP01","1","2015-01"
"466908","ZP02","60","2015-08"
"468004","ZP02","1","2015-07"
"468512","ZP02","27","2015-08"
"470180","ZP01","8","2015-08"
"470180","ZP02","10","2015-08"
"470180","ZP03","9","2015-06"
"470497","ZP02","93","2015-08"
"470497","ZP03","84","2015-08"
"472751","ZP01","6","2015-08"
"472751","ZP03","20","2015-08"
"474182","ZP02","12","2015-07"
"475031","ZP02","52","2015-08"
"476606","ZP03","1","2015-05"
"477077","ZP03","3","2015-08"
"477424","ZP02","1","2015-03"
"477446","ZP02","30","2015-08"
"479617","ZP03","21","2015-08"
"479887","ZP01","19","2015-08"
"479887","ZP02","11","2015-02"
"479887","ZP03","39","2015-08"
"479983","ZP02","7","2015-08"
"479983","ZP03","6","2015-03"
"482699","ZP01","19","2015-08"
"482699","ZP03","18","2015-06"
"483444","ZP01","13","2015-04"
"483444","ZP02","28","2015-08"
"483618","ZP01","5","2015-06"
"483618","ZP02","17","2015-05"
"485200","ZP02","37","2015-07"
"485442","ZP02","138","2015-08"
"485442","ZP03","28","2015-08"
"485705","ZP01","9","2015-08"
"485705","ZP02","152","2015-08"
"485705","ZP03","42","2015-08"
"488302","ZP02","12","2015-08"
"488765","ZP02","13","2015-08"
"488960","ZP02","156","2015-08"
"488960","ZP03","40","2015-08"
"489104","ZP01","1","2015-01"
"489292","ZP02","7","2015-07"
"489292","ZP03","28","2015-08"
"489887","ZP02","10","2015-08"
"490946","ZP02","9","2015-08"
"491904","ZP03","2","2015-08"
"493447","ZP03","4","2015-08"
"498085","ZP03","4","2015-07"
"498101","ZP01","127","2015-08"
"498101","ZP02","104","2015-08"
"498101","ZP03","58","2015-08"
"498164","ZP02","20","2015-07"
"498309","ZP02","5","2015-03"
"499473","ZP03","5","2015-06"
"500008","ZP02","56","2015-08"
"500566","ZP02","174","2015-08"
"500860","ZP02","31","2015-08"
"500860","ZP03","16","2015-08"
"504436","ZP03","6","2015-04"
"505052","ZP02","8","2015-08"
"505442","ZP03","5","2015-08"
"505713","ZP02","5","2015-08"
"506496","ZP02","3","2015-04"
"506624","ZP01","13","2015-05"
"506624","ZP03","1","2015-06"
"506946","ZP02","3","2015-05"
"507538","ZP03","5","2015-08"
"507779","ZP01","1","2015-05"
"507779","ZP02","67","2015-08"
"510431","ZP02","7","2015-04"
"511730","ZP03","2","2015-01"
"513090","ZP01","31","2015-08"
"513090","ZP02","25","2015-08"
"513178","ZP02","11","2015-08"
"513244","ZP03","1","2015-05"
"513428","ZP03","109","2015-08"
"513910","ZP02","6","2015-06"
"514034","ZP01","5","2015-02"
"514034","ZP02","41","2015-01"
"514034","ZP03","25","2015-01"
"514115","ZP03","3","2015-08"
"514143","ZP03","7","2015-07"
"514288","ZP02","6","2015-08"
"515578","ZP02","6","2015-08"
"517253","ZP02","2","2015-06"
"517762","ZP01","8","2015-08"
"517762","ZP02","13","2015-08"
"518382","ZP02","8","2015-08"
"518382","ZP03","8","2015-08"
"519058","ZP02","16","2015-08"
"519058","ZP03","22","2015-02"
"519709","ZP03","1","2015-08"
"520446","ZP02","10","2015-08"
"522141","ZP02","26","2015-08"
"525653","ZP02","96","2015-08"
"177","ZP02","2","2015-04"
"411","ZP03","2","2015-04"
"2509","ZP02","31","2015-08"
