EID,WZCODE,RECRNUM,RECDATE,RECRUIT_CNT,RECRUIT_WZCODE_CNT,RECRUIT_RECRNUM_AVG,RECRUIT_RECRNUM_SUM,RECRUIT_RECRNUM_MAX,RECRUIT_RECRNUM_MIN,RECRUIT_FIRST_TIME,RECRUIT_END_TIME
131124.0,['ZP02'],[ 4.],['2015-06'],1,1,4.0,4.0,4.0,4.0,2015-06,2015-06
98359.0,['ZP03'],[ 9.],['2015-03'],1,1,9.0,9.0,9.0,9.0,2015-03,2015-03
524344.0,['ZP02'],[ 63.],['2015-08'],1,1,63.0,63.0,63.0,63.0,2015-08,2015-08
32826.0,['ZP01'],[ 25.65832396],['2014-11'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-11,2014-11
426042.0,['ZP02' 'ZP03'],[ 10.   5.],['2015-06' '2015-08'],2,2,7.5,15.0,10.0,5.0,2015-06,2015-08
262204.0,['ZP02'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
262206.0,['ZP03' 'ZP02' 'ZP01'],[  49.  212.   13.],['2015-08' '2015-08' '2015-08'],3,3,91.33333333333333,274.0,212.0,13.0,2015-08,2015-08
64.0,['ZP03'],[ 59.],['2015-08'],1,1,59.0,59.0,59.0,59.0,2015-08,2015-08
294979.0,['ZP03'],[ 3.],['2015-04'],1,1,3.0,3.0,3.0,3.0,2015-04,2015-04
163908.0,['ZP02'],[ 9.],['2015-08'],1,1,9.0,9.0,9.0,9.0,2015-08,2015-08
32840.0,['ZP03' 'ZP02'],[ 12.  18.],['2015-05' '2015-08'],2,2,15.0,30.0,18.0,12.0,2015-05,2015-08
65610.0,['ZP02' 'ZP03'],[ 25.65832396  23.        ],['2014-10' '2015-08'],2,2,24.32916197975253,48.65832395950506,25.65832395950506,23.0,2014-10,2015-08
458826.0,['ZP03' 'ZP02'],[ 25.65832396  25.65832396],['2014-11' '2014-12'],2,2,25.65832395950506,51.31664791901012,25.65832395950506,25.65832395950506,2014-11,2014-12
524365.0,['ZP03' 'ZP02'],[  25.65832396  184.        ],['2014-12' '2015-08'],2,2,104.82916197975253,209.65832395950505,184.0,25.65832395950506,2014-12,2015-08
32846.0,['ZP02'],[ 10.],['2015-08'],1,1,10.0,10.0,10.0,10.0,2015-08,2015-08
32845.0,['ZP02'],[ 45.],['2015-08'],1,1,45.0,45.0,45.0,45.0,2015-08,2015-08
524368.0,['ZP02' 'ZP01'],[ 25.65832396  25.65832396],['2014-10' '2014-10'],2,2,25.65832395950506,51.31664791901012,25.65832395950506,25.65832395950506,2014-10,2014-10
32851.0,['ZP03' 'ZP02' 'ZP01'],[ 37.  81.  30.],['2015-08' '2015-08' '2015-08'],3,3,49.333333333333336,148.0,81.0,30.0,2015-08,2015-08
360532.0,['ZP02' 'ZP03'],[  2.  37.],['2015-05' '2015-08'],2,2,19.5,39.0,37.0,2.0,2015-05,2015-08
163926.0,['ZP02' 'ZP01'],[ 25.65832396   2.        ],['2014-09' '2015-08'],2,2,13.82916197975253,27.65832395950506,25.65832395950506,2.0,2014-09,2015-08
294999.0,['ZP01' 'ZP03'],[ 25.65832396   5.        ],['2014-12' '2015-04'],2,2,15.32916197975253,30.65832395950506,25.65832395950506,5.0,2014-12,2015-04
229462.0,['ZP03' 'ZP02'],[ 12.  14.],['2015-08' '2015-08'],2,2,13.0,26.0,14.0,12.0,2015-08,2015-08
295001.0,['ZP01' 'ZP02'],[ 25.65832396  18.        ],['2014-11' '2015-08'],2,2,21.82916197975253,43.65832395950506,25.65832395950506,18.0,2014-11,2015-08
163930.0,['ZP03'],[ 9.],['2015-05'],1,1,9.0,9.0,9.0,9.0,2015-05,2015-05
131163.0,['ZP01' 'ZP03'],[ 25.65832396   1.        ],['2014-11' '2015-08'],2,2,13.32916197975253,26.65832395950506,25.65832395950506,1.0,2014-11,2015-08
295003.0,['ZP02'],[ 1.],['2015-05'],1,1,1.0,1.0,1.0,1.0,2015-05,2015-05
163931.0,['ZP02'],[ 1.],['2015-07'],1,1,1.0,1.0,1.0,1.0,2015-07,2015-07
491614.0,['ZP03' 'ZP02'],[ 1.  6.],['2015-04' '2015-05'],2,2,3.5,7.0,6.0,1.0,2015-04,2015-05
262233.0,['ZP02'],[ 2.],['2015-07'],1,1,2.0,2.0,2.0,2.0,2015-07,2015-07
524383.0,['ZP03' 'ZP02'],[ 106.   87.],['2015-08' '2015-08'],2,2,96.5,193.0,106.0,87.0,2015-08,2015-08
98396.0,['ZP01' 'ZP02'],[  1.  19.],['2015-08' '2015-08'],2,2,10.0,20.0,19.0,1.0,2015-08,2015-08
131168.0,['ZP03' 'ZP02' 'ZP01'],[ 44.  62.  11.],['2015-08' '2015-08' '2015-08'],3,3,39.0,117.0,62.0,11.0,2015-08,2015-08
98403.0,['ZP02' 'ZP03'],[ 25.65832396  25.65832396],['2014-10' '2014-12'],2,2,25.65832395950506,51.31664791901012,25.65832395950506,25.65832395950506,2014-10,2014-12
327779.0,['ZP02'],[ 12.],['2015-04'],1,1,12.0,12.0,12.0,12.0,2015-04,2015-04
458853.0,['ZP01' 'ZP02'],[ 25.65832396   2.        ],['2014-11' '2015-01'],2,2,13.82916197975253,27.65832395950506,25.65832395950506,2.0,2014-11,2015-01
295014.0,['ZP03'],[ 6.],['2015-04'],1,1,6.0,6.0,6.0,6.0,2015-04,2015-04
131174.0,['ZP03'],[ 2.],['2015-05'],1,1,2.0,2.0,2.0,2.0,2015-05,2015-05
32872.0,['ZP02' 'ZP03'],[ 25.65832396  10.        ],['2014-12' '2015-04'],2,2,17.82916197975253,35.65832395950506,25.65832395950506,10.0,2014-12,2015-04
196712.0,['ZP02'],[ 3.],['2015-03'],1,1,3.0,3.0,3.0,3.0,2015-03,2015-03
426088.0,['ZP03' 'ZP01' 'ZP02'],[ 20.   6.  25.],['2015-03' '2015-03' '2015-08'],3,3,17.0,51.0,25.0,6.0,2015-03,2015-08
458859.0,['ZP02'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
524394.0,['ZP03' 'ZP01' 'ZP02'],[  7.  21.  57.],['2015-05' '2015-06' '2015-08'],3,3,28.333333333333332,85.0,57.0,7.0,2015-05,2015-08
458861.0,['ZP03'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
327789.0,['ZP02'],[ 10.],['2015-06'],1,1,10.0,10.0,10.0,10.0,2015-06,2015-06
229486.0,['ZP01' 'ZP03'],[  8.  21.],['2015-07' '2015-08'],2,2,14.5,29.0,21.0,8.0,2015-07,2015-08
98410.0,['ZP02'],[ 8.],['2015-07'],1,1,8.0,8.0,8.0,8.0,2015-07,2015-07
98417.0,['ZP02'],[ 2.],['2015-01'],1,1,2.0,2.0,2.0,2.0,2015-01,2015-01
295026.0,['ZP03' 'ZP01'],[ 23.  21.],['2015-08' '2015-08'],2,2,22.0,44.0,23.0,21.0,2015-08,2015-08
458864.0,['ZP03'],[ 7.],['2015-08'],1,1,7.0,7.0,7.0,7.0,2015-08,2015-08
360564.0,['ZP02'],[ 6.],['2015-05'],1,1,6.0,6.0,6.0,6.0,2015-05,2015-05
117.0,['ZP03'],[ 5.],['2015-01'],1,1,5.0,5.0,5.0,5.0,2015-01,2015-01
163958.0,['ZP01' 'ZP03'],[ 25.65832396  22.        ],['2014-11' '2015-07'],2,2,23.82916197975253,47.65832395950506,25.65832395950506,22.0,2014-11,2015-07
295029.0,['ZP03'],[ 5.],['2015-01'],1,1,5.0,5.0,5.0,5.0,2015-01,2015-01
327797.0,['ZP03' 'ZP02'],[ 40.  36.],['2015-08' '2015-08'],2,2,38.0,76.0,40.0,36.0,2015-08,2015-08
65658.0,['ZP02'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
491647.0,['ZP01'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
458880.0,['ZP03'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
524416.0,['ZP03'],[ 26.],['2015-08'],1,1,26.0,26.0,26.0,26.0,2015-08,2015-08
393345.0,['ZP03'],[ 41.],['2015-08'],1,1,41.0,41.0,41.0,41.0,2015-08,2015-08
131203.0,['ZP02' 'ZP03'],[ 25.65832396  11.        ],['2014-12' '2015-08'],2,2,18.32916197975253,36.65832395950506,25.65832395950506,11.0,2014-12,2015-08
32900.0,['ZP03'],[ 2.],['2015-08'],1,1,2.0,2.0,2.0,2.0,2015-08,2015-08
132.0,['ZP03'],[ 9.],['2015-08'],1,1,9.0,9.0,9.0,9.0,2015-08,2015-08
135.0,['ZP01'],[ 1.],['2015-07'],1,1,1.0,1.0,1.0,1.0,2015-07,2015-07
491656.0,['ZP03'],[ 10.],['2015-01'],1,1,10.0,10.0,10.0,10.0,2015-01,2015-01
131209.0,['ZP01' 'ZP03' 'ZP02'],[  5.  11.  16.],['2015-01' '2015-03' '2015-08'],3,3,10.666666666666666,32.0,16.0,5.0,2015-01,2015-08
426122.0,['ZP03' 'ZP02'],[ 25.65832396   7.        ],['2014-11' '2015-05'],2,2,16.32916197975253,32.65832395950506,25.65832395950506,7.0,2014-11,2015-05
163978.0,['ZP03' 'ZP02'],[  1.  20.],['2015-06' '2015-08'],2,2,10.5,21.0,20.0,1.0,2015-06,2015-08
262280.0,['ZP03' 'ZP02'],[  1.  16.],['2015-07' '2015-08'],2,2,8.5,17.0,16.0,1.0,2015-07,2015-08
163980.0,['ZP03'],[ 2.],['2015-07'],1,1,2.0,2.0,2.0,2.0,2015-07,2015-07
491662.0,['ZP02'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
143.0,['ZP01' 'ZP03' 'ZP02'],[ 23.  25.  13.],['2015-03' '2015-05' '2015-06'],3,3,20.333333333333332,61.0,25.0,13.0,2015-03,2015-06
32904.0,['ZP03'],[ 1.],['2015-07'],1,1,1.0,1.0,1.0,1.0,2015-07,2015-07
327826.0,['ZP02'],[ 2.],['2015-03'],1,1,2.0,2.0,2.0,2.0,2015-03,2015-03
458901.0,['ZP03'],[ 3.],['2015-08'],1,1,3.0,3.0,3.0,3.0,2015-08,2015-08
163990.0,['ZP03' 'ZP02'],[ 31.  26.],['2015-08' '2015-08'],2,2,28.5,57.0,31.0,26.0,2015-08,2015-08
327835.0,['ZP03'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
491675.0,['ZP03'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
491677.0,['ZP02'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
229531.0,['ZP02'],[ 5.],['2015-06'],1,1,5.0,5.0,5.0,5.0,2015-06,2015-06
360607.0,['ZP03' 'ZP02'],[ 25.65832396  20.        ],['2014-10' '2015-06'],2,2,22.82916197975253,45.65832395950506,25.65832395950506,20.0,2014-10,2015-06
458912.0,['ZP01'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
295073.0,['ZP01' 'ZP03' 'ZP02'],[ 25.65832396  13.          22.        ],['2014-10' '2015-06' '2015-07'],3,3,20.21944131983502,60.65832395950506,25.65832395950506,13.0,2014-10,2015-07
262304.0,['ZP02'],[ 16.],['2015-04'],1,1,16.0,16.0,16.0,16.0,2015-04,2015-04
293112.0,['ZP02'],[ 1.],['2015-07'],1,1,1.0,1.0,1.0,1.0,2015-07,2015-07
262308.0,['ZP02' 'ZP03'],[ 25.65832396  16.        ],['2014-11' '2015-08'],2,2,20.82916197975253,41.65832395950506,25.65832395950506,16.0,2014-11,2015-08
524452.0,['ZP02'],[ 34.],['2015-07'],1,1,34.0,34.0,34.0,34.0,2015-07,2015-07
214958.0,['ZP03'],[ 24.],['2015-08'],1,1,24.0,24.0,24.0,24.0,2015-08,2015-08
426152.0,['ZP03'],[ 2.],['2015-07'],1,1,2.0,2.0,2.0,2.0,2015-07,2015-07
65705.0,['ZP03'],[ 3.],['2015-06'],1,1,3.0,3.0,3.0,3.0,2015-06,2015-06
32939.0,['ZP01' 'ZP02'],[  6.  35.],['2015-04' '2015-08'],2,2,20.5,41.0,35.0,6.0,2015-04,2015-08
426156.0,['ZP01'],[ 1.],['2015-01'],1,1,1.0,1.0,1.0,1.0,2015-01,2015-01
458924.0,['ZP01'],[ 26.],['2015-06'],1,1,26.0,26.0,26.0,26.0,2015-06,2015-06
65707.0,['ZP03' 'ZP02'],[ 34.  59.],['2015-08' '2015-08'],2,2,46.5,93.0,59.0,34.0,2015-08,2015-08
164015.0,['ZP01' 'ZP02'],[ 25.65832396  33.        ],['2014-10' '2015-08'],2,2,29.32916197975253,58.65832395950506,33.0,25.65832395950506,2014-10,2015-08
196784.0,['ZP01'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
393393.0,['ZP02'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
491695.0,['ZP01'],[ 25.65832396],['2014-11'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-11,2014-11
177.0,['ZP02'],[ 2.],['2015-04'],1,1,2.0,2.0,2.0,2.0,2015-04,2015-04
180.0,['ZP02'],[ 23.],['2015-08'],1,1,23.0,23.0,23.0,23.0,2015-08,2015-08
65714.0,['ZP02'],[ 4.],['2015-08'],1,1,4.0,4.0,4.0,4.0,2015-08,2015-08
295089.0,['ZP03'],[ 4.],['2015-08'],1,1,4.0,4.0,4.0,4.0,2015-08,2015-08
98480.0,['ZP03'],[ 3.],['2015-08'],1,1,3.0,3.0,3.0,3.0,2015-08,2015-08
164024.0,['ZP03'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
182.0,['ZP03'],[ 4.],['2015-08'],1,1,4.0,4.0,4.0,4.0,2015-08,2015-08
98490.0,['ZP02'],[ 25.65832396],['2014-11'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-11,2014-11
458939.0,['ZP02'],[ 11.],['2015-08'],1,1,11.0,11.0,11.0,11.0,2015-08,2015-08
65724.0,['ZP02'],[ 1.],['2015-06'],1,1,1.0,1.0,1.0,1.0,2015-06,2015-06
393404.0,['ZP02'],[ 14.],['2015-08'],1,1,14.0,14.0,14.0,14.0,2015-08,2015-08
295102.0,['ZP03'],[ 10.],['2015-05'],1,1,10.0,10.0,10.0,10.0,2015-05,2015-05
98495.0,['ZP02'],[ 1.],['2015-08'],1,1,1.0,1.0,1.0,1.0,2015-08,2015-08
327868.0,['ZP02'],[ 5.],['2015-08'],1,1,5.0,5.0,5.0,5.0,2015-08,2015-08
360641.0,['ZP02'],[ 1.],['2015-04'],1,1,1.0,1.0,1.0,1.0,2015-04,2015-04
262338.0,['ZP02'],[ 5.],['2015-05'],1,1,5.0,5.0,5.0,5.0,2015-05,2015-05
458947.0,['ZP03'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
458948.0,['ZP03'],[ 1.],['2015-06'],1,1,1.0,1.0,1.0,1.0,2015-06,2015-06
458949.0,['ZP03'],[ 1.],['2015-03'],1,1,1.0,1.0,1.0,1.0,2015-03,2015-03
32966.0,['ZP03' 'ZP01' 'ZP02'],[ 25.65832396   8.          10.        ],['2014-12' '2015-03' '2015-08'],3,3,14.552774653168354,43.65832395950506,25.65832395950506,8.0,2014-12,2015-08
198.0,['ZP03' 'ZP02'],[ 6.  7.],['2015-03' '2015-08'],2,2,6.5,13.0,7.0,6.0,2015-03,2015-08
194.0,['ZP03'],[ 1.],['2015-06'],1,1,1.0,1.0,1.0,1.0,2015-06,2015-06
262339.0,['ZP02'],[ 5.],['2015-08'],1,1,5.0,5.0,5.0,5.0,2015-08,2015-08
491722.0,['ZP02'],[ 1.],['2015-07'],1,1,1.0,1.0,1.0,1.0,2015-07,2015-07
202.0,['ZP02'],[ 4.],['2015-08'],1,1,4.0,4.0,4.0,4.0,2015-08,2015-08
426184.0,['ZP02'],[ 29.],['2015-08'],1,1,29.0,29.0,29.0,29.0,2015-08,2015-08
524493.0,['ZP03'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
98509.0,['ZP02'],[ 25.65832396],['2014-11'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-11,2014-11
131278.0,['ZP02'],[ 16.],['2015-08'],1,1,16.0,16.0,16.0,16.0,2015-08,2015-08
262345.0,['ZP03' 'ZP02'],[ 21.  67.],['2015-08' '2015-08'],2,2,44.0,88.0,67.0,21.0,2015-08,2015-08
98506.0,['ZP02'],[ 21.],['2015-08'],1,1,21.0,21.0,21.0,21.0,2015-08,2015-08
491731.0,['ZP03'],[ 19.],['2015-06'],1,1,19.0,19.0,19.0,19.0,2015-06,2015-06
393428.0,['ZP03'],[ 26.],['2015-04'],1,1,26.0,26.0,26.0,26.0,2015-04,2015-04
524501.0,['ZP03' 'ZP02'],[ 25.65832396  43.        ],['2014-10' '2015-06'],2,2,34.32916197975253,68.65832395950505,43.0,25.65832395950506,2014-10,2015-06
196822.0,['ZP03' 'ZP02'],[ 2.  4.],['2015-07' '2015-08'],2,2,3.0,6.0,4.0,2.0,2015-07,2015-08
65751.0,['ZP02'],[ 15.],['2015-05'],1,1,15.0,15.0,15.0,15.0,2015-05,2015-05
215.0,['ZP03'],[ 28.],['2015-08'],1,1,28.0,28.0,28.0,28.0,2015-08,2015-08
219.0,['ZP02'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
131294.0,['ZP03' 'ZP02'],[ 24.  29.],['2015-06' '2015-08'],2,2,26.5,53.0,29.0,24.0,2015-06,2015-08
426208.0,['ZP01' 'ZP03' 'ZP02'],[  7.  28.  27.],['2015-02' '2015-02' '2015-08'],3,3,20.666666666666668,62.0,28.0,7.0,2015-02,2015-08
524515.0,['ZP03'],[ 1.],['2015-08'],1,1,1.0,1.0,1.0,1.0,2015-08,2015-08
360677.0,['ZP01'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
65768.0,['ZP03' 'ZP02'],[ 25.65832396  14.        ],['2014-11' '2015-06'],2,2,19.82916197975253,39.65832395950506,25.65832395950506,14.0,2014-11,2015-06
426217.0,['ZP02'],[ 15.],['2015-08'],1,1,15.0,15.0,15.0,15.0,2015-08,2015-08
295150.0,['ZP02'],[ 25.65832396],['2014-10'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-10,2014-10
327918.0,['ZP01' 'ZP02'],[ 25.65832396  78.        ],['2014-12' '2015-08'],2,2,51.82916197975253,103.65832395950505,78.0,25.65832395950506,2014-12,2015-08
360689.0,['ZP01' 'ZP02' 'ZP03'],[ 25.65832396   3.           1.        ],['2014-10' '2015-02' '2015-06'],3,3,9.886107986501687,29.65832395950506,25.65832395950506,1.0,2014-10,2015-06
458996.0,['ZP02'],[ 1.],['2015-05'],1,1,1.0,1.0,1.0,1.0,2015-05,2015-05
196853.0,['ZP02'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
131317.0,['ZP02' 'ZP03'],[ 25.65832396   5.        ],['2014-12' '2015-07'],2,2,15.32916197975253,30.65832395950506,25.65832395950506,5.0,2014-12,2015-07
327927.0,['ZP03'],[ 25.65832396],['2014-12'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-12,2014-12
393464.0,['ZP03' 'ZP02'],[ 25.65832396   3.        ],['2014-10' '2015-08'],2,2,14.32916197975253,28.65832395950506,25.65832395950506,3.0,2014-10,2015-08
131321.0,['ZP02' 'ZP03'],[  5.  14.],['2015-03' '2015-08'],2,2,9.5,19.0,14.0,5.0,2015-03,2015-08
164090.0,['ZP02' 'ZP03'],[  8.  19.],['2015-05' '2015-08'],2,2,13.5,27.0,19.0,8.0,2015-05,2015-08
524534.0,['ZP01'],[ 3.],['2015-06'],1,1,3.0,3.0,3.0,3.0,2015-06,2015-06
246.0,['ZP02'],[ 1.],['2015-06'],1,1,1.0,1.0,1.0,1.0,2015-06,2015-06
164093.0,['ZP03'],[ 2.],['2015-07'],1,1,2.0,2.0,2.0,2.0,2015-07,2015-07
164086.0,['ZP02'],[ 9.],['2015-08'],1,1,9.0,9.0,9.0,9.0,2015-08,2015-08
98559.0,['ZP03' 'ZP02'],[ 19.  86.],['2015-08' '2015-08'],2,2,52.5,105.0,86.0,19.0,2015-08,2015-08
327936.0,['ZP03'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
196865.0,['ZP02'],[ 25.65832396],['2014-11'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-11,2014-11
164098.0,['ZP01' 'ZP03' 'ZP02'],[ 25.65832396   9.          15.        ],['2014-10' '2015-08' '2015-08'],3,3,16.552774653168353,49.65832395950506,25.65832395950506,9.0,2014-10,2015-08
426243.0,['ZP01' 'ZP03' 'ZP02'],[ 25.65832396   2.          26.        ],['2014-12' '2015-05' '2015-07'],3,3,17.88610798650169,53.65832395950506,26.0,2.0,2014-12,2015-07
459008.0,['ZP02' 'ZP01'],[ 1.  1.],['2015-03' '2015-05'],2,2,1.0,2.0,1.0,1.0,2015-03,2015-05
491780.0,['ZP03' 'ZP02' 'ZP01'],[ 70.  62.  27.],['2015-06' '2015-08' '2015-08'],3,3,53.0,159.0,70.0,27.0,2015-06,2015-08
65798.0,['ZP03'],[ 6.],['2015-08'],1,1,6.0,6.0,6.0,6.0,2015-08,2015-08
262401.0,['ZP02'],[ 65.],['2015-08'],1,1,65.0,65.0,65.0,65.0,2015-08,2015-08
65797.0,['ZP03' 'ZP02'],[ 11.  13.],['2015-08' '2015-08'],2,2,12.0,24.0,13.0,11.0,2015-08,2015-08
393481.0,['ZP03' 'ZP02'],[ 4.  5.],['2015-05' '2015-08'],2,2,4.5,9.0,5.0,4.0,2015-05,2015-08
164106.0,['ZP01' 'ZP02'],[  3.  42.],['2015-01' '2015-08'],2,2,22.5,45.0,42.0,3.0,2015-01,2015-08
65802.0,['ZP02'],[ 23.],['2015-08'],1,1,23.0,23.0,23.0,23.0,2015-08,2015-08
426252.0,['ZP02'],[ 25.65832396],['2014-11'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-11,2014-11
295180.0,['ZP02'],[ 24.],['2015-08'],1,1,24.0,24.0,24.0,24.0,2015-08,2015-08
393484.0,['ZP02'],[ 1.],['2015-08'],1,1,1.0,1.0,1.0,1.0,2015-08,2015-08
33039.0,['ZP02' 'ZP01'],[ 118.    2.],['2015-08' '2015-08'],2,2,60.0,120.0,118.0,2.0,2015-08,2015-08
360720.0,['ZP03'],[ 14.],['2015-08'],1,1,14.0,14.0,14.0,14.0,2015-08,2015-08
393489.0,['ZP02' 'ZP03'],[ 16.  13.],['2015-02' '2015-02'],2,2,14.5,29.0,16.0,13.0,2015-02,2015-02
