"EID","TYPECODE","LAWDATE","LAWAMOUNT"
"165709","101656153","2015-05-01","9600"
"165709","101656164","2015-05-01","10600"
"165709","111875410","2015-05-01","16700"
"165709","111419407","2015-07-01","4000"
"171399","104198809","2015-01-01","419100"
"182433","111384283","2015-08-01","811800"
"182433","108839598","2015-08-01","811800"
"182433","106711447","2015-08-01","811800"
"184565","79283203","2014-03-01","450000"
"184565","102353592","2015-06-01","39000"
"185385","61359856","2013-04-01","36000"
"188562","99092779","2015-03-01","0"
"193252","44453972","2012-10-01","297800"
"195501","111864847","2015-01-01","45200"
"195501","111546431","2015-01-01","45200"
"203710","87375161","2014-05-01","10100"
"203710","91726952","2014-05-01","10100"
"204120","103706638","2015-06-01","20200"
"204120","101091944","2015-05-01","21200"
"204789","62164411","2013-06-01","42500"
"204789","62163966","2013-06-01","37800"
"204789","62160143","2013-06-01","22000"
"204789","62159881","2013-06-01","37800"
"204789","62160462","2013-06-01","47400"
"204789","62161502","2013-06-01","37800"
"204789","62161360","2013-06-01","27400"
"204789","62161760","2013-06-01","42800"
"204789","44524213","2012-11-01","8100"
"204789","44371220","2012-12-01","30000"
"204789","103880899","2015-07-01","73800"
"208280","110506318","2015-06-01","71400"
"209166","82381849","2013-12-01","1105200"
"211667","108983884","2014-12-01","30000"
"211667","97935585","2014-12-01","30000"
"212332","91773431","2014-08-01","10000"
"212332","91744406","2014-09-01","18200"
"212895","85058771","2014-07-01","99400"
"212895","85058656","2014-07-01","1028000"
"212895","60087942","2013-01-01","503800"
"212895","97780066","2014-07-01","223100"
"212895","61087684","2013-03-01","305800"
"212895","60109179","2013-01-01","2980400"
"212895","85058765","2014-07-01","110000"
"213401","97775080","2014-04-01","275500"
"213401","80123016","2014-04-01","275500"
"213401","81389985","2014-05-01","275500"
"213603","42992047","2012-10-01","1749300"
"213603","110577810","2015-04-01","4320000"
"213603","91856850","2014-11-01","247800"
"213603","61467382","2013-04-01","2400"
"213603","85042109","2014-07-01","190500"
"213603","99546363","2015-04-01","207200"
"213603","67909168","2013-07-01","2016500"
"213603","83473374","2014-07-01","70811500"
"213603","97802352","2014-07-01","190500"
"213603","110776700","2015-08-01","27224400"
"213603","111538156","2015-01-01","89788400"
"213603","105250920","2015-08-01","27224400"
"213603","105603319","2015-08-01","27224400"
"213603","101731991","2015-04-01","207200"
"213603","100384728","2015-04-01","4320000"
"213603","99912475","2015-04-01","47373900"
"213603","91756194","2014-10-01","203200"
"213603","75057221","2014-01-01","0"
"213603","73324761","2013-09-01","2000000"
"213603","73325264","2013-10-01","171000"
"213603","73323651","2013-06-01","1699400"
"213603","80155078","2014-05-01","30000000"
"213603","75018172","2014-01-01","3607000"
"213603","81299948","2014-01-01","3607000"
"213603","73324456","2013-07-01","294000"
"214508","102686366","2015-05-01","1086100"
"214508","101889041","2015-05-01","1086100"
"216365","61671061","2013-05-01","0"
"216953","101089701","2015-04-01","60000"
"216953","85062329","2014-08-01","94000"
"216953","101483186","2015-01-01","105200"
"217431","67905066","2013-07-01","0"
"224487","98733498","2015-03-01","0"
"232422","91673829","2014-08-01","38000"
"232422","85359616","2014-08-01","38000"
"232422","97782522","2014-08-01","38000"
"240555","106296180","2015-08-01","15700"
"247183","66084055","2013-04-01","70600"
"255801","338989","2015-06-01","151000"
"255801","102086901","2015-06-01","151000"
"258585","42633530","2012-10-01","262600"
"258585","41823752","2012-09-01","5680000"
"258585","62075168","2013-06-01","0"
"258585","44354985","2012-12-01","5680000"
"258585","62075065","2013-06-01","5680000"
"258585","61240685","2013-03-01","5680000"
"258585","104156059","2015-06-01","2879200"
"263889","97002271","2015-02-01","35200"
"263889","96520886","2015-01-01","16300"
"263889","91727043","2014-06-01","53400"
"263889","81336315","2014-03-01","20000"
"263889","96520888","2015-01-01","10800"
"263889","96485993","2015-01-01","22500"
"263889","87375255","2014-06-01","53400"
"264140","103042542","2015-06-01","1400"
"266439","91927431","2014-11-01","0"
"273189","108901223","2015-01-01","84000"
"274406","76455612","2014-01-01","16400"
"274831","97820092","2014-09-01","46000000"
"274831","87442853","2014-09-01","46000000"
"275126","61606392","2013-04-01","13500"
"275126","61603066","2013-04-01","18900"
"284330","91829705","2014-10-01","16800"
"284330","97798411","2014-10-01","16800"
"290294","103133025","2014-12-01","2011400"
"290294","97959058","2014-12-01","2011400"
"293098","105607095","2015-08-01","1676100"
"294511","67765170","2013-08-01","51300"
"298979","98905450","2015-03-01","160100"
"298979","101482394","2015-03-01","160100"
"300701","75005859","2013-12-01","33100"
"305036","72990392","2014-01-01","133300"
"305036","92709986","2014-01-01","59900"
"305036","79518535","2014-01-01","59900"
"305036","79552979","2014-01-01","133300"
"305036","72990047","2014-01-01","59900"
"313644","94338173","2014-12-01","2050600"
"313644","98464406","2015-03-01","14690000"
"314818","103423104","2015-06-01","297800"
"314818","102932840","2015-06-01","374600"
"314818","103773597","2015-07-01","58800"
"314818","102687936","2015-05-01","75700"
"326024","101485235","2015-05-01","150000"
"330188","99415641","2015-03-01","6700"
"330188","108979382","2015-03-01","6200"
"330188","91784434","2014-07-01","6700"
"330188","89763202","2014-08-01","54920400"
"330188","99415483","2015-03-01","15000"
"330188","83478419","2014-07-01","6700"
"330188","108979325","2015-03-01","15000"
"330188","110597818","2015-07-01","14700"
"330188","108753942","2015-07-01","13000"
"330188","104414029","2015-07-01","14700"
"330188","99415639","2015-03-01","6200"
"330188","85513412","2014-08-01","54920400"
"336902","91726990","2014-06-01","9000"
"336902","92717186","2014-06-01","2000"
"336902","87375259","2014-06-01","9000"
"337212","97769975","2014-12-01","6000000"
"337212","73371594","2013-09-01","6585500"
"337574","99273891","2015-03-01","35000"
"345148","97788453","2014-08-01","100"
"345148","85070854","2014-08-01","100"
"353175","75384472","2014-02-01","5200"
"354678","93540936","2014-12-01","300"
"356998","80293113","2013-09-01","2900"
"356998","76426248","2013-09-01","2900"
"358721","60400294","2013-01-01","194500"
"358730","85059340","2014-05-01","38000"
"359516","100869161","2015-05-01","20100"
"360824","93542232","2014-12-01","3700"
"361785","91700387","2014-08-01","21000"
"361785","87376475","2014-08-01","21000"
"363030","97995204","2015-01-01","2200"
"363030","99059826","2015-02-01","74400"
"363030","93536123","2014-12-01","70614400"
"363602","97818356","2014-08-01","160000"
"363602","85072725","2014-08-01","160000"
"363602","61039630","2013-03-01","0"
"370187","97792101","2014-10-01","256300"
"370187","110924009","2014-09-01","833400"
"370187","97792090","2014-10-01","4798600"
"370187","97803548","2014-10-01","102517400"
"370187","9303028","2014-10-01","102517400"
"370187","75019655","2013-11-01","162000"
"370187","91721141","2014-09-01","833400"
"370715","108993405","2015-07-01","80000"
"370715","104417366","2015-07-01","80000"
"370715","105248508","2015-07-01","80000"
"371484","102673237","2015-05-01","40000"
"371484","101817756","2015-05-01","40000"
"371484","62199440","2013-06-01","18000"
"374995","76458589","2014-02-01","0"
"376403","60292158","2013-01-01","99900"
"377796","87370643","2014-05-01","159200"
"377796","17182070","2012-12-01","3340000"
"377796","87437117","2014-02-01","1920000"
"377796","87437381","2014-05-01","80900"
"377796","91716959","2014-05-01","80900"
"377796","96498123","2015-01-01","136000"
"377796","96498206","2015-01-01","1036900"
"377796","91690530","2014-05-01","159200"
"377796","91716385","2014-02-01","1920000"
"377796","75065140","2014-02-01","1920000"
"382926","91755664","2014-09-01","286900"
"382926","86292873","2014-09-01","286900"
"384374","87405678","2014-07-01","104500"
"384473","97522944","2015-03-01","10900"
"397726","108904968","2015-04-01","12200"
"397726","100523058","2015-04-01","12200"
"397726","101737837","2015-04-01","17400"
"397726","100523070","2015-04-01","86300"
"397726","100523062","2015-04-01","8800"
"397726","100523270","2015-04-01","24200"
"397726","100645026","2015-04-01","19200"
"397726","100645028","2015-04-01","17400"
"397841","62330282","2013-01-01","206100"
"398942","42061333","2012-09-01","196200"
"398942","75076048","2014-01-01","155900"
"398942","80060740","2014-01-01","155900"
"398942","73343445","2013-10-01","155900"
"404254","75006019","2013-12-01","11500"
"404254","96509603","2014-12-01","21000"
"404254","96509718","2014-12-01","21000"
"404254","108958704","2014-12-01","82500"
"404254","97981355","2014-12-01","82500"
"409701","85055685","2014-07-01","693200"
"409701","76448613","2013-09-01","190400"
"411998","83557019","2014-02-01","50000"
"411998","76444092","2014-02-01","50000"
"412109","87371797","2014-08-01","190000"
"412109","91720604","2014-08-01","190000"
"412109","83264344","2014-07-01","748800"
"412109","97820566","2014-08-01","190000"
"412109","78174485","2014-01-01","624400"
"412109","86119883","2014-08-01","200000"
"412885","99418749","2015-03-01","0"
"423841","85045914","2014-07-01","5100"
"425376","60053810","2013-01-01","12500"
"426748","62182084","2013-02-01","131600"
"426748","60131993","2013-01-01","244500"
"426748","112409145","2014-05-01","348560400"
"426748","108915847","2014-02-01","94300"
"426748","81378995","2014-05-01","348560400"
"426748","75066833","2014-02-01","94300"
"426748","80071838","2014-02-01","94300"
"431319","91877977","2014-07-01","566500"
"431438","81330027","2014-05-01","48000"
"431682","99057462","2015-02-01","13100"
"436072","100467912","2015-04-01","32400"
"436072","109150370","2015-04-01","32400"
"436158","101818152","2015-05-01","4801000"
"436158","105246831","2015-05-01","4801000"
"437462","76441234","2014-03-01","0"
"437462","97523233","2015-02-01","555400"
"438111","99618833","2015-04-01","51500"
"438640","71240182","2013-08-01","12630000"
"438640","87506444","2013-08-01","12630000"
"439509","91756758","2014-06-01","30900"
"439509","83477563","2014-06-01","30900"
"439509","91756373","2014-05-01","30900"
"439509","81377580","2014-05-01","30900"
"439509","97812889","2014-05-01","45000"
"439509","81325063","2014-05-01","45000"
"439509","91756357","2014-05-01","45000"
"439691","106851584","2015-08-01","45200"
"439691","92541673","2014-12-01","45200"
"446953","99031583","2015-01-01","140000"
"447806","69916283","2013-12-01","1056200"
"447806","75059184","2014-01-01","1383600"
"450186","76455777","2014-01-01","65400"
"450186","61131718","2013-03-01","0"
"450186","80058154","2014-01-01","65400"
"450260","74999030","2013-11-01","253300"
"450878","42511288","2012-10-01","178100"
"450878","61667534","2013-03-01","178100"
"450878","86943349","2014-09-01","360000"
"450878","83570064","2014-06-01","28700"
"450878","83512007","2014-04-01","286800"
"450878","91808864","2014-09-01","360000"
"453299","108914304","2015-05-01","4200"
"453299","101482689","2015-05-01","4200"
"457232","123430809","2015-02-01","43564500"
"457232","104614798","2015-07-01","70314800"
"462065","85061844","2014-08-01","46200"
"462669","81438012","2014-06-01","0"
"462669","91686292","2014-06-01","0"
"468677","95253346","2015-01-01","7200"
"468677","95201474","2015-01-01","7300"
"468677","95207617","2015-01-01","9800"
"468677","95231540","2015-01-01","7300"
"468677","95203059","2015-01-01","7200"
"471517","87435122","2014-05-01","81900"
"471517","91708471","2014-05-01","81900"
"471517","97811311","2014-05-01","81900"
"472751","42474570","2012-10-01","0"
"473394","75024131","2013-07-01","490000"
"474072","73351041","2013-09-01","86600"
"475816","98060360","2015-03-01","6100"
"475816","99057804","2015-02-01","1510000"
"475816","73355007","2013-11-01","71900"
"475816","109149262","2015-03-01","6100"
"475816","80295106","2013-11-01","71900"
"477918","91808423","2014-09-01","6000"
"478104","110595552","2015-01-01","199800"
"478104","96515394","2015-01-01","199800"
"479945","67909145","2013-07-01","713200"
"479945","73324283","2013-06-01","8107400"
"485652","61126923","2013-03-01","2301300"
"486404","110590166","2015-06-01","44300"
"486404","102501618","2015-06-01","44300"
"488111","86293540","2014-09-01","44800"
"488111","86796112","2014-09-01","44800"
"488111","91687547","2014-09-01","44800"
"500422","99035456","2015-01-01","11400"
"500422","101683842","2015-01-01","11400"
"501310","76438582","2014-02-01","3900"
"509033","60810251","2013-03-01","11800"
"509201","85461159","2014-05-01","119800"
"512506","81339020","2014-05-01","7100"
"512506","92720221","2014-05-01","7100"
"512506","63738185","2013-04-01","7100"
"513428","91682134","2014-07-01","500"
"513428","86297609","2014-07-01","500"
"518975","75008469","2013-12-01","100"
"518975","85057071","2013-12-01","100"
"520446","61080678","2012-12-01","15800"
"520446","76430216","2014-02-01","45600"
"520446","80106375","2014-02-01","45600"
"521469","68726326","2013-06-01","51300"
"522607","65514109","2012-12-01","8800"
"522607","44449778","2012-12-01","20200"
"522607","61978993","2013-05-01","65100"
"522607","80060453","2014-01-01","7000"
"522607","75015012","2014-01-01","19100"
"522607","103064882","2015-04-01","39000"
"522607","99636148","2015-04-01","39000"
"522607","80059798","2014-01-01","19100"
"522607","73344229","2013-11-01","7000"
"524310","62204870","2013-03-01","6000"
"524310","62204981","2013-04-01","6200"
"2157","97741613","2015-03-01","10500"
"2157","109149131","2015-03-01","10500"
"3385","62289353","2013-04-01","0"
"3488","92413104","2014-11-01","25300"
"3488","89234665","2014-11-01","23400"
"3488","97786094","2014-11-01","23400"
"4207","62145903","2013-02-01","21100"
"4207","91678889","2014-08-01","21100"
"4207","86295781","2014-08-01","21100"
"11305","97801243","2014-05-01","20000"
"11305","81377028","2014-05-01","126000"
"11305","97785064","2014-05-01","126000"
"11305","88394455","2014-07-01","154200"
"11305","85041771","2014-05-01","20000"
"15733","79939330","2013-12-01","18100"
"15733","73382451","2013-08-01","150900"
"15733","67911417","2013-07-01","151600"
"15733","75021174","2013-12-01","18100"
"15733","67911204","2013-07-01","6400"
"23470","99056046","2015-02-01","866600"
"23470","100870404","2015-05-01","129800"
"23470","110585373","2015-07-01","137700"
"23470","104198120","2015-07-01","137700"
"23470","108821170","2015-02-01","866600"
"25038","42204107","2012-09-01","45000"
"28103","93813662","2014-12-01","30600"
"29135","101304836","2015-05-01","0"
"29135","97804662","2014-06-01","8000"
"31275","61364966","2013-04-01","25300"
"31275","85049301","2013-07-01","62700"
"31275","85049481","2014-03-01","90000"
"31275","85049299","2013-07-01","35300"
"31275","85049305","2013-07-01","40200"
"31275","61120884","2013-03-01","22900"
"31275","67930709","2013-07-01","5300"
"31275","85049524","2014-04-01","124400"
"31275","61819052","2013-05-01","5400"
"31275","85049295","2013-06-01","3300"
"31275","110603399","2015-05-01","70800"
"31275","85049293","2013-06-01","3100"
"31275","68724768","2013-07-01","35300"
"31275","85049483","2014-03-01","19900"
"31275","67676024","2013-08-01","5500"
"31275","85049485","2014-03-01","42000"
"31275","68724771","2013-07-01","62700"
"31275","67930711","2013-07-01","5300"
"31275","67926748","2013-07-01","5500"
"31275","67930894","2013-07-01","19900"
"31275","102071117","2015-05-01","70800"
"32299","103012471","2015-06-01","242000"
"32299","102501156","2015-06-01","242000"
"43260","108907763","2015-07-01","3260800"
"46169","99031289","2014-12-01","81600"
"51068","105245637","2015-07-01","53300"
"52976","68730383","2013-07-01","12000"
"55822","97965244","2014-12-01","5000000"
"55822","101091549","2015-05-01","20900"
"55822","101093840","2015-05-01","31200"
"55822","101736035","2015-04-01","173400"
"55822","101091552","2015-05-01","32600"
"55822","104638453","2015-07-01","600"
"55822","106926824","2015-08-01","1200"
"55822","111181160","2015-08-01","600"
"55822","111181188","2015-08-01","1200"
"55822","111865068","2015-04-01","173400"
"55822","111181053","2015-06-01","1000"
"55822","111181035","2015-06-01","2300"
"55822","109178985","2015-05-01","31200"
"55822","109179002","2015-05-01","84400"
"55822","111865141","2015-06-01","116500"
"55822","98526636","2015-03-01","33600"
"55822","109179029","2015-07-01","86200"
"55822","103051320","2015-03-01","1800"
"55822","98526639","2015-03-01","1800"
"55822","106926783","2015-08-01","39800"
"55822","101091561","2015-05-01","32300"
"55822","101888882","2015-05-01","84400"
"55822","109178966","2015-05-01","32600"
"55822","101091487","2015-05-01","27900"
"55822","111181115","2015-07-01","21300"
"55822","104638455","2015-07-01","21300"
"55822","109100775","2015-05-01","27900"
"55822","111181149","2015-08-01","19800"
"55822","111865200","2015-06-01","53900"
"55822","97226940","2014-12-01","49447000"
"55822","106926791","2015-08-01","19800"
"55822","112493941","2014-12-01","5000000"
"55822","106926794","2015-08-01","600"
"55822","85064690","2014-08-01","15093000"
"55822","103051312","2015-03-01","33600"
"55822","111865327","2015-08-01","39800"
"55822","100547791","2015-04-01","173400"
"55822","100523459","2015-04-01","4458000"
"55822","111195017","2015-06-01","7200"
"55822","109179037","2015-07-01","43600"
"55822","101888875","2015-05-01","37100"
"55822","111181021","2015-01-01","14100"
"55822","111181093","2015-07-01","600"
"55822","109178973","2015-05-01","32300"
"55822","111548891","2015-06-01","53900"
"55822","111548025","2015-04-01","173400"
"55822","111548472","2015-06-01","116500"
"55822","102153630","2015-06-01","116500"
"55822","111919576","2014-12-01","5000000"
"55822","111549505","2015-08-01","39800"
"55822","102153633","2015-06-01","2300"
"55822","13926851","2014-12-01","49447000"
"56117","91691123","2014-09-01","152300"
"56117","99040563","2014-09-01","152300"
"56117","87370968","2014-09-01","152300"
"65886","101543079","2015-03-01","15300"
"65886","99098390","2015-03-01","15300"
"73069","80300726","2013-12-01","4400"
"73069","75022780","2013-12-01","4400"
"74469","88349709","2014-04-01","200000"
"74469","79321029","2014-04-01","200000"
"74469","73370604","2013-06-01","320000"
"74469","73370593","2013-06-01","200000"
"74469","73370599","2013-06-01","300000"
"74469","61160016","2013-03-01","100000"
"74469","73370767","2013-07-01","100000"
"74469","91746641","2014-04-01","200000"
"74469","61075151","2013-03-01","100000"
"74469","61076639","2013-03-01","100000"
"74910","61661544","2013-04-01","330000"
"75589","61105480","2013-01-01","7400"
"75589","91814895","2014-07-01","2700"
"75765","80107715","2014-03-01","118700"
"78615","85057874","2014-02-01","56700"
"78615","81340171","2014-02-01","18800"
"78615","85057850","2014-02-01","17900"
"78615","75073723","2014-02-01","56500"
"78615","75073734","2014-02-01","56700"
"78615","75073600","2014-02-01","17900"
"78615","75073610","2014-02-01","16600"
"78615","85057856","2014-02-01","17900"
"78615","85057845","2014-02-01","19100"
"78615","75073615","2014-02-01","17900"
"78615","85057887","2014-02-01","17900"
"78615","75073597","2014-02-01","17900"
"78615","75073593","2014-02-01","17900"
"78615","75073739","2014-02-01","18800"
"78615","85057855","2014-02-01","16600"
"78615","85057876","2014-02-01","56500"
"78615","75073595","2014-02-01","19100"
"78615","85057849","2014-02-01","17900"
"78615","75073606","2014-02-01","16600"
"78615","85057851","2014-02-01","16600"
"79223","74999680","2013-10-01","44000"
"83868","73350216","2013-08-01","172100"
"83868","73381203","2013-07-01","89800"
"87226","87372057","2014-05-01","442900"
"87226","91692965","2014-05-01","442900"
"88130","76445442","2013-12-01","4603800"
"98417","61101919","2013-02-01","110000"
"98417","102527923","2015-06-01","10100"
"99518","85736889","2014-02-01","259800"
"99518","82393901","2014-02-01","259800"
"99518","77387363","2014-02-01","259800"
