EID,BTEID,IFHOME,BTBL,BTYEAR,BTENDYEAR,TZ_CNT,TZ_INHOME_CNT,TZ_OUTHOME_CNT,TZ_INHOME_RATE,TZ_OUTHOME_RATE,TZ_CLOSE_CNT,TZ_OPEN_CNT,TZ_CLOSE_RATE,TZ_OPEN_RATE,TZ_BTBL_AVG,TZ_QY_FIRST_TIME,TZ_QY_END_TIME,TZ_FIRST_CLOSE_TIME
327704.0,[728599 715903 658108 127857],[1 1 0 1],[ 1.    1.    0.45  0.01],[2012 2009 2006 2015],[ 2018.  2018.  2018.  2018.],4,3,1,0.75,0.25,0,4,0.0,1.0,0.615,2012-01,2015-01,2018-01
360476.0,[155796],[1],[ 0.7],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.7,2013-01,2013-01,2018-01
163873.0,[636136],[0],[ 0.2],[2011],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.2,2011-01,2011-01,2018-01
65569.0,[675611 625524],[0 0],[ 0.51  0.51],[2013 2013],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.51,2013-01,2013-01,2018-01
38.0,[358858],[1],[ 0.7],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.7,2013-01,2013-01,2018-01
229414.0,[660124],[0],[ 0.25],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.25,2015-01,2015-01,2018-01
163882.0,[697463 667168 642763],[1 1 1],[ 1.  1.  1.],[2014 2015 2015],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,1.0,2014-01,2015-01,2018-01
360492.0,[719647 696145],[0 0],[ 0.226  0.57 ],[2006 2008],[ 2011.  2018.],2,0,2,0.0,1.0,1,1,0.5,0.5,0.39799999999999996,2006-01,2008-01,2011-01
491567.0,[739948 727779 724856 719950 691295 687359 662954 649685 506216 234969],[0 0 0 0 1 0 0 1 1 1],[ 0.45  0.7   1.    1.    0.1   1.    0.2   0.5   1.    0.85],[2006 2004 2011 2008 2002 2012 2006 2003 2006 2006],[ 2013.  2018.  2018.  2009.  2018.  2018.  2018.  2018.  2018.  2018.],10,4,6,0.4,0.6,2,8,0.2,0.8,0.6799999999999999,2006-01,2006-01,2013-01
426032.0,"[710868 704127 703566 701230 671811 671557 654020 473374 455420 101977
  86934]",[0 1 0 0 0 1 0 1 1 1 1],[ 0.1    0.5    0.4    1.     1.     0.889  1.     0.15   0.85   0.51   0.5  ],[2015 2014 2014 2009 2010 2007 2013 2014 2014 2013 2014],"[ 2018.  2018.  2018.  2011.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.]",11,6,5,0.5454545454545454,0.45454545454545453,1,10,0.09090909090909091,0.9090909090909091,0.6271818181818181,2015-01,2014-01,2018-01
262193.0,[652587 641050],[0 0],[ 1.  1.],[2014 2015],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,1.0,2014-01,2015-01,2018-01
196658.0,[410496 339968 303192],[1 1 1],[ 0.685  0.32   0.79 ],[2008 2012 2005],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.5983333333333334,2008-01,2005-01,2018-01
51.0,[703685 683972 683972 505956  59082],[0 0 0 1 1],[ 0.147  0.072  0.072  0.133  0.142],[2007 2002 2002 2015 2014],[ 2018.  2018.  2018.  2018.  2018.],5,2,3,0.4,0.6,0,5,0.0,1.0,0.11320000000000001,2007-01,2014-01,2018-01
98358.0,[713945],[0],[ 0.25],[2000],[ 2004.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.25,2000-01,2000-01,2004-01
32824.0,[715982 700372 655358],[0 0 0],[ 0.05   0.143  0.05 ],[2008 2009 2008],[ 2018.  2018.  2014.],3,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0.081,2008-01,2008-01,2018-01
65593.0,[631694],[0],[ 0.97],[2009],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.97,2009-01,2009-01,2018-01
327738.0,[461143],[1],[ 0.75],[1999],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.75,1999-01,1999-01,2018-01
196666.0,[649497],[1],[ 0.49],[2008],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.49,2008-01,2008-01,2018-01
524347.0,[668939 465044],[1 1],[ 0.99  0.5 ],[1999 1993],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.745,1999-01,1993-01,2018-01
56.0,[716998 688765 677963 644073 506240 472095 470602 341059 245764],[0 0 1 0 1 1 1 1 1],[ 0.7    0.75   1.     0.7    0.333  0.4    1.     1.     1.   ],[2015 2015 2007 2015 2015 2004 2014 2015 2015],[ 2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.],9,6,3,0.6666666666666666,0.3333333333333333,0,9,0.0,1.0,0.7647777777777778,2015-01,2015-01,2018-01
458814.0,[734749],[0],[ 0.061],[2005],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.061,2005-01,2005-01,2018-01
262206.0,"[738317 738123 737346 730932 722778 715311 708250 685418 668590 651493
 641167]",[0 0 0 0 0 0 1 1 0 0 1],"[ 0.5    0.589  0.475  0.09   0.8    0.002  0.5    0.514  0.571  0.45
  0.333]",[2015 2011 2015 2008 2003 2014 2014 2012 2015 2010 2015],"[ 2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.]",11,3,8,0.2727272727272727,0.7272727272727273,0,11,0.0,1.0,0.4385454545454545,2015-01,2015-01,2018-01
64.0,[685695 647057],[1 0],[ 0.49  1.  ],[2009 2010],[ 2018.  2018.],2,1,1,0.5,0.5,0,2,0.0,1.0,0.745,2009-01,2010-01,2018-01
524352.0,[626181],[1],[ 1.],[2004],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2004-01,2004-01,2018-01
65604.0,[725211 656960 405873 295119],[1 1 1 1],[ 1.   0.5  0.5  1. ],[2013 2013 2010 2013],[ 2018.  2018.  2018.  2018.],4,4,0,1.0,0.0,0,4,0.0,1.0,0.75,2013-01,2013-01,2018-01
524360.0,[730980 717898 716018 703557],[1 0 1 0],[ 0.599  0.6    1.     0.05 ],[1999 2005 1998 2013],[ 2008.  2018.  2018.  2018.],4,2,2,0.5,0.5,1,3,0.25,0.75,0.5622499999999999,1999-01,2013-01,2008-01
458825.0,[711945 708173 665346 649121],[0 0 0 0],[ 0.091  0.1    1.     0.9  ],[2014 2015 2013 2013],[ 2018.  2018.  2018.  2018.],4,0,4,0.0,1.0,0,4,0.0,1.0,0.52275,2014-01,2013-01,2018-01
65610.0,[736659 718897 701314 679484 671797 671175 629982 331487 143218],[0 0 1 1 0 1 0 1 1],[ 1.     0.55   1.     0.5    1.     0.047  1.     1.     1.   ],[2003 2009 1985 1994 2000 1993 2002 1988 1993],[ 2004.  2018.  2018.  2011.  2007.  2018.  2007.  2018.  2018.],9,5,4,0.5555555555555556,0.4444444444444444,4,5,0.4444444444444444,0.5555555555555556,0.7885555555555555,2003-01,1993-01,2004-01
229451.0,[695972],[0],[ 0.023],[2012],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.023,2012-01,2012-01,2018-01
131149.0,[681219],[0],[ 0.1],[2011],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.1,2011-01,2011-01,2018-01
524365.0,"[705048 692244 688866 677931 673855 659606 652343 645802 627916 390974
 322017 251984 234771 105187  55378]",[1 0 0 1 0 1 1 1 1 1 1 1 1 1 1],"[ 0.999  1.     1.     1.     1.     1.     1.     1.     0.81   1.     1.
  1.     1.     1.     1.   ]",[2014 2007 2007 2008 2007 2008 2008 2008 2014 2008 2008 2008 2008 2008 2007],"[ 2018.  2018.  2018.  2018.  2018.  2012.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.]",15,12,3,0.8,0.2,1,14,0.06666666666666667,0.9333333333333333,0.9872666666666667,2014-01,2007-01,2018-01
524368.0,[241919],[1],[ 0.332],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.332,2014-01,2014-01,2018-01
327760.0,[667565],[1],[ 0.8],[2003],[ 2014.],1,1,0,1.0,0.0,1,0,1.0,0.0,0.8,2003-01,2003-01,2014-01
458834.0,[662129],[1],[ 0.7],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.7,2015-01,2015-01,2018-01
32851.0,[683053 679285 626646 287079 139804],[1 1 1 1 1],[ 1.   1.   0.5  1.   0.5],[2015 2015 2014 2013 2013],[ 2018.  2018.  2018.  2018.  2018.],5,5,0,1.0,0.0,0,5,0.0,1.0,0.8,2015-01,2013-01,2018-01
196690.0,[623897],[0],[ 0.1],[2013],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.1,2013-01,2013-01,2018-01
131157.0,[631834],[0],[ 1.],[2009],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,2009-01,2009-01,2018-01
196693.0,[500924],[1],[ 0.035],[2008],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.035,2008-01,2008-01,2018-01
163926.0,[657979],[0],[ 0.45],[2008],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.45,2008-01,2008-01,2018-01
295001.0,[722574 684152],[0 0],[ 0.8  1. ],[2011 2008],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.9,2011-01,2008-01,2018-01
458841.0,[639945],[1],[ 0.5],[2005],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2005-01,2005-01,2018-01
163931.0,[269253],[1],[ 0.1],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.1,2015-01,2015-01,2018-01
262236.0,[697222],[1],[ 1.],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2013-01,2013-01,2018-01
295003.0,[647439],[0],[ 0.155],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.155,2014-01,2014-01,2018-01
491614.0,[729587 691442 451653],[1 1 1],[ 0.65  0.3   0.5 ],[2015 2014 2014],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.48333333333333334,2015-01,2014-01,2018-01
524383.0,[117271],[1],[ 1.],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2014-01,2014-01,2018-01
131168.0,[350477],[1],[ 1.],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2014-01,2014-01,2018-01
295008.0,[703348],[1],[ 0.5],[2009],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2009-01,2009-01,2018-01
524379.0,[652925],[1],[ 0.3],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.3,2015-01,2015-01,2018-01
524387.0,[727440 695710],[1 0],[ 0.2   0.01],[2000 2012],[ 2011.  2018.],2,1,1,0.5,0.5,1,1,0.5,0.5,0.10500000000000001,2000-01,2012-01,2011-01
163943.0,[513667],[1],[ 0.5],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2015-01,2015-01,2018-01
229480.0,[731335],[0],[ 0.3],[2003],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.3,2003-01,2003-01,2018-01
196713.0,[637088],[0],[ 1.],[2007],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,2007-01,2007-01,2018-01
163948.0,[682463],[1],[ 0.038],[2008],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.038,2008-01,2008-01,2018-01
98413.0,[732912],[1],[ 0.6],[1999],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.6,1999-01,1999-01,2018-01
131181.0,[649679],[0],[ 0.135],[2012],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.135,2012-01,2012-01,2018-01
109.0,[649282],[0],[ 0.22],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.22,2014-01,2014-01,2018-01
32880.0,[444842],[1],[ 0.5],[2009],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2009-01,2009-01,2018-01
360560.0,[739436 708356 694509 693058 684868 657740],[0 0 0 0 0 0],[ 0.01  0.05  0.1   0.01  0.01  0.01],[2013 2013 2013 2013 2013 2013],[ 2018.  2018.  2018.  2018.  2018.  2018.],6,0,6,0.0,1.0,0,6,0.0,1.0,0.03166666666666667,2013-01,2013-01,2018-01
295026.0,[696515 688999 656984 643737 631543],[0 0 0 0 0],[ 1.  1.  1.  1.  1.],[2014 2013 2013 2014 2014],[ 2018.  2018.  2018.  2018.  2018.],5,0,5,0.0,1.0,0,5,0.0,1.0,1.0,2014-01,2014-01,2018-01
131187.0,[635388  69704],[1 1],[ 1.     0.811],[2013 2012],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.9055,2013-01,2012-01,2018-01
491634.0,[421540],[1],[ 0.008],[1999],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.008,1999-01,1999-01,2018-01
327797.0,[709789 668113 340607],[0 1 1],[ 0.45   0.02   0.367],[2011 2011 2010],[ 2018.  2018.  2018.],3,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,0.279,2011-01,2010-01,2018-01
426100.0,[736069],[0],[ 0.75],[2003],[ 2003.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.75,2003-01,2003-01,2003-01
163955.0,[662727],[0],[ 0.6],[1997],[ 2010.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.6,1997-01,1997-01,2010-01
131192.0,[118633],[1],[ 0.2],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.2,2014-01,2014-01,2018-01
65658.0,[126919],[1],[ 0.01],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.01,2015-01,2015-01,2018-01
393338.0,[638817  64812],[0 1],[ 0.1  1. ],[2012 2010],[ 2018.  2018.],2,1,1,0.5,0.5,0,2,0.0,1.0,0.55,2012-01,2010-01,2018-01
327804.0,[682263],[1],[ 0.867],[2005],[ 2008.],1,1,0,1.0,0.0,1,0,1.0,0.0,0.867,2005-01,2005-01,2008-01
196734.0,[626951],[1],[ 0.5],[2012],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2012-01,2012-01,2018-01
393343.0,[724437 691623 279342],[1 1 1],[ 0.7   0.9   0.99],[2009 2009 2009],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.8633333333333333,2009-01,2009-01,2018-01
262272.0,[649560],[0],[ 0.15],[2003],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.15,2003-01,2003-01,2018-01
458880.0,[660475],[1],[ 1.],[1996],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1996-01,1996-01,2018-01
327813.0,[644029 641254],[1 1],[ 0.333  0.2  ],[2006 2013],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.26649999999999996,2006-01,2013-01,2018-01
149823.0,[104179],[1],[ 0.15],[2000],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.15,2000-01,2000-01,2018-01
524425.0,[654279 148032],[1 1],[ 0.33  0.1 ],[2015 2015],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.21500000000000002,2015-01,2015-01,2018-01
32906.0,[722234 686742 682132 646384],[1 1 0 1],[ 1.   0.1  1.   0.2],[2015 2015 2015 2010],[ 2018.  2018.  2018.  2018.],4,3,1,0.75,0.25,0,4,0.0,1.0,0.5750000000000001,2015-01,2010-01,2018-01
426122.0,[77906],[1],[ 0.6],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.6,2014-01,2014-01,2018-01
295052.0,[256069],[1],[ 0.862],[2009],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.862,2009-01,2009-01,2018-01
143.0,"[738890 737976 726461 723287 714872 714221 714106 697028 690966 690206
 677405 677345 675961 675508 671430 670094 655640 652256 648072 637174
 627675 625419 490822 476117 467267 457763 400010 387376 378728 351407
 345168 307680 304650 274729 257945 237451 165374 153283 147688 125454
 122759 106438  90711  65615]","[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[ 0.014  0.5    0.013  0.045  0.5    0.5    0.021  0.018  0.236  0.011
  0.169  0.03   0.156  0.022  0.5    0.002  0.01   0.017  0.015  0.01
  0.121  0.01   0.5    0.017  0.058  0.013  0.68   0.5    0.269  0.1    0.026
  0.015  0.5    0.5    0.159  0.014  0.5    0.127  0.11   0.026  0.015
  0.016  0.5    0.012]","[2013 2012 2013 2012 2015 2013 2013 2013 2012 2012 2011 2014 2012 2013 2015
 2011 2011 2013 2012 2013 2012 2011 2015 2014 2013 2013 2014 2014 2012 2014
 2013 2012 2014 2014 2011 2014 2014 2012 2012 2012 2013 2013 2015 2013]","[ 2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.  2018.  2014.  2018.  2018.  2018.
  2018.  2014.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.]",44,43,1,0.9772727272727273,0.022727272727272728,2,42,0.045454545454545456,0.9545454545454546,0.17220454545454544,2013-01,2013-01,2018-01
65679.0,[682233 638507],[1 0],[ 0.085  1.   ],[2003 2014],[ 2011.  2018.],2,1,1,0.5,0.5,1,1,0.5,0.5,0.5425,2003-01,2014-01,2011-01
524435.0,[689034],[1],[ 0.5],[1992],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1992-01,1992-01,2018-01
65686.0,[669669],[0],[ 0.5],[2004],[ 2011.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.5,2004-01,2004-01,2011-01
32919.0,[691746 674933 669422 655751 422189 256433],[1 1 1 1 1 1],[ 1.  1.  1.  1.  1.  1.],[1993 2006 1994 2007 1988 1999],[ 2018.  2018.  2018.  2018.  2018.  2018.],6,6,0,1.0,0.0,0,6,0.0,1.0,1.0,1993-01,1999-01,2018-01
426136.0,[663798],[0],[ 0.7],[2011],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.7,2011-01,2011-01,2018-01
131227.0,[640146],[0],[ 0.282],[2004],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.282,2004-01,2004-01,2018-01
458908.0,[625707],[1],[ 1.],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2013-01,2013-01,2018-01
327837.0,[705420 631909 371766],[0 1 1],[ 0.95   0.024  0.3  ],[2011 2014 2005],[ 2018.  2018.  2018.],3,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,0.4246666666666667,2011-01,2005-01,2018-01
295070.0,[358081],[1],[ 0.394],[2002],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.39399999999999996,2002-01,2002-01,2018-01
98459.0,[425030],[1],[ 0.12],[2000],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.12,2000-01,2000-01,2018-01
524446.0,[644950 211671   1241],[1 1 1],[ 0.85  0.92  0.83],[2014 2014 2014],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.8666666666666667,2014-01,2014-01,2018-01
229531.0,[719710],[0],[ 0.99],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.99,2014-01,2014-01,2018-01
262308.0,[710205],[0],[ 0.5],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.5,2015-01,2015-01,2018-01
360613.0,[709268],[1],[ 0.115],[2002],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.115,2002-01,2002-01,2018-01
524452.0,[681305],[1],[ 0.45],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.45,2015-01,2015-01,2018-01
458920.0,[522426 500629 301960],[1 1 1],[ 0.125  0.023  0.125],[2015 2010 2015],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.09100000000000001,2015-01,2015-01,2018-01
65705.0,[644464],[0],[ 0.6],[2011],[ 2012.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.6,2011-01,2011-01,2012-01
65707.0,[624935],[0],[ 1.],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,2015-01,2015-01,2018-01
426156.0,[524839],[1],[ 1.],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2015-01,2015-01,2018-01
32939.0,[711645],[1],[ 0.038],[2010],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.038,2010-01,2010-01,2018-01
164015.0,[60739],[1],[ 0.5],[2005],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2005-01,2005-01,2018-01
295089.0,[653613],[0],[ 1.],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,2015-01,2015-01,2018-01
98482.0,[676275 633980 629716],[0 0 0],[ 1.    0.65  0.6 ],[2005 2006 2007],[ 2018.  2018.  2010.],3,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0.75,2005-01,2007-01,2018-01
179.0,[72030],[1],[ 0.95],[2007],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.95,2007-01,2007-01,2018-01
32949.0,[637023],[0],[ 0.6],[2013],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.6,2013-01,2013-01,2018-01
393398.0,[650230],[1],[ 0.2],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.2,2015-01,2015-01,2018-01
164027.0,[737866 732120 707785 681675 680292 636322 630592 628319 301972 216853],[1 1 0 1 0 1 1 0 1 1],[ 0.99  0.9   0.4   0.7   1.    0.55  1.    0.65  0.49  1.  ],[2009 2004 2009 2008 2011 2000 2008 2011 2009 2008],[ 2018.  2008.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.],10,7,3,0.7,0.3,1,9,0.1,0.9,0.768,2009-01,2008-01,2018-01
262332.0,"[727084 711465 702370 699144 686876 676636 640172 631862 624534 137695
  60106]",[1 1 1 1 1 1 1 1 1 1 1],[ 0.175  1.     1.     0.625  1.     0.48   1.     0.75   0.04   0.3    0.512],[2003 2011 2012 2001 2015 1998 2008 2000 2002 2004 2000],"[ 2006.  2018.  2018.  2012.  2018.  2018.  2018.  2006.  2018.  2018.
  2018.]",11,11,0,1.0,0.0,3,8,0.2727272727272727,0.7272727272727273,0.6256363636363637,2003-01,2000-01,2006-01
393404.0,[739175 722841],[0 0],[ 0.5    0.986],[2010 2004],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.743,2010-01,2004-01,2018-01
393407.0,[660132],[1],[ 0.111],[2000],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.111,2000-01,2000-01,2018-01
458949.0,[458949],[1],[ 0.333],[1992],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.33299999999999996,1992-01,1992-01,2018-01
458951.0,[646818],[0],[ 0.85],[2012],[ 2014.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.85,2012-01,2012-01,2014-01
491719.0,[508591 243766],[1 1],[ 0.023  0.06 ],[2008 2012],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.041499999999999995,2008-01,2012-01,2018-01
196809.0,[701022 693356],[1 0],[ 0.18  0.5 ],[2009 2000],[ 2011.  2015.],2,1,1,0.5,0.5,2,0,1.0,0.0,0.33999999999999997,2009-01,2000-01,2011-01
98506.0,[670712 669105 645787],[1 0 0],[ 0.3    1.     0.374],[2004 1966 2005],[ 2018.  2018.  2018.],3,1,2,0.3333333333333333,0.6666666666666666,0,3,0.0,1.0,0.5579999999999999,2004-01,2005-01,2018-01
491723.0,[651100],[0],[ 0.567],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.5670000000000001,2014-01,2014-01,2018-01
426189.0,[734382 719893 682331 671915 332075],[0 0 0 0 1],[ 0.2   0.95  0.8   1.    0.95],[2007 2002 2009 2010 2006],[ 2018.  2018.  2018.  2018.  2018.],5,1,4,0.2,0.8,0,5,0.0,1.0,0.78,2007-01,2006-01,2018-01
426191.0,[713029],[0],[ 0.3],[2013],[ 2013.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.3,2013-01,2013-01,2013-01
65745.0,[684667 644753],[0 0],[ 0.025  0.029],[2007 2003],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.027,2007-01,2003-01,2018-01
