"EID","BTEID","IFHOME","BTBL","BTYEAR","BTENDYEAR"
"28007","67212","1","1","1998",""
"28007","30258","1","1","2011",""
"28099","732742","0","0.2","2014",""
"28099","718525","0","0.5","2014",""
"28099","702752","1","0.25","2014",""
"28333","736082","0","1","2015",""
"28333","721267","0","1","2015",""
"28333","714412","0","1","2015",""
"28333","712050","0","1","2015",""
"28333","710035","0","1","2015",""
"28333","699065","0","1","2015",""
"28333","694435","0","1","2015",""
"28333","674976","0","1","2015",""
"28333","672345","0","1","2015",""
"28333","638947","0","1","2015",""
"28333","624177","0","1","2015",""
"28446","637138","0","0.8","2010",""
"29260","190518","1","0.5","2007",""
"29511","683006","1","1","2014",""
"29511","665833","1","1","2015",""
"29511","232456","1","0.5","2014",""
"29511","194648","1","0.5","2013",""
"30570","665585","0","1","2015",""
"32235","734780","1","0.5","2006",""
"32235","672501","1","0.333","2013",""
"33259","691953","0","0.51","2012",""
"33433","709559","1","0.4","1989",""
"33433","664351","1","0.7","1992",""
"34483","733952","0","1","2013",""
"34483","705942","1","0.06","2015",""
"34483","644075","0","1","2015",""
"34483","640848","1","1","1998",""
"34483","495194","1","1","2000",""
"34483","478849","1","1","2012",""
"34483","424096","1","1","2010",""
"34483","20187","1","1","2000",""
"35899","730403","0","0.3","2015",""
"35899","657541","0","1","2014",""
"36355","673679","1","1","2014",""
"36355","666374","1","1","2014",""
"37623","688079","1","0.1","2005","2006"
"37623","641315","1","0.5","2007",""
"38240","673888","1","0.3","2001",""
"39738","699608","0","1","2005","2015"
"39738","663812","0","1","2004",""
"39738","648349","0","0.234","2004",""
"39959","695576","1","0.5","2008",""
"39959","685555","0","0.5","2005","2009"
"39959","673457","0","0.833","2012","2013"
"39959","672488","0","0.033","2007","2013"
"40219","713779","1","0.2","2007",""
"40445","730095","0","0.5","2014",""
"40445","681258","0","0.333","2014",""
"40543","670811","1","0.25","2010",""
"43115","729724","1","0.33","2008","2011"
"43115","727005","0","0.49","2010","2012"
"43115","724736","0","1","2006",""
"46746","161865","1","1","2013",""
"48782","722021","1","0.04","2013",""
"48782","684713","1","0.002","2010",""
"48782","319380","1","0.5","2005",""
"49027","631768","1","0.029","1999",""
"50001","691688","0","0.06","1996",""
"50464","717249","0","0.08","2014","2015"
"50929","673704","0","0.076","2004",""
"51697","734066","0","0.333","1989","2005"
"51697","732320","0","0.75","1992",""
"51697","726801","0","0.6","1993","2014"
"51697","720328","0","1","1999",""
"51697","718851","1","1","1987","2011"
"51697","713012","0","1","1993",""
"51697","703557","0","0.8","2013",""
"51697","683700","1","0.141","1999","2007"
"51697","676650","0","1","1993","1998"
"51697","676283","1","0.6","2004",""
"51697","675535","0","1","1984","1986"
"51697","675248","0","0.05","2007",""
"51697","669553","0","0.5","1994",""
"51697","668763","0","1","1995","2014"
"51697","668268","0","1","1993","2009"
"51697","662994","1","1","1996","2010"
"51697","655499","1","1","1991",""
"51697","648458","1","1","1985",""
"51697","645908","0","0.333","1988","1998"
"51697","644543","1","0.5","1998",""
"51697","640127","1","0.1","2005",""
"51697","634283","0","0.256","1988",""
"51697","633933","0","0.9","1995",""
"51697","633827","0","0.013","1998",""
"51697","632579","0","0.6","2004",""
"51697","630641","0","1","1993","2004"
"51697","625521","1","0.5","2004",""
"51697","524360","1","1","1993",""
"51697","471903","1","1","1985",""
"51697","430405","1","1","1987",""
"51697","388252","1","1","1993",""
"51697","358097","1","1","1985",""
"51697","355526","1","1","1987",""
"51697","321167","1","0.1","2002",""
"51697","121438","1","1","2007",""
"51697","73430","1","0.8","1995",""
"51697","28787","1","1","1987",""
"51697","6715","1","1","1993",""
"53231","633582","1","0.3","2001",""
"53752","734292","0","0.001","2001",""
"53752","708175","0","0.95","2010","2013"
"53752","642838","0","0.004","2008",""
"54074","655280","0","0.6","2009",""
"54074","651919","1","0.009","2014",""
"54074","426144","1","1","2012",""
"54074","273859","1","1","2013",""
"55090","675055","0","1","2014",""
"55090","667044","1","0.1","2015",""
"55090","642437","0","0.004","2014",""
"55090","342217","1","1","2012",""
"56533","723436","0","0.063","2006",""
"57820","672783","0","0.7","2004",""
"57910","738136","0","0.5","2014",""
"57910","675826","1","0.8","2013",""
"57910","669244","0","0.024","2008",""
"57910","640625","1","0.714","1997",""
"57910","640263","1","0.35","2007",""
"57910","445272","1","0.55","2000",""
"57910","379403","1","0.5","2006",""
"57910","318510","1","0.8","2013",""
"57910","225601","1","0","2000",""
"57910","158064","1","0.98","2007",""
"59057","411052","1","0.967","2001",""
"59057","32519","1","0.167","2014",""
"59763","661012","1","1","2008",""
"60629","712495","1","1","2011",""
"60629","648163","1","0.51","2013",""
"60629","493669","1","0.333","2015",""
"60629","406179","1","0.333","2015",""
"62025","699523","1","1","1987","2007"
"62025","677886","1","1","1992",""
"62025","677355","1","1","1994","2015"
"62025","637992","1","1","1988","2007"
"62025","626263","1","1","1998",""
"62025","291581","1","1","1995",""
"64087","704664","0","0.35","2010",""
"64099","712179","0","0.333","2001",""
"64553","665161","0","0.3","2010",""
"65593","631694","0","0.97","2009",""
"67487","727976","0","0.25","2015",""
"68368","674559","1","1","2009","2010"
"69681","669601","1","0.5","2000",""
"70882","718105","1","0.31","2012",""
"71306","699476","1","0.4","2006",""
"71306","650638","1","0.2","2015",""
"71306","354050","1","0.05","2007",""
"71306","238434","1","0.25","2007",""
"72323","698874","1","0.528","2014",""
"72323","494142","1","0.111","2014",""
"72989","417256","1","1","2014",""
"73579","358967","1","0.2","2010",""
"74352","655396","0","0.011","1994",""
"74476","673574","1","0.5","2009",""
"74476","654778","1","0.5","1995",""
"76883","712152","1","0.8","2011",""
"76883","338726","1","0.8","2011",""
"78937","695743","1","0.999","2002",""
"79247","675605","0","1","2007","2013"
"80078","682969","1","0.333","2015",""
"80098","656233","1","0.3","2014",""
"82468","443711","1","1","2008",""
"85259","640031","0","1","2015",""
"85714","296637","1","0.9","2008",""
"85803","664658","1","1","2014",""
"87973","696392","0","0.267","2009",""
"88260","675893","0","0.15","2014",""
"89448","724525","0","0.6","2014",""
"90139","733075","1","1","2008",""
"90139","728111","1","1","1999",""
"90139","724303","0","0.5","1984",""
"90139","715940","0","0.28","1998",""
"90139","668083","1","0.3","2003","2014"
"90139","638865","0","0.17","1999",""
"90139","631158","1","0.011","1998","2006"
"90139","509809","1","0.25","1996",""
"90139","285733","1","1","2013",""
"90270","703634","1","0.25","2012",""
"91163","708897","1","0.8","1994",""
"91163","677495","0","0.416","2004",""
"92197","717327","0","0.51","2015",""
"92197","714397","0","1","2015",""
"92197","699074","0","0.51","2015",""
"92197","660602","0","0.51","2015",""
"92197","103065","1","1","2015",""
"93386","691170","1","0.99","2013","2015"
"93386","673336","1","0.99","2013",""
"93386","653630","1","0.99","2013","2015"
"93386","637870","1","0.99","2013",""
"93386","630851","1","0.99","2013","2015"
"93386","312854","1","0.007","2013",""
"93386","72452","1","0.99","2013",""
"94325","713344","0","0.1","2000",""
"94325","680050","0","1","1995",""
"94325","665365","0","0.3","2001","2008"
"94948","665558","1","0.027","2002",""
"94948","642674","0","0.751","2009",""
"95730","651050","0","0.7","2007","2012"
"96832","644964","1","0.01","2015",""
"96832","143593","1","0.005","2014",""
"96991","297807","1","0.27","2007",""
"97134","735068","0","1","2012",""
"97134","728005","1","0.02","2012",""
"97134","727964","0","1","2012",""
"97134","719481","1","0.02","2012",""
"97134","715997","1","1","2013",""
"97134","714920","1","1","2013",""
"97134","685214","1","0.02","2013",""
"97134","677334","1","1","2012",""
"97134","673389","0","0.333","2007",""
"97134","663615","0","1","2012",""
"97134","652410","0","1","2012",""
"97134","625616","0","1","2012",""
"97134","478714","1","0.2","2012",""
"97134","470535","1","0.8","2001",""
"97134","455817","1","0.7","2012",""
"97134","384046","1","0.62","2012",""
"97134","378918","1","0.65","2013",""
"97134","284172","1","0.753","2008",""
"97134","171371","1","1","2012",""
"97134","110233","1","1","2013",""
"97304","691683","1","0.584","1995","2012"
"97304","628116","0","1","2011",""
"97378","738122","0","0.6","2015",""
"97378","693190","1","0.333","2015",""
"98830","207074","1","0.4","2010",""
"99664","731745","0","0.715","2004",""
"99664","636960","0","0.51","2004","2010"
"99664","233982","1","1","1998",""
"99664","219112","1","1","2004",""
"99981","250270","1","0.923","2005",""
"100046","164190","1","0.5","2015",""
"102929","733242","1","0.9","2006","2012"
"102929","672922","1","0.667","2005","2011"
"102929","650938","0","0.9","2010",""
"102929","645296","1","0.8","2003","2011"
"102929","638679","0","0.9","2009","2014"
"103217","271010","1","0.191","2004",""
"103381","722491","1","0.683","2001","2011"
"103381","185224","1","0.727","2003",""
"103449","726873","1","1","1998",""
"103449","684816","1","1","1995","2006"
"103449","654592","1","1","1996",""
"103449","637789","1","1","2000","2008"
"103449","102929","1","0.143","2002",""
"103766","640213","0","0.077","2012",""
"107527","722689","0","0.092","2004",""
"107527","722273","1","0.077","2004",""
"107527","372644","1","0.134","2005",""
"107527","27112","1","0.087","2014",""
"108212","699070","1","0.3","1998","2011"
"108902","724306","1","0.3","2008","2012"
"108968","35402","1","0.5","2001",""
"109285","628527","0","0.25","2010",""
"110443","652969","0","0.057","2009",""
"110500","738236","0","1","2015",""
"110500","714761","0","1","2015",""
"110500","701977","0","1","2013",""
"110500","685224","0","1","2014",""
"110500","663623","0","0.376","2011",""
"110500","660774","0","0.95","2013",""
"110503","641177","1","1","2011",""
"111096","713226","1","1","2000",""
"111096","641517","1","0.21","2007",""
"114450","688671","1","0","2000",""
"114450","660337","1","1","2005",""
"114450","651195","1","1","1993",""
"114806","723622","0","0.5","2014",""
"114806","638863","0","0.02","2008",""
"115185","644063","1","0.04","2015",""
"115414","694646","1","0.394","1993","2010"
"117601","700559","1","0.255","2010",""
"117601","683209","1","0.4","2015",""
"117601","674744","1","0.4","2013",""
"117601","661288","0","0.2","2015","2015"
"117601","660752","0","0.2","2015",""
"117601","656379","1","0.9","2007",""
"117601","623695","1","0.77","1998",""
"118004","719341","1","0.66","2014",""
"118004","636008","0","0.49","2015",""
"118004","5472","1","0.34","2015",""
"118834","643076","1","0.5","2012",""
"118834","453791","1","0.51","2006",""
"119318","624405","1","0.85","2015",""
"119350","736390","0","0.85","2006",""
"119350","730113","0","0.6","2008",""
"119350","726920","0","0.5","2010",""
"119350","682245","0","0.4","2006","2006"
"119350","679580","0","1","2015",""
"119350","669733","0","0.6","2008",""
"119350","657108","1","0.55","2001",""
"119350","651265","1","1","2001",""
"119350","647378","0","1","2010",""
"119350","642925","0","1","2011",""
"119350","637322","1","0.65","2009",""
"119350","636263","0","0.4","2010",""
"119382","511343","1","0.167","2007",""
"120895","710819","0","0.55","2009",""
"121289","624190","1","0","2012",""
"121289","496357","1","0.02","2010",""
"121881","635384","1","1","1993",""
"121881","20491","1","1","1993",""
"123028","734345","1","1","1993",""
"123028","706874","1","1","2002",""
"123447","724693","0","0.4","2015",""
"123811","703271","0","0.3","2015",""
"123811","678799","0","0.4","2013",""
"125291","654322","1","0.5","2015",""
"125556","705534","1","0.996","2013",""
"128213","733601","1","0.7","2004","2008"
"129068","641589","1","1","2015",""
"130061","686356","1","0.005","2014",""
"130061","645635","0","0.25","2015",""
"130061","634213","1","0.5","2015",""
"130128","715497","1","0.1","2003",""
"130799","623155","0","0.231","2013",""
"130799","504734","1","0.4","2014",""
"132422","729637","0","0.22","2011",""
"132670","733926","1","0.56","2012",""
"132978","259623","1","1","2011",""
"133328","735708","1","0.988","2000","2011"
"133328","716007","1","0.308","1985","2009"
"133328","703999","1","1","1999","2007"
"133328","639342","1","1","1994","2012"
"134808","664066","1","0.042","2000",""
"135232","714008","1","0.333","2003","2012"
"136379","707483","0","0.51","2010",""
"138287","740148","1","0.09","2011",""
"140801","727233","1","0.429","2014",""
"140892","730805","1","0.9","2012",""
"141894","715268","1","0.01","2006",""
"141971","270757","1","0.5","1994",""
"143668","663212","1","1","2012",""
"145964","623512","1","0.9","2014",""
"145964","33756","1","1","2014",""
"146120","627708","1","0.334","2008",""
"149580","402816","1","0.49","1998",""
"151336","87430","1","1","2009",""
"152123","686485","0","0.028","1996",""
"152123","685508","0","0.02","2008",""
"152123","657382","0","0.214","2005",""
"152399","722098","0","1","2015",""
"152399","693471","0","0.75","2015",""
"155240","435581","1","0.9","2007",""
"155240","274012","1","0.3","2010",""
"155240","205452","1","0.5","2003",""
"157145","730415","1","0.8","2005",""
"157145","672116","0","0.5","2015",""
"157145","641626","0","0.51","2015",""
"157206","737742","1","1","1994",""
"157206","670173","1","0.2","2005","2009"
"157206","658311","1","0.9","1995","2007"
"157206","655289","1","0.5","2010",""
"157206","649274","1","0.5","2013",""
"157206","625716","1","1","1992","2013"
"157206","356711","1","0.5","2009",""
"157206","80622","1","1","1994",""
"157206","66690","1","1","2005",""
"157757","734164","1","1","2008",""
"157757","133477","1","0.975","2004",""
"157757","115287","1","1","2008",""
"157757","17310","1","0.5","2004",""
"157839","709207","1","0.02","2010",""
"158365","678182","1","1","1989","2012"
"158377","711989","0","0.45","2005","2009"
"158377","683843","0","1","2007","2008"
"158377","636199","0","0.5","2005","2005"
"159100","431775","1","0.5","2001",""
"159387","691655","1","0.9","2005","2006"
"161422","307726","1","0.02","2015",""
"162174","717439","0","0.49","2010",""
"162174","666764","0","0.5","2007",""
"162890","717171","1","0.3","2015",""
"162890","696021","1","1","2015",""
"162890","525820","1","0.071","2009",""
"162890","491780","1","1","2014",""
"162890","294625","1","1","2015",""
"164849","641908","0","0.01","2013",""
"164849","641337","0","1","2013",""
"166613","206437","1","0.198","2012",""
"168362","702433","0","0.3","2007",""
"168843","682238","1","0.5","2014",""
"168843","277032","1","0.9","2006",""
"169938","739477","1","0.6","1996","2006"
"169938","736418","1","0.333","2002",""
"169938","730798","0","0.1","1996","2011"
"169938","727031","1","0.2","1996",""
"169938","723301","1","0.103","1998",""
"169938","654118","1","1","1993",""
"169938","653306","0","0.4","1994","2002"
"169938","651811","0","0.35","1993","2005"
"169938","650971","1","0.85","2000","2009"
"169938","642690","1","0.7","2000","2013"
"169938","246999","1","0.25","1990",""
"169938","233994","1","1","1992",""
"169938","37429","1","0.5","2000",""
"171022","164135","1","1","2000",""
"173165","642657","1","0.833","2004","2006"
"176196","689634","1","0.25","2005",""
"176461","653774","1","1","2012",""
"178659","664139","0","1","2013",""
"178659","213068","1","0.4","2014",""
"179264","725698","0","0.1","2014",""
"180551","726063","1","0.6","2009",""
"180551","638462","1","0.6","2013",""
"180551","403254","1","0.52","2002",""
"180551","12751","1","0.52","2009",""
"182111","735074","1","0.51","2013",""
"182111","715413","1","0.51","2014",""
"182111","696762","1","0.317","2012",""
"182111","458000","1","1","2013",""
"182111","211046","1","1","2014",""
"182111","206659","1","1","2010",""
"182573","667696","1","0.25","1995",""
"182573","354889","1","1","2014",""
"182931","699232","0","0.6","2004",""
"182931","628935","1","0.4","2000","2011"
"182931","521341","1","0.5","2001",""
"182931","236901","1","0.6","1998",""
"183359","675917","0","0.7","2015",""
"185997","737089","1","0.2","2005",""
"187835","740329","0","1","2013",""
"187835","709772","1","0.75","2015",""
"187835","695621","1","0.25","2009",""
"187835","681262","1","1","2015",""
"187835","647441","1","1","2005",""
"187835","628933","1","0.9","2015",""
"187835","392507","1","0.8","2014",""
"187835","119187","1","1","2015",""
"188769","649692","0","0.333","2015",""
"189293","728118","1","1","1999",""
"189293","705383","1","1","1997",""
"189293","660284","1","1","1995",""
"189293","654861","1","1","2007",""
"189293","651992","1","1","2003",""
"189293","647871","1","1","2000",""
"189293","327189","1","1","1997",""
"189293","262693","1","1","1999",""
"189293","260488","1","1","1998",""
"189293","211789","1","1","1993",""
"189293","109166","1","1","2001",""
"193068","442305","1","1","2011",""
"193072","391184","1","0.25","1994",""
"193887","733222","0","1","2013",""
"193887","731417","0","1","2012",""
"193887","731045","0","1","2012",""
"193887","727220","0","1","2013",""
"193887","686225","1","1","2013",""
"193887","684406","1","1","2013",""
"193887","678281","1","1","2013",""
"193887","677805","0","1","2012",""
"193887","637667","0","0.55","2012",""
"193887","633249","1","1","2013",""
"193887","625087","1","1","2013",""
"193887","498404","1","1","2013",""
"193946","653862","1","0.41","2014",""
"195011","713684","1","0.76","2008",""
"195165","629318","0","0.141","2012",""
"196508","691261","1","0.7","2010",""
"196734","626951","1","0.5","2012",""
"197528","695656","0","0.1","2008",""
"197528","695624","0","0.1","2003",""
"197528","648102","0","0.2","2013",""
"197528","505179","1","0.5","2003",""
"199721","726353","0","0.2","2013",""
"199721","680057","0","0.2","2005",""
"199721","651949","0","0.2","2010",""
"199721","645003","0","0.1","2014",""
"199721","623570","0","0.1","2009",""
"199721","448488","1","0.25","2012",""
"199721","389426","1","0.2","2011",""
"199721","184599","1","1","2009",""
"200338","725708","0","0.164","2009",""
"200338","694169","1","0.3","2009",""
"200338","651693","1","0.5","2013",""
"200338","345203","1","0.3","2013",""
"201955","143257","1","1","2011",""
"202703","690057","1","0.8","2015",""
"202703","24975","1","1","2015",""
"203081","656295","0","1","2004",""
"203081","316303","1","0.5","2006",""
"203081","221288","1","0.5","2006",""
"203161","623906","0","1","1996","1997"
"204120","655712","1","0.25","2013",""
"204295","704674","0","0.51","2010","2011"
"204295","659437","0","0.068","1999",""
"204789","682515","1","0.2","2004",""
"204789","637479","1","0.998","2004",""
"204789","629308","1","0.99","2005",""
"204789","343815","1","0.495","2004",""
"204789","313300","1","0.05","2011",""
"205510","682802","0","1","2008",""
"206286","171601","1","0.9","2015",""
"208219","665443","1","0.333","2015",""
"208393","737791","1","0.02","2012",""
"208393","654916","1","0.5","2014",""
"208871","712549","1","1","2010",""
"209263","717168","0","0.5","2013",""
"210818","712701","0","0.474","2006","2012"
"210818","673570","1","0.98","2006","2011"
"211042","215270","1","0.1","2005",""
"211342","729000","1","0.02","2009",""
"211342","694585","1","0.071","2015",""
"211342","679209","0","0.008","2008",""
"211342","625971","1","0.02","2015",""
"212498","710222","1","0.17","2000","2011"
"212498","708997","1","0.8","2012","2014"
"212498","707697","1","0.8","2000","2010"
"212498","701227","1","0.8","2012","2014"
"212498","669741","1","0.5","1999",""
"212498","656190","1","0.8","2012","2015"
"212498","632849","1","0.5","1999",""
"212498","350093","1","0.8","2012",""
"212498","240734","1","0.8","2012",""
"212498","225775","1","0.8","2012",""
"212498","209670","1","0.8","2012",""
"212895","317953","1","1","2002",""
"213603","667757","0","0.75","2004",""
"213603","632748","1","0.4","1999",""
"215104","737745","1","0.6","1996","2013"
"215104","714814","1","1","1996",""
"215104","692063","1","0.49","2001",""
"215104","688215","1","0.487","2013",""
"215104","688215","1","0.487","2013",""
"215104","686249","1","1","1996","2007"
"215104","668044","1","0.974","2013",""
"215104","663255","1","0.667","2004","2012"
"215104","663246","1","0.46","2005","2008"
"215104","653393","1","0.8","1997","2007"
"215104","646601","1","0.5","1996","2006"
"215104","641208","1","1","2010","2012"
"215104","640456","1","0.4","1998",""
"215104","627059","0","0.8","1997","2000"
"215104","624757","1","0.7","2007","2011"
"215104","507225","1","0.333","2013",""
"215104","894","1","1","1998",""
"215238","722542","0","0.45","2001",""
"216009","735050","1","1","1993",""
"217345","662842","1","0.9","2015",""
"217431","731310","1","1","2008","2010"
"217701","628488","0","1","2011",""
"218183","739076","1","0.95","2011",""
"218183","725454","1","0.9","2011",""
"218183","720996","1","0.6","2010",""
"218183","700623","1","0.333","2011",""
"218183","692522","1","0.99","2010",""
"218183","669187","1","0.5","2013",""
"218629","59832","1","0.2","2014",""
"218629","27761","1","0.379","2010",""
"218872","684251","1","0.6","2009",""
"219586","313467","1","0.38","2008",""
"221320","685649","0","0.51","2015",""
"221320","656161","0","0.51","2013",""
"221320","629595","0","0.5","2011",""
"224047","682189","1","1","2015",""
"224047","653909","1","1","2007",""
"224047","628357","0","0.55","2008",""
"225464","692153","0","0.9","2004",""
"225464","627714","0","0.52","1988",""
"225464","624045","0","0.51","2004",""
"225640","630899","1","1","2001",""
"225949","722993","1","0.125","2001",""
"225949","715159","1","0.5","2012",""
"225949","644097","1","0.195","2013",""
"225949","396294","1","0.009","2015",""
"225949","273590","1","0.05","2013",""
"225949","261790","1","0.25","2014",""
"227871","638282","1","0.8","2015",""
"228105","666059","1","0.5","2002","2011"
"228737","650587","0","0.03","2010",""
"228904","737773","1","0.98","2006",""
"229078","297367","1","0.222","2000",""
"230076","662918","1","0.1","2002","2007"
"230136","644736","0","1","2014",""
"230461","683598","1","0.13","2001","2006"
"230653","662809","1","1","2002",""
"231036","674712","1","0.5","2003",""
"232335","677435","1","0.167","2012",""
"232422","119507","1","0.75","2004",""
"234013","625792","0","1","2011",""
"234707","683520","1","0.075","2008",""
"234725","705548","1","1","1997","2007"
"234725","674194","1","0.067","1993",""
"234888","720261","1","0.2","1998",""
"235845","644727","1","0.515","2008",""
"235845","333620","1","0.515","2015",""
"235845","274119","1","0.511","2001",""
"239541","641495","1","0.3","2003",""
"240177","657065","0","1","2015",""
"241012","734405","0","1","2014",""
"241012","652151","1","0.01","2014",""
"241012","634646","1","0.5","2015",""
"241012","444575","1","0.6","2014",""
"241012","353506","1","0.6","2014",""
"241012","314691","1","0.45","2015",""
"241012","309078","1","1","2014",""
"241012","114732","1","0.3","2014",""
"241012","109538","1","0.01","2014",""
"241012","85785","1","0.01","2014",""
"241053","648641","1","0.49","2007","2008"
"241053","639784","1","0.3","2014",""
"241385","720455","0","0.02","2004",""
"242137","628746","1","1","2008",""
"242218","725176","1","0.25","2014",""
"242218","698734","0","1","1991","2001"
"242218","435602","1","0.4","2015",""
"242218","411984","1","1","1994",""
"243006","737571","0","0.95","2003","2003"
"243006","735535","0","0.95","2003","2008"
"243006","719198","0","0.9","2005",""
"243006","712447","0","0.9","2004",""
"243006","710358","0","0.4","2006",""
"243006","708701","0","0.95","2005","2014"
"243006","695608","0","0.8","2003","2010"
"243006","642188","0","0.9","2006",""
"243837","398760","1","0.2","2009",""
"245533","250314","1","0.5","2001",""
"246536","264887","1","0.249","2013",""
"247564","91015","1","1","2009",""
"247601","717632","1","0.2","2014",""
"247601","676908","1","0.179","2008",""
"247601","652222","1","0.5","2001",""
"247601","623834","1","0.51","2008",""
"247601","451968","1","0.5","2012",""
"247601","433028","1","0.2","2014",""
"247601","132633","1","0.2","2013",""
"248552","717083","0","1","2014","2015"
"249106","354006","1","0.01","2015",""
"249657","658532","0","0.2","2012",""
"249773","733715","1","1","2011",""
"249773","674049","0","0.51","2014",""
"249773","624990","0","0.98","2014",""
"249773","624183","1","0.5","2013",""
"249773","285810","1","0.5","2014",""
"249854","660193","1","0","2014",""
"252401","682982","1","0.1","2010",""
"256978","655330","0","0.25","2014",""
"257737","695657","1","1","2001","2010"
"258104","701533","0","0.05","2012",""
"258490","719713","1","0.167","2012",""
"258490","705124","1","1","1993","2013"
"258490","693498","1","1","1995","2013"
"258490","628610","1","1","1995","2008"
"258585","669162","1","1","2015",""
"258585","658459","1","0.3","2009","2010"
"260868","671284","0","0.3","2003",""
"262388","709030","1","0.2","2002","2007"
"262388","706977","0","0.085","2008",""
"262388","464147","1","0.067","2005",""
"263176","738241","1","0.8","2005",""
"263889","698085","0","1","2007","2009"
"264429","706361","1","0.056","2015",""
"264539","675243","1","0.7","2007",""
"265018","732584","0","0.9","2010",""
"265018","723455","1","0.5","2012","2013"
"265018","684749","1","0.5","2012","2013"
"265018","657427","1","0.9","2007",""
"265018","523610","1","0.5","2012",""
"265018","266924","1","0.5","2012",""
"265018","68949","1","0.5","2012",""
"265119","716088","1","1","1993","2006"
"265119","205847","1","1","1994",""
"265263","674598","1","0.037","2002","2013"
"265263","654522","1","0.232","1992","2007"
"265654","667032","0","0.099","2010",""
"265654","228281","1","0.5","2004",""
"266439","225601","1","0","2000",""
"267229","399558","1","0.67","2014",""
"270883","674836","1","0.1","1985",""
"271006","690185","0","0.506","2015",""
"271006","641625","1","0.115","2014",""
"271006","634835","1","0.501","2015",""
"271744","664201","0","0.15","2003",""
"271744","650844","1","0.25","2015",""
"271744","292168","1","0.3","2010",""
"271746","717871","0","0.95","2003",""
"271746","693514","0","0.9","2004","2013"
"271746","691861","0","0.95","2003",""
"271746","685283","0","0.9","2004","2008"
"271746","679275","0","0.95","2003",""
"271746","673886","0","0.9","2004","2014"
"271746","669696","0","0.1","2003","2007"
"271746","668632","0","0.5","2004",""
"271746","661831","0","0.95","2004","2012"
"271746","654202","0","0.95","2003","2012"
"271746","645734","0","0.95","2006","2008"
"273304","624794","0","1","1999",""
"273701","676048","0","0.55","2014",""
"274559","704945","0","1","2015",""
"274559","141353","1","0.056","2014",""
"274831","645869","0","0.15","2010",""
"274831","638013","0","0.6","2007",""
"276474","687100","1","0.26","2003",""
"278747","737439","0","0.4","2014",""
"278747","736536","0","0.1","2013",""
