"EID","TYPECODE","IFHOME","B_REYEAR","B_ENDYEAR"
"191546","br120165","0","2009",""
"458263","br150252","0","2003","2011"
"326553","br30311","0","2013",""
"277210","br142","0","2004",""
"449038","br90153","1","2005",""
"191546","br180161","0","2010",""
"421246","br144","0","2010",""
"161882","br30313","1","2002","2009"
"329569","br180162","0","2014",""
"405460","br120167","0","2003","2011"
"404165","br90155","1","2011","2012"
"279513","br210597","0","2003",""
"279513","br210598","0","2010",""
"466551","br150253","1","2007",""
"279513","br210600","0","2000",""
"279513","br180164","0","1997",""
"279513","br90158","0","2012",""
"243034","br210602","1","1994",""
"292825","br60197","1","1999",""
"124905","br60198","1","2012",""
"225601","br150255","1","2003",""
"279513","br90159","0","2001",""
"405460","br150257","0","2002",""
"475228","br146","1","2007","2011"
"517562","br120172","0","2006",""
"4433","br210603","0","2014",""
"384259","br180166","1","2008","2012"
"84639","br120173","1","2012","2015"
"363292","br30317","1","2009",""
"405460","br150261","0","2007",""
"496376","br90163","1","2014","2015"
"405460","br147","0","2007",""
"200803","br150265","0","2002","2002"
"405460","br148","0","2003",""
"65707","br180167","1","2005",""
"261267","br90165","1","2008","2008"
"279513","br149","0","2000",""
"370552","br120175","0","2010",""
"405460","br120176","0","2007",""
"476941","br150267","0","2004","2005"
"279513","br180170","0","2006",""
"198511","br90167","1","2004","2007"
"405460","br151","0","2000",""
"366844","br180171","0","2013",""
"405460","br152","0","2005",""
"3317","br60204","1","2011","2013"
"279513","br30318","0","2014",""
"279513","br150270","0","2013",""
"279513","br180172","0","2005",""
"279513","br30320","0","2002",""
"279513","br120180","0","2013",""
"310990","br120181","1","2010",""
"405460","br154","0","2003","2011"
"161296","br60205","1","2000","2012"
"128319","br60206","0","2008",""
"71218","br120183","1","2007","2008"
"279513","br150271","0","2003",""
"214524","br210608","0","2012",""
"405460","br180174","0","2006",""
"490770","br157","0","2015",""
"405460","br158","0","2003",""
"383749","br120184","0","1998","2002"
"227863","br30323","1","2003","2010"
"279513","br30324","0","2001",""
"214816","br120185","0","2005","2009"
"296864","br150274","1","1998","2007"
"504043","br30326","0","2012",""
"329569","br160","0","2015",""
"287600","br60208","0","2014",""
"279513","br150275","0","2002",""
"405460","br161","0","2006",""
"38087","br150277","0","2011","2013"
"405460","br120187","0","1998",""
"294732","br210610","0","1998","2001"
"453211","br30329","0","2005",""
"438806","br120188","0","2005","2007"
"323382","br30330","0","2004",""
"405460","br180176","0","2008",""
"246318","br180177","1","2013",""
"236172","br150279","0","2015",""
"460777","br210612","1","2014",""
"405460","br90175","0","2015",""
"162079","br210613","1","2011",""
"279513","br150280","0","2000",""
"405460","br210614","0","2002",""
"279513","br30332","0","2010",""
"279513","br90176","0","1999",""
"301976","br210615","1","2004","2010"
"495201","br60212","0","2009",""
"497881","br210617","1","2010",""
"390373","br30333","0","2013",""
"405460","br90178","0","2003",""
"405460","br60215","0","2007",""
"279513","br170","0","2008",""
"279513","br30336","0","2005",""
"405460","br90180","0","2015",""
"155139","br172","1","1995",""
"279513","br60217","0","2001",""
"519649","br150286","1","2014",""
"458904","br30339","1","2007",""
"313333","br30340","1","2007","2009"
"221136","br173","1","2002",""
"460340","br210620","1","2008","2014"
"240820","br60218","1","2004","2011"
"221312","br30341","1","2013",""
"510955","br120192","1","2008","2013"
"223212","br120194","0","2007","2012"
"279513","br120195","0","2001",""
"78216","br150289","1","2003",""
"157350","br60219","1","2013","2014"
"279513","br90183","0","2000",""
"210102","br210622","1","2015",""
"405460","br176","0","1998",""
"192574","br150291","1","2008","2010"
"279513","br60220","0","2006","2007"
"272177","br177","0","2014",""
"194068","br90184","0","2005","2014"
"21278","br120198","1","2011","2014"
"371587","br60221","0","2012",""
"405460","br30347","0","2003",""
"279513","br180184","0","1994",""
"279513","br90185","0","2007",""
"81092","br150293","0","2010",""
"405460","br120199","0","2002",""
"405460","br180186","0","2003",""
"393939","br90186","1","2005","2011"
"297043","br179","1","1997",""
"279513","br90187","0","2010",""
"279513","br210627","0","2001",""
"457753","br30349","0","2013",""
"149026","br120200","0","2012",""
"404165","br150295","1","2011","2013"
"279513","br60225","0","2000",""
"326553","br210628","1","2012","2014"
"405460","br150297","0","2009",""
"279513","br120203","0","2011",""
"191546","br180191","0","2010",""
"196119","br90191","1","1995",""
"405460","br183","0","2009",""
"109776","br210630","0","2008","2009"
"48532","br30353","0","2011","2012"
"279513","br150300","0","2006",""
"279513","br180194","0","2002",""
"405460","br184","0","2002",""
"318595","br30354","0","2005","2011"
"405460","br180196","0","2008",""
"202415","br120206","1","2009","2012"
"405460","br60227","0","1997",""
"506098","br90192","0","2010",""
"279513","br30356","0","2009",""
"279513","br180197","0","2008",""
"405460","br210632","0","2007",""
"279513","br150302","0","2001",""
"192425","br150303","1","2009","2010"
"167050","br60229","0","2008",""
"279513","br210633","0","2003",""
"249926","br120208","1","2006","2008"
"279513","br30361","0","2002",""
"329569","br30362","0","2011",""
"186084","br90193","1","2012","2014"
"130540","br30363","1","2005","2008"
"158967","br180200","0","2014",""
"279513","br210635","0","2000",""
"19837","br189","0","2011","2013"
"93417","br120212","0","2011",""
"405460","br120213","0","2007",""
"225601","br180202","1","2003",""
"279513","br150307","0","2001",""
"279513","br60233","0","2001",""
"63702","br210639","0","2005","2009"
"279513","br191","0","2005",""
"24274","br120215","0","2010",""
"134452","br180204","1","2013",""
"329569","br120216","0","2014",""
"386416","br30367","0","2015",""
"296440","br60235","1","2011","2014"
"297043","br60236","1","2003",""
"274650","br210640","1","2014",""
"279513","br192","0","2005","2015"
"359108","br60239","1","2005",""
"404128","br150313","0","2011","2014"
"279513","br120220","0","1992",""
"310509","br195","0","2012",""
"367939","br90202","1","2013",""
"19978","br60240","1","2014",""
"391143","br150315","1","2009","2010"
"279513","br90204","0","2001",""
"405460","br210644","0","2010",""
"419300","br210645","1","1992","2013"
"279513","br90205","0","2004",""
"445433","br180209","1","2006","2008"
"405460","br150317","0","2010",""
"131929","br30373","0","2011","2014"
"279513","br120223","0","2000",""
"173073","br90207","0","2012",""
"405460","br150318","0","2004",""
"449546","br60246","0","2006","2009"
"405460","br120224","0","2002",""
"31270","br210647","1","2007","2009"
"63940","br60247","1","2004","2006"
"279513","br210648","0","1997",""
"405460","br150322","0","2003",""
"283506","br180216","1","2006",""
"501492","br30377","1","2011","2012"
"405460","br90211","0","1998",""
"279513","br210654","0","2012",""
"279513","br150323","0","2005",""
"17420","br180219","1","2009","2013"
"404165","br30379","1","2011","2012"
"329569","br150325","0","2012",""
"346160","br150326","1","2011",""
"138038","br60252","1","2008","2010"
"58338","br30384","1","2007",""
"191546","br30385","0","2008",""
"5723","br90214","1","2012",""
"134517","br202","1","2009","2009"
"402138","br60254","0","2004","2008"
"93417","br120229","0","2011","2013"
"405460","br210657","0","2003","2008"
"405460","br150329","0","1997",""
"63824","br30389","0","2008",""
"259226","br90217","0","2005","2014"
"329569","br210658","0","2015",""
"333979","br90218","0","1999","2000"
"279513","br210660","0","2000",""
"195427","br30390","1","2009",""
"405460","br180225","0","1996","2014"
"245661","br180226","0","2015",""
"39863","br60257","1","2005","2010"
"135302","br90219","0","2007","2008"
"405460","br150330","0","2009",""
"405460","br30391","0","2003",""
"407069","br60258","1","1990","2008"
"279513","br210661","0","2006",""
"279513","br180229","0","2002",""
"279513","br30392","0","2000",""
"405460","br206","0","2007",""
"394256","br180230","1","2006","2011"
"220948","br90221","1","2006",""
"193694","br30395","1","2013",""
"279513","br30396","0","2002",""
"193621","br150333","1","2004",""
"469360","br30397","1","2009","2011"
"405460","br30398","0","2007",""
"516572","br120236","1","2012",""
"136893","br120238","0","2008","2012"
"405460","br209","0","2009",""
"405460","br180234","0","2003",""
"405460","br150335","0","2001",""
"279513","br211","0","2001",""
"156806","br210665","0","2015",""
"387732","br120240","1","2010",""
"279513","br210666","0","2000",""
"332588","br150336","1","2013","2014"
"405460","br60264","0","2003",""
"147882","br214","1","2015",""
"405460","br90225","0","2002",""
"60056","br180238","0","1994","1999"
"279513","br120242","0","2010",""
"279513","br180239","0","2005",""
"279513","br180240","0","2003",""
"460208","br90226","1","2013",""
"405460","br150337","0","1997",""
"405460","br150338","0","1996",""
"473714","br216","1","2002","2012"
"279513","br90228","0","2011",""
"464462","br30402","1","2007","2012"
"279513","br120243","0","2005",""
"279513","br210670","0","2001",""
"294553","br120244","1","2008","2013"
"405460","br60267","0","2003",""
"27232","br210671","1","2009",""
"405460","br30403","0","2003","2008"
"405460","br60268","0","2007",""
"271082","br210672","1","2004",""
"405460","br60269","0","2003","2011"
"405460","br217","0","1998",""
"335119","br218","0","2009",""
"405460","br30404","0","2002",""
"405460","br180243","0","2002","2011"
"415671","br60271","0","2008","2010"
"460959","br220","1","2013",""
"75077","br150343","1","2014",""
"405460","br90229","0","2002",""
"279513","br120249","0","2010",""
"165576","br221","0","2006",""
"405460","br180244","0","2003",""
"279513","br210675","0","2008",""
"279513","br210676","0","2001",""
"365936","br120251","1","2008","2009"
"396222","br150346","1","2005","2007"
"453506","br150347","1","2014",""
"434448","br30406","0","2013",""
"443033","br60274","0","2011",""
"405460","br60275","0","2005",""
"50566","br60276","1","2013",""
"405460","br90234","0","2003",""
"279513","br210679","0","2006",""
"279513","br210680","0","1997",""
"476199","br150351","1","2011",""
"279513","br90235","0","2011",""
"225601","br30409","1","2003",""
"222228","br120252","0","2012",""
"469949","br180246","1","2005","2008"
"353345","br210682","0","2011",""
"271004","br225","1","2014",""
"80383","br226","0","2004","2005"
"403506","br150352","0","2006","2010"
"58497","br60277","1","2005","2007"
"437462","br120256","0","2013",""
"112204","br228","0","2004",""
"178839","br210683","0","2006","2009"
"215434","br180249","1","2004","2006"
"441494","br180250","0","2001",""
"429335","br60280","0","2007","2009"
"133619","br180251","0","2015",""
"226378","br180252","1","2012",""
"300497","br180253","1","2010",""
"405460","br60281","0","2008",""
"33969","br120258","1","2004","2006"
"186541","br150355","1","2009","2009"
"340491","br120259","0","2010",""
"279513","br30412","0","2000",""
"334252","br30414","0","2010","2012"
"270552","br180254","1","2004",""
"4433","br120262","0","2013",""
"279513","br210686","0","2001",""
"493703","br90240","1","2004",""
"417092","br30416","0","2003",""
"11296","br60284","1","2015",""
"147786","br60285","1","2008","2012"
"123786","br90241","1","2009","2011"
"279513","br120263","0","2010",""
"405460","br90242","0","2004",""
"464287","br150360","0","2012","2014"
"388515","br150361","0","2004","2005"
"279513","br235","0","2000",""
"199769","br60288","0","2013",""
"405460","br210688","0","2003",""
"405460","br60290","0","1991",""
"171995","br150362","1","2015",""
"8768","br210689","0","2006",""
"78262","br180256","0","2003","2005"
"71950","br30418","1","2008",""
"498263","br120264","0","2008",""
"388333","br120265","0","2008",""
"291814","br30419","0","2005","2011"
"23589","br90244","0","2007","2007"
"279513","br60291","0","2001",""
"94051","br210691","0","2015",""
"270552","br210692","1","1984",""
"492755","br60292","0","2015",""
"439","br90245","0","2011",""
"279513","br180257","0","2010",""
"473877","br30420","1","2003",""
"218326","br180258","0","2008","2013"
"164627","br90246","1","2009","2011"
"481534","br30421","0","2010","2012"
"435641","br90247","1","2015",""
"279513","br30422","0","1990",""
"511708","br90248","1","2011",""
"222978","br240","1","2012",""
"405460","br120268","0","2007",""
"279513","br150364","0","2005",""
"505222","br30425","1","2001",""
"461055","br180262","1","2011",""
"405460","br210695","0","2006",""
"73966","br150365","1","2008",""
"217985","br90249","1","2015",""
"191546","br180265","0","2008",""
"396749","br60296","1","1998","2011"
"405460","br120271","0","2002",""
"279513","br30428","0","2011",""
"83340","br150366","1","2013",""
"279513","br120273","0","2007",""
"366007","br120274","1","2014",""
"455570","br180267","1","2003",""
"152545","br90250","1","2003","2007"
"405460","br120275","0","2003",""
"341169","br210696","1","2014",""
"48506","br210697","0","2009","2011"
"279513","br60298","0","1989",""
"295346","br243","1","2010","2014"
"405460","br210698","0","2003",""
"279513","br244","0","2015",""
"496256","br210700","1","2010","2012"
"279513","br245","0","2001",""
"405460","br120276","0","2004",""
"279513","br90252","0","2000",""
"191546","br150369","0","2012",""
"225601","br30431","1","1997",""
"405460","br60301","0","2003",""
"277210","br248","0","2004",""
