EID,TYPECODE,FBDATE,SXENDDATE,BREAKFAITH_CNT,BREAKFAITH_FIRST_FIRST_TIME,BREAKFAITH_FIRST_END_TIME,BREAKFAITH_END_FIRST_TIME
313380,[ 1118579 93542860],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
247844,[   11056 62110601],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
456744,[  754265   236207 35985196 89118664],['2014-11' '2014-08' '2014-08' '2014-11'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-11,2014-11,2018-01
135209,[1765800],['2015-06'],['2018-01'],1,2015-06,2015-06,2018-01
180268,[  216917 11651761],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
147501,"[  169103    53103  1723042  1825200  1824547 36567420 18144806 19650767
 27371560]","['2014-06' '2014-01' '2015-06' '2015-06' '2015-06' '2014-01' '2015-06'
 '2015-06' '2015-06']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01']",9,2014-06,2015-06,2018-01
473133,[ 1168702  1621964 38251637],['2015-02' '2015-05' '2015-02'],['2018-01' '2018-01' '2018-01'],3,2015-02,2015-02,2018-01
366639,[  237616   183439   883678  1182989 96516338 80081861 91739876],['2014-08' '2014-06' '2015-01' '2015-02' '2015-02' '2014-08' '2015-01'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],7,2014-08,2015-01,2018-01
524335,[198274],['2014-06'],['2018-01'],1,2014-06,2014-06,2018-01
407603,[ 1426970 97932843],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
380980,[ 1625096 96513087],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
432180,[  612213 79559756],['2014-10' '2014-10'],['2018-01' '2018-01'],2,2014-10,2014-10,2018-01
411702,[176452],['2014-06'],['2018-01'],1,2014-06,2014-06,2018-01
112695,[ 2221001 96622094],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
81975,[549692],['2014-09'],['2018-01'],1,2014-09,2014-09,2018-01
505302,[187004],['2014-06'],['2015-07'],1,2014-06,2014-06,2015-07
432193,[611278],['2014-10'],['2015-07'],1,2014-10,2014-10,2015-07
317508,[379450],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
4164,[ 1092018 95153443],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
249926,[   20552   914034 66085905 24448285],['2013-10' '2015-01' '2013-10' '2015-01'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2013-10,2015-01,2018-01
100423,[  911768 66008863],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
401482,[ 2153462 96499835],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
41037,[    3003    54485 32747045],['2013-10' '2014-01' '2014-01'],['2018-01' '2018-01' '2018-01'],3,2013-10,2014-01,2018-01
157773,[ 1495808 99074757],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
163917,[  190703 79316945],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
354386,[  669174 75507281],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
45143,[  639235 73328094],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
491608,[1837198],['2015-06'],['2018-01'],1,2015-06,2015-06,2018-01
239704,[ 1003121 34305967],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
385114,[  760997   895484 92557493],['2014-11' '2014-12' '2014-12'],['2018-01' '2018-01' '2018-01'],3,2014-11,2014-12,2018-01
397402,[ 1678556 80147922],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
487516,[  2013055 102016859],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
331868,[  750047 85044360],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
436318,[1505165 2326317 2326328 2326342 2326321 2326334 2326306 2326313],"['2015-04' '2015-08' '2015-08' '2015-08' '2015-08' '2015-08' '2015-08'
 '2015-08']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2015-04,2015-08,2018-01
284767,[  916432 71984487],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
491612,[  211908   207654 34193079 32629304],['2014-08' '2014-08' '2014-08' '2014-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-08,2014-08,2018-01
77921,[  903646 66054970],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
372836,[  929324 66068146],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
409701,[  808950  1498694 14945186],['2014-12' '2015-04' '2015-04'],['2015-07' '2018-01' '2018-01'],3,2014-12,2015-04,2015-07
2157,[ 1279521 97741613],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
243821,[  2242092 104866408],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
4207,[166214],['2014-06'],['2015-07'],1,2014-06,2014-06,2015-07
458862,[  1607672   1607735   2200230  98837236  98816148 100385720],['2015-05' '2015-05' '2015-08' '2015-05' '2015-05' '2015-08'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2015-05,2015-08,2018-01
274543,[  1942160 103064303],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
67697,[ 1123996 32658105],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
456822,[  194714 27386551],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
26743,[ 1407775 91709496],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
479352,[ 1581064 27891121],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
127097,"[  215733   220922   218252   206578   213411   224888   227749   224189
   218706   218147   225091  1095488  1568214  1855345  1855303  1997395
 90440791 17778756 22352602 96999514 23949624 61272663 27469147 23045187
 19483612 16505197 96499102 21870267 23036335 24456679 40390405]","['2014-07' '2014-08' '2014-08' '2014-08' '2014-07' '2014-07' '2014-08'
 '2014-07' '2014-08' '2014-08' '2014-07' '2015-01' '2015-05' '2015-06'
 '2015-06' '2015-07' '2015-07' '2014-07' '2014-08' '2015-06' '2014-08'
 '2015-05' '2014-07' '2014-07' '2014-07' '2014-07' '2015-06' '2015-01'
 '2014-08' '2014-08' '2014-04']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01']",31,2014-07,2014-04,2018-01
413818,[ 1422804 93537912],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
448635,[ 1247535 97526185],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
184444,[237115],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
65659,[708611],['2014-11'],['2018-01'],1,2014-11,2014-11,2018-01
86139,[  176425 20778239],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
59519,"[  2183305   2183622   2183636   2183601   2183333   2183379 100430422
 100428825 100429941 100429067 100430853 100429291]","['2015-08' '2015-08' '2015-08' '2015-08' '2015-08' '2015-08' '2015-08'
 '2015-08' '2015-08' '2015-08' '2015-08' '2015-08']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",12,2015-08,2015-08,2018-01
145534,[ 1471320 99545547],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
399486,[2033707],['2015-07'],['2018-01'],1,2015-07,2015-07,2018-01
417920,[  146871 60535556],['2014-05' '2014-05'],['2018-01' '2018-01'],2,2014-05,2014-05,2018-01
411771,[ 1164139 96004603],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
272516,[  976150 85070732],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
88198,[  207321 60056799],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
266375,[  987019 80114607],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
336009,[ 1139921  1261989  1595063 92424094 97817090 97794763],['2015-01' '2015-03' '2015-05' '2015-01' '2015-05' '2015-03'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2015-01,2015-03,2018-01
401547,[218749],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
260236,[  204030   204031  1805262 93700482 60696364 60696198],['2014-07' '2014-07' '2015-06' '2015-06' '2014-07' '2014-07'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2014-07,2014-07,2018-01
133259,[ 1580354 93541997],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
338062,[  871826  1404543 97982754 91679539],['2014-12' '2015-04' '2015-04' '2014-12'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-12,2014-12,2018-01
174221,[960353],['2015-01'],['2018-01'],1,2015-01,2015-01,2018-01
381069,[866764],['2014-12'],['2018-01'],1,2014-12,2014-12,2018-01
286865,[  611288 79523625],['2014-10' '2014-10'],['2018-01' '2018-01'],2,2014-10,2014-10,2018-01
358539,[  2341496 104247863],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
157843,[  786988 79559656],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
180372,[1044616],['2015-01'],['2018-01'],1,2015-01,2015-01,2018-01
362646,[203058],['2014-07'],['2018-01'],1,2014-07,2014-07,2018-01
368792,[ 1218701 96514567],['2015-02' '2015-02'],['2018-01' '2018-01'],2,2015-02,2015-02,2018-01
512154,[ 1481372 91759522],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
311450,[  1635949 100871112],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
141467,[911677],['2014-12'],['2018-01'],1,2014-12,2014-12,2018-01
465051,[ 816849  198615 2302533 2302536],['2014-12' '2014-06' '2015-08' '2015-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-12,2015-08,2018-01
102558,[ 1380221 99304565],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
106657,[1268155],['2015-03'],['2015-07'],1,2015-03,2015-03,2015-07
28833,[1163641],['2015-01'],['2018-01'],1,2015-01,2015-01,2018-01
34979,[ 848161  848120  848091  848192 1534951],['2015-03' '2015-03' '2015-03' '2015-03' '2015-05'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],5,2015-03,2015-05,2018-01
174244,[  647662 88344958],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
268453,[220157],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
217253,[ 1369516 92542310],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
276647,[  220298 30516880],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
239784,[  567850   231755    12420 79328731],['2014-09' '2014-08' '2013-10' '2014-09'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-09,2014-09,2018-01
387241,[205221],['2014-07'],['2018-01'],1,2014-07,2014-07,2018-01
444586,[ 1268340 66047886],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
354474,[ 1133884 19680513],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
114862,"[  445475   445358   445446   445319   445408   445390   445458   445426
   445288 81380783 81380750 81380802 81380793 81380817 81380835 81380830
 81380809 81380824]","['2014-09' '2014-09' '2014-09' '2014-09' '2014-09' '2014-09' '2014-09'
 '2014-09' '2014-09' '2014-09' '2014-09' '2014-09' '2014-09' '2014-09'
 '2014-09' '2014-09' '2014-09' '2014-09']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01']",18,2014-09,2014-09,2018-01
145588,[  744339 81437679],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
469173,[  196737   196732   196727 80085936 80345335 80072106],['2014-06' '2014-06' '2014-06' '2014-06' '2014-06' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2014-06,2014-06,2018-01
63670,[  411834 81385921],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
123063,[ 1589523 96503419],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
55480,[    5569 60833727],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
161976,[2179819],['2015-08'],['2018-01'],1,2015-08,2015-08,2018-01
202934,"[  203951   185447   163302   171266  1099264  1096566  1096061  1446142
  1497178 19622735 35983278 33214745 33922897 73356715 22668560 36282728
 60033418 29050593]","['2014-07' '2014-06' '2014-06' '2014-06' '2015-01' '2015-01' '2015-01'
 '2015-04' '2015-04' '2014-06' '2015-01' '2014-06' '2015-04' '2015-04'
 '2015-01' '2014-07' '2014-06' '2015-01']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01']",18,2014-07,2015-01,2018-01
348349,[   15263 66257716],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
483517,[  1800645   2169663 104469348  22523040],['2015-06' '2015-08' '2015-08' '2015-06'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-06,2015-06,2018-01
452797,[2131058],['2015-08'],['2018-01'],1,2015-08,2015-08,2018-01
63680,"[  965227  1714666  1714656  1714676  1714688  1714672  1714662 92543295
 96491116 96491114 96506357 97995156 97995153 97995140]","['2015-01' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06'
 '2015-01' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",14,2015-01,2015-06,2018-01
166080,[ 2050911 96995639],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
78017,[243709],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
223427,[1083444],['2015-01'],['2018-01'],1,2015-01,2015-01,2018-01
43204,[2269515],['2015-08'],['2018-01'],1,2015-08,2015-08,2018-01
168133,[  397893   218028 61084900 83569391],['2014-08' '2014-07' '2014-07' '2014-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-08,2014-08,2018-01
323782,[  903634 66054969],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
471239,[807666],['2014-12'],['2015-07'],1,2014-12,2014-12,2015-07
323783,[706632],['2014-11'],['2018-01'],1,2014-11,2014-11,2018-01
334019,[ 1775402 32920534],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
344263,[ 1096139 24574301],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
331977,[  210819 79629918],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
12489,[  218729 73331103],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
82125,[  993459 39424626],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
385230,[1814940],['2015-06'],['2018-01'],1,2015-06,2015-06,2018-01
395468,[  607794 79310276],['2014-10' '2014-10'],['2018-01' '2018-01'],2,2014-10,2014-10,2018-01
415953,[  195021 69124787],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
446674,[  929356 66062726],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
508114,[906837],['2014-12'],['2015-07'],1,2014-12,2014-12,2015-07
202967,[  704656   182133     9205   704662   183394 89196437 66174329 80265812],"['2014-11' '2014-06' '2013-10' '2014-11' '2014-06' '2014-11' '2013-10'
 '2014-06']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2014-11,2014-06,2018-01
256216,[  1867851 102932606],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
344281,[ 1096318 27926806],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
469211,[241314],['2014-08'],['2015-07'],1,2014-08,2014-08,2015-07
241886,[ 1036097 66069745],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
444639,[  168222 60033640],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
489697,[ 2162893 83502707],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
209122,[   11913 30902942],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
225507,[  906282  2081820 97983993],['2014-12' '2015-07' '2015-07'],['2018-01' '2018-01' '2018-01'],3,2014-12,2015-07,2018-01
385253,[378157],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
354533,[1307137],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
209126,[   18110 66054395],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
168168,[  204895   204894 80104329 80104489],['2014-07' '2014-07' '2014-07' '2014-07'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-07,2014-07,2018-01
274665,[ 1234430  1261718 66078296],['2015-03' '2015-03' '2015-03'],['2015-07' '2018-01' '2018-01'],3,2015-03,2015-03,2015-07
86250,[1251083],['2015-03'],['2015-07'],1,2015-03,2015-03,2015-07
26860,[1246358],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
497900,[ 1054417 66010069],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
190702,[900335 900332 900330],['2014-12' '2014-12' '2014-12'],['2015-07' '2015-07' '2015-07'],3,2014-12,2014-12,2015-07
362734,[  421126 79266558],['2014-09' '2014-09'],['2018-01' '2018-01'],2,2014-09,2014-09,2018-01
430319,[  1271364   2074276 700661462  96515114  30996554],['2015-03' '2015-07' '2015-03' '2015-07' '2015-03'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],5,2015-03,2015-03,2018-01
284914,[  752967   484113   288095   520076 79554667 80318169],['2014-11' '2014-09' '2014-08' '2014-09' '2014-11' '2014-08'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2014-11,2014-08,2018-01
20724,[   218947   1869756 700661494  79623491   8339514],['2014-08' '2015-08' '2014-08' '2015-08' '2014-08'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],5,2014-08,2014-08,2018-01
82164,[ 1496350 99074245],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
315636,[ 1544603 91745553],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
96503,[  200638 81341470],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
24827,[ 193812 1078857],['2014-06' '2015-01'],['2018-01' '2018-01'],2,2014-06,2015-01,2018-01
452859,[  168200  1635022 60682215],['2014-06' '2015-05' '2015-05'],['2018-01' '2018-01' '2018-01'],3,2014-06,2015-05,2018-01
86269,[1613567],['2015-05'],['2015-07'],1,2015-05,2015-05,2015-07
497919,[  243766 80295373],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
461055,[  581606 83560742],['2014-10' '2014-10'],['2018-01' '2018-01'],2,2014-10,2014-10,2018-01
125186,[  1600155 100546125],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
270594,[  213576   196469   196439   914215 79519585 80067134 79555664],['2014-07' '2014-06' '2014-06' '2014-12' '2014-06' '2014-07' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],7,2014-07,2014-06,2018-01
313604,[ 911638 1309948],['2014-12' '2015-03'],['2015-07' '2015-07'],2,2014-12,2015-03,2015-07
188676,[  2158488 102935600],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
299270,[  162305 80408389],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
436487,[  192501 79520365],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
194824,[ 1275099 66031469],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
438537,[  911695 66014269],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
397579,[  2080778 100868814],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
336141,[ 95140 880630],['2014-03' '2014-12'],['2015-07' '2015-07'],2,2014-03,2014-12,2015-07
209166,[219898],['2014-07'],['2018-01'],1,2014-07,2014-07,2018-01
323854,[   316794    238082   1683641  41023977 101090672],['2014-08' '2014-08' '2015-05' '2014-08' '2015-05'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],5,2014-08,2015-05,2018-01
20752,[1485681],['2015-04'],['2018-01'],1,2015-04,2015-04,2018-01
483598,"[  334435   334597   213071   220436   220521   241531   213086   217277
   214204 73366961 73366719 81331240 73367545 73366721 73368205]","['2014-09' '2014-09' '2014-08' '2014-07' '2014-07' '2014-08' '2014-08'
 '2014-08' '2014-07' '2014-08' '2014-08' '2014-07' '2014-09' '2014-08'
 '2014-07']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",15,2014-09,2014-07,2018-01
49426,[ 1241990 96995052],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
485652,[  237080 61126923],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
482009,[900319],['2014-12'],['2018-01'],1,2014-12,2014-12,2018-01
438551,[ 1561426 99572429],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
37145,[ 1133916 19676220],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
495897,[  745374  1059349  1615787 96501552 91746942],['2014-11' '2015-01' '2015-05' '2015-05' '2015-01'],['2015-07' '2018-01' '2018-01' '2018-01' '2018-01'],5,2014-11,2015-01,2015-07
205081,[  178700   178699    13200 17520533],['2014-06' '2014-06' '2013-10' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-06,2014-06,2018-01
422180,[  1647317 100467945],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
379179,[ 1935704 99868384],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
